YALI1,YALI2
YALI1_A00058g,YALI2_A00002g
YALI1_A00102g,YALI2_A00003g
YALI1_A00148g,YALI2_A00004g
YALI1_A00204g,YALI2_A00005g
YALI1_A00241g,YALI2_A00692g
YALI1_A00252g,YALI2_A00006g
YALI1_A00309g,YALI2_A00691g
YALI1_A00325g,YALI2_A00007g
YALI1_A00375g,YALI2_A00690g
YALI1_A00406g,YALI2_A00008g
YALI1_A00447g,YALI2_A00689g
YALI1_A00468g,YALI2_A00688g
YALI1_A00504g,YALI2_A00687g
YALI1_A00538g,YALI2_A00686g
YALI1_A00558g,YALI2_A00009g
YALI1_A00601g,YALI2_A00010g
YALI1_A00661g,YALI2_A00685g
YALI1_A00683g,YALI2_A00011g
YALI1_A00715g,YALI2_A00684g
YALI1_A00746g,YALI2_A00683g
YALI1_A00789g,YALI2_A00682g
YALI1_A00801g,YALI2_A00012g
YALI1_A00829g,YALI2_A00681g
YALI1_A00867g,YALI2_A00013g
YALI1_A00947g,YALI2_A00014g
YALI1_A00983g,YALI2_A00679g
YALI1_A01061g,YALI2_A00678g
YALI1_A01074g,YALI2_A00015g
YALI1_A01093g,YALI2_A00016g
YALI1_A01122g,YALI2_A00677g
YALI1_A01143g,YALI2_A00676g
YALI1_A01173g,YALI2_A00675g
YALI1_A01198g,YALI2_A00017g
YALI1_A01249g,YALI2_A00674g
YALI1_A01267g,YALI2_A00018g
YALI1_A01298g,YALI2_A00019g
YALI1_A01394g,YALI2_A00020g
YALI1_A01468g,YALI2_A00021g
YALI1_A01505g,YALI2_A00673g
YALI1_A01537g,YALI2_A00022g
YALI1_A01577g,YALI2_A00672g
YALI1_A01602g,YALI2_A00671g
YALI1_A01628g,YALI2_A00023g
YALI1_A01670g,YALI2_A00024g
YALI1_A01717g,YALI2_A00670g
YALI1_A01766g,YALI2_A00669g
YALI1_A01777g,YALI2_A00668g
YALI1_A01794g,YALI2_A00025g
YALI1_A01824g,YALI2_A00667g
YALI1_A01842g,YALI2_A00026g
YALI1_A01864g,YALI2_A00666g
YALI1_A01888g,YALI2_A00665g
YALI1_A01905g,YALI2_A00664g
YALI1_A02037g,YALI2_A00663g
YALI1_A02075g,YALI2_A00662g
YALI1_A02083g,YALI2_A00661g
YALI1_A02096g,YALI2_A00031g
YALI1_A02131g,YALI2_A00660g
YALI1_A02150g,YALI2_A00032g
YALI1_A02198g,YALI2_A00033g
YALI1_A02263g,YALI2_A00034g
YALI1_A02335g,YALI2_A00035g
YALI1_A02365g,YALI2_A00036g
YALI1_A02394g,YALI2_A00037g
YALI1_A02426g,YALI2_A00659g
YALI1_A02443g,YALI2_A00658g
YALI1_A02461g,YALI2_A00657g
YALI1_A02470g,YALI2_A00038g
YALI1_A02499g,YALI2_A00039g
YALI1_A02546g,YALI2_A00656g
YALI1_A02552g,YALI2_A00040g
YALI1_A02561g,YALI2_A00655g
YALI1_A02568g,YALI2_A00041g
YALI1_A02615g,YALI2_A00654g
YALI1_A02653g,YALI2_A00042g
YALI1_A02682g,YALI2_A00043g
YALI1_A02728g,YALI2_A00044g
YALI1_A02775g,YALI2_A00045g
YALI1_A02813g,YALI2_A00653g
YALI1_A02833g,YALI2_A00046g
YALI1_A02875g,YALI2_A00048g
YALI1_A02895g,YALI2_A00049g
YALI1_A02947g,YALI2_A00652g
YALI1_A02974g,YALI2_A00651g
YALI1_A02998g,YALI2_A00050g
YALI1_A03029g,YALI2_A00051g
YALI1_A03069g,YALI2_A00650g
YALI1_A03081g,YALI2_A00649g
YALI1_A03091g,YALI2_A00052g
YALI1_A03116g,YALI2_A00648g
YALI1_A03137g,YALI2_A00647g
YALI1_A03153g,YALI2_A00053g
YALI1_A03170g,YALI2_A00054g
YALI1_A03183g,YALI2_A00055g
YALI1_A03210g,YALI2_A00646g
YALI1_A03258g,YALI2_A00645g
YALI1_A03278g,YALI2_A00056g
YALI1_A03289g,YALI2_A00644g
YALI1_A03300g,YALI2_A00057g
YALI1_A03322g,YALI2_A00058g
YALI1_A03351g,YALI2_A00643g
YALI1_A03356g,YALI2_A00059g
YALI1_A03396g,YALI2_A00642g
YALI1_A03402g,YALI2_A00060g
YALI1_A03422g,YALI2_A00641g
YALI1_A03450g,YALI2_A00061g
YALI1_A03487g,YALI2_A00640g
YALI1_A03512g,YALI2_A00062g
YALI1_A03549g,YALI2_A00639g
YALI1_A03567g,YALI2_A00063g
YALI1_A03624g,YALI2_A00637g
