Metabolite name,PPI_Ylip_Ctrl_24hr_13,PPI_Ylip_Ctrl_24hr_25,PPI_Ylip_Ctrl_24hr_37,PPI_Ylip_Ctrl_3hr_07,PPI_Ylip_Ctrl_3hr_19,PPI_Ylip_Ctrl_3hr_31,PPI_Ylip_Ctrl_48hr_15,PPI_Ylip_Ctrl_48hr_27,PPI_Ylip_Ctrl_48hr_39,PPI_Ylip_Ctrl_4hr_09,PPI_Ylip_Ctrl_4hr_21,PPI_Ylip_Ctrl_4hr_33,PPI_Ylip_Ctrl_5hr_11,PPI_Ylip_Ctrl_5hr_23,PPI_Ylip_Ctrl_5hr_35,PPI_Ylip_Ctrl_72hr_17,PPI_Ylip_Ctrl_72hr_29,PPI_Ylip_Ctrl_72hr_41,PPI_Ylip_Low_24hr_38,PPI_Ylip_Low_24hr_46,PPI_Ylip_Low_24hr_52,PPI_Ylip_Low_3hr_32,PPI_Ylip_Low_3hr_43,PPI_Ylip_Low_3hr_49,PPI_Ylip_Low_48hr_40,PPI_Ylip_Low_48hr_47,PPI_Ylip_Low_48hr_53,PPI_Ylip_Low_4hr_34,PPI_Ylip_Low_4hr_44,PPI_Ylip_Low_4hr_50,PPI_Ylip_Low_5hr_36,PPI_Ylip_Low_5hr_45,PPI_Ylip_Low_5hr_51,PPI_Ylip_Low_72hr_42,PPI_Ylip_Low_72hr_48,PPI_Ylip_Low_72hr_54,PPI_Ylip_Osc_24hr_04,PPI_Ylip_Osc_24hr_14,PPI_Ylip_Osc_24hr_26,PPI_Ylip_Osc_3hr_01,PPI_Ylip_Osc_3hr_08,PPI_Ylip_Osc_3hr_20,PPI_Ylip_Osc_47hr_05,PPI_Ylip_Osc_48hr_16,PPI_Ylip_Osc_48hr_28,PPI_Ylip_Osc_4hr_02,PPI_Ylip_Osc_4hr_10,PPI_Ylip_Osc_4hr_22,PPI_Ylip_Osc_5hr_03,PPI_Ylip_Osc_5hr_12,PPI_Ylip_Osc_5hr_24,PPI_Ylip_Osc_72hr_06,PPI_Ylip_Osc_72hr_18,PPI_Ylip_Osc_72hr_30
13-Docosenamide_Pos,24.15892342,24.07085517,24.8466496,24.03038498,25.84500603,24.15093623,22.26958335,21.84183505,24.77384863,24.16844684,24.644027,25.91303634,24.86279752,23.58759817,23.21621142,23.38868288,24.45401061,22.95131672,23.53333736,24.91887378,24.21166786,24.43612521,24.18058598,24.07094674,24.60435898,25.44100798,25.98171142,25.22428243,25.69247692,25.20457732,23.69920977,24.09119669,24.28202283,23.47538617,23.91592217,23.68381354,24.58844796,24.98562747,24.13044855,24.3747326,24.47860716,24.15534577,24.1122615,23.35967461,23.1986113,25.70851357,25.31425802,25.08731202,24.46704646,24.80497146,23.79071337,22.31032694,22.05516919,23.23489497
Benzyl butyl phthalate (also known as chemical regent)_Pos,16.33964044,NA,18.14819064,22.21706391,18.72041592,17.29425763,14.6665106,20.23030275,22.71637265,19.86022068,17.78404156,16.13602606,17.32612442,17.14748034,21.65854534,16.08418872,17.51714652,16.91030113,20.63537714,19.88078496,17.08507998,17.1069322,18.89807824,23.39475732,18.16451855,19.8623511,16.73641793,16.40745911,17.78176262,17.74566174,17.07156381,15.07116407,19.25191705,21.14771573,17.17006133,18.04861861,17.66241827,20.96381477,17.0487665,18.0428518,16.78524035,17.32023949,18.19367925,17.1102764,18.31678746,17.97813395,17.52340032,18.45611121,20.00915843,18.22283715,17.43168268,14.69229581,14.80512952,19.60758925
Cer 34:0;2O|Cer 18:0;2O/16:0_Pos,17.14389399,16.33825618,17.96811235,17.23327947,17.33106515,20.66976309,15.89828452,20.87616475,17.3435248,17.66126811,18.99614721,18.85327264,18.74636115,17.95888175,17.03810619,15.68560318,17.16342486,16.13400633,20.10124096,19.33273059,19.80012077,19.19672358,18.10279865,18.14905384,19.93399507,19.93687424,20.61382088,19.98866992,19.96046885,18.46006993,19.18659418,21.21224939,18.56502209,21.8537274,20.74169136,21.69133401,18.32896082,18.38451035,17.50016404,17.30074316,18.31407654,20.03818077,17.14232091,16.84410481,17.09812031,18.98662596,17.93733189,18.23283791,18.82477994,16.8408611,17.9506513,16.43269212,15.73283581,16.46200899
Cer 34:0;3O|Cer 18:0;2O/16:0;O_Pos,18.07786704,18.3073838,17.51552935,18.08824738,18.15436436,19.39463693,17.11651595,17.62477843,18.298178,17.76832317,19.06697833,19.17154439,19.09536571,18.59536207,17.76829998,17.35889664,17.16432656,16.70674804,22.3956819,21.43537142,22.47586914,19.17046192,17.95899033,17.9327714,22.09407618,21.87100051,22.55302635,19.78774246,21.09502167,18.38298185,19.89068696,22.2495903,18.59666763,22.75115049,22.96458755,23.40514898,18.35901994,18.27634083,17.89190447,17.82265677,17.83632627,19.33391814,17.10008308,17.30561096,18.20533456,18.39695161,18.59410795,18.25007091,18.04912295,17.39529238,17.57760438,16.67631052,16.5344209,17.11305756
Cer 34:2;3O|Cer 18:2;2O/16:0;O_A_Pos,20.37423239,20.0187876,19.43676482,21.52335001,20.44809812,23.40076198,18.87539392,18.80265847,17.98753673,21.49030621,23.23252204,23.49352261,23.70341896,22.54937935,21.5682634,19.03002826,17.32487852,18.39946174,19.10494419,17.66299493,19.51620834,23.12226546,22.23575578,20.46766007,17.57076238,16.75122919,17.58765648,23.436028,22.10802371,21.86115294,22.76190937,21.2405228,22.33134452,17.68138495,17.78626298,18.18929893,20.43177558,19.40015662,20.67696964,21.18650818,22.36881385,22.70865521,18.18804016,18.42162399,17.63554625,23.45041461,23.25815256,21.76026316,23.20428683,21.56520342,21.97434254,18.21900147,18.26317674,18.21313984
Cer 34:2;3O|Cer 18:2;2O/16:0;O_B_Pos,19.04493571,18.7805866,17.16555611,19.5346196,18.81379518,21.38574148,17.3871686,17.41041637,15.17804724,19.69616113,20.90323904,21.54641361,21.44161714,20.83241923,19.5877257,17.58371798,15.64684533,16.17679348,17.81849361,17.60974734,18.33989261,21.02845535,19.96549956,18.51362667,16.9196497,16.24673197,17.00326349,21.64875666,19.8837848,20.50970443,20.80148925,20.03193573,20.28768205,15.95275813,17.87794835,18.25999504,17.84355597,16.33613566,17.69480197,19.56449692,20.27699736,20.88540196,14.26934991,14.43115107,16.52974078,21.16009915,21.1408473,20.0029958,20.91420868,18.83513754,19.95843935,15.25758709,14.90808501,15.45404969
Cer 34:3;2O|Cer 18:2;2O/16:1_Pos,18.36734367,18.19375116,17.32621573,19.71388794,18.44535468,21.54833195,17.05532785,16.94984946,15.74559581,19.52122319,21.45188319,21.61303141,21.84549174,20.647765,19.61294503,17.05662,14.76663573,16.41520507,17.06642307,13.84110678,17.48488642,21.27933363,20.36913807,18.44551647,15.1721349,NA,14.26697941,21.58159067,20.13825461,20.03149735,20.96882748,19.4344951,20.40160131,15.62959868,15.31037805,16.07412115,18.54458635,17.34879792,18.66427023,19.39506591,20.51726945,20.84024315,15.46860001,16.13296361,15.49757394,21.65313718,21.37977037,19.87743153,21.3265526,19.63596414,20.08940098,16.44820499,16.30234143,16.16608322
Cer 35:2;3O|Cer 19:2;2O/16:0;O_Pos,20.60596413,20.27492878,19.63758507,20.19761231,19.35279572,22.22724698,19.45362608,19.48447677,18.73682668,20.22633701,22.12371559,22.15175515,22.62922333,21.7723958,20.32118827,19.7975059,18.62770588,19.30327742,18.95564276,17.41556004,19.38068102,21.86067125,21.13406692,19.2952669,17.38525678,16.3142919,18.81778732,22.11409849,20.98683592,20.5440911,21.60016243,20.41007899,21.33407745,17.98366664,18.38927119,19.0584855,20.56877398,19.52638364,20.75423584,19.98274471,20.970403,21.47811006,18.76900775,19.15433966,18.46395115,21.99917956,22.14340156,20.55926452,22.06571568,20.47934797,20.9424164,19.49744105,19.43945213,19.10981119
Cer 35:2;3O|Cer 19:2;2O/16:0;O#_Pos,18.55100618,18.14254856,15.03025365,17.57033633,17.51093693,19.67545177,17.17332929,17.45864394,13.5924049,19.28183673,20.06235104,20.14924706,20.60849585,19.87543714,19.23903792,17.36705998,14.85667807,15.96685864,17.15101937,15.2053099,17.50714529,19.3009201,18.30293778,16.73887168,15.38124539,NA,16.52749999,20.26058035,17.8957439,20.00554231,20.7316858,17.99221821,19.56442147,15.41878013,17.69914327,17.77310554,16.57382655,NA,17.28531004,18.04348153,18.81408058,19.29382882,NA,15.89620861,16.5208148,20.08418647,20.73096765,18.66246508,20.20702688,18.44760678,19.16098914,16.69767544,16.58091013,16.44284177
Cer 35:3;2O|Cer 19:2;2O/16:1_Pos,24.18257489,23.78374653,23.42156848,23.7721427,22.89178782,25.79099396,23.06980515,23.04647001,22.17039115,23.7532266,25.66962453,25.66503267,26.2020614,25.31513868,23.92081184,23.3863271,22.31776044,22.82117888,22.49288426,21.1947089,22.87135505,25.43339803,24.67964039,22.91568007,21.30509937,21.05172206,22.01482697,25.67936384,24.56280172,24.1617693,25.16947746,23.91378925,24.83797446,21.61772272,22.12435682,22.54401995,24.11396828,23.30956955,24.37392837,23.52755955,24.50718524,24.9940506,22.44568743,22.74012528,22.0695904,25.55006844,25.80090538,24.13704435,25.61447814,23.99507479,24.47877367,22.99185066,22.94928832,22.67213266
Cer 35:3;2O|Cer 22:3;2O/13:0_Pos,22.4209957,21.99392015,21.60204364,21.97723341,21.11122623,24.00010508,21.27864839,21.28382884,20.44147737,21.88504332,23.84511027,23.87525107,24.41436821,23.52878142,22.10093012,21.62448441,20.51008485,21.04576856,20.70373144,19.30437245,21.01167345,23.62870712,22.87030636,21.12779087,19.44270207,19.26079122,20.15628061,23.90044425,22.7841911,22.30243164,23.35209809,22.04047158,23.03853575,19.72943619,20.23859595,20.74676006,22.30481515,21.39668313,22.5875579,21.71274428,22.70195615,23.22271739,20.64716925,20.90996391,20.21821838,23.77317006,23.97320179,22.33472458,23.82692795,22.16819709,22.68567851,21.21385076,21.20889205,20.87374445
Cer 42:0;3O|Cer 20:0;2O/22:0;O_Pos,20.22931367,20.06812433,19.45688167,20.30794579,19.10384099,22.43538847,18.36914055,19.33967601,18.32335524,20.22804508,22.00881738,22.3830264,22.13619239,20.81143945,19.76824431,18.69539532,18.01433322,17.69960248,23.28905468,21.87536882,23.65405046,21.69710482,21.11035723,19.44374807,22.78253787,22.01042896,22.9772428,22.27944207,21.44321497,20.46043088,21.85364869,22.32521867,20.71392482,23.13913712,23.30700004,23.91583453,20.42341318,19.1341244,19.39148476,20.25656983,21.22285854,21.6424758,17.52921104,17.20109154,17.67222434,22.78782963,22.02692585,20.21922222,21.86195959,20.42198179,20.6543189,15.94752812,16.84007703,16.76644339
Cer 42:0;3O|Cer 22:0;2O/20:0;O_Pos,14.10261614,13.55686954,NA,13.79898485,NA,17.18606609,NA,13.80484831,13.0263915,NA,14.37002269,14.84453584,17.00611997,14.71584227,14.90723608,11.43750578,NA,NA,18.42230862,15.98135145,17.6542392,15.65704701,14.04735665,14.12076281,17.80591172,16.87676472,17.45362266,16.775136,16.06776943,14.71764261,16.01524168,16.67822622,14.10786121,18.06193973,17.48081563,18.69197003,15.149641,NA,13.70481986,13.59710266,15.55922396,16.2896304,NA,11.86905574,13.30177776,16.7455265,15.23799485,NA,16.34521748,14.96813907,13.25540636,NA,7.217277374,NA
Cer 42:0;4O|Cer 18:0;3O/24:0;(2OH)_A_Pos,22.60601484,22.64476493,22.14019799,23.09868372,17.67827234,25.50038112,21.17006926,20.90638009,20.44859097,22.75223827,25.15772813,25.10406598,25.61471193,24.59330969,22.92896527,20.85574503,20.33039638,20.47893205,23.96188074,22.89862664,24.56669438,25.00405337,24.29189431,22.72586784,17.96385458,21.92472803,23.21656311,25.10031013,23.82576088,23.49057413,24.77982792,24.30435762,24.08647773,23.71062582,24.21629916,24.63971749,21.92390367,21.17014036,22.63180217,22.74964403,24.55865231,25.11430455,18.53140859,19.97473806,18.81889639,25.55073902,25.26948697,23.68512038,25.03893527,22.88602567,24.08044,18.52448367,19.12759091,18.89999907
Cer 42:0;4O|Cer 18:0;3O/24:0;(2OH)_A#_Pos,18.68093936,19.03406261,17.87316973,19.35894406,18.99496812,21.97650101,17.16201965,17.56547001,15.62278492,19.07346888,21.77146226,21.50659325,22.30745784,21.34597088,19.20242545,16.7478009,NA,16.23920238,20.81384262,19.06976326,21.30191479,21.6742675,20.71086305,18.75784134,19.28597332,17.36224265,19.29715202,21.81594007,14.04526713,12.73786044,21.39517249,20.77767515,20.41898959,20.20579736,20.74518262,21.21298283,18.15599251,15.81653041,18.87321423,19.08896902,21.16746635,21.78162235,NA,15.33853936,13.87412317,22.10774033,21.77456336,19.72564309,21.65170341,19.27751655,20.49445453,14.04932739,14.88309819,13.81442061
