
                                              MFCS/win                    Report printed:                2024-10-23 10:56:39
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_20                        Batch created:            2024-10-14 11:13:07

 Experiment Start:          2024-10-14 11:13:07                 Experiment Stop:          2024-10-18 14:31:10

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                      Value


 Date    /  Time                Age

14-10-2024 11:13:07             0.000                  600

14-10-2024 11:15:37             0.042                  600
14-10-2024 11:15:52             0.046                  570
14-10-2024 11:16:07             0.050                  401

14-10-2024 11:43:07             0.500                  401
14-10-2024 12:13:07             1.000                  401
14-10-2024 12:43:07             1.500                  401

14-10-2024 13:01:43             1.810                  401
14-10-2024 13:01:58             1.814                  405

14-10-2024 13:02:43             1.827                  405
14-10-2024 13:02:58             1.831                  401
14-10-2024 13:03:58             1.848                  402

14-10-2024 13:04:13             1.852                  405
14-10-2024 13:04:28             1.856                  408

14-10-2024 13:04:43             1.860                  410
14-10-2024 13:05:13             1.868                  410
14-10-2024 13:05:28             1.872                  405

14-10-2024 13:05:43             1.877                  401
14-10-2024 13:08:13             1.918                  401

14-10-2024 13:08:28             1.922                  405
14-10-2024 13:08:43             1.927                  408
14-10-2024 13:08:58             1.931                  409

14-10-2024 13:09:13             1.935                  413
14-10-2024 13:09:28             1.939                  416
14-10-2024 13:09:58             1.948                  415

14-10-2024 13:10:13             1.952                  411
14-10-2024 13:10:28             1.956                  405

14-10-2024 13:10:43             1.960                  401
14-10-2024 13:13:07             2.000                  402
14-10-2024 13:13:13             2.002                  404

14-10-2024 13:13:28             2.006                  408
14-10-2024 13:13:43             2.010                  412

14-10-2024 13:13:58             2.014                  417
14-10-2024 13:14:13             2.018                  420
14-10-2024 13:14:28             2.023                  424

14-10-2024 13:14:43             2.027                  424


14-10-2024 13:14:58             2.031                  421
14-10-2024 13:15:13             2.035                  416

14-10-2024 13:15:28             2.039                  411
14-10-2024 13:15:43             2.043                  405
14-10-2024 13:15:58             2.047                  401

14-10-2024 13:17:43             2.077                  404
14-10-2024 13:17:58             2.081                  405

14-10-2024 13:18:13             2.085                  408
14-10-2024 13:18:28             2.089                  412
14-10-2024 13:18:43             2.093                  416

14-10-2024 13:18:58             2.097                  418
14-10-2024 13:19:13             2.102                  420

14-10-2024 13:19:28             2.106                  424
14-10-2024 13:19:43             2.110                  428
14-10-2024 13:19:58             2.114                  425

14-10-2024 13:20:13             2.118                  418
14-10-2024 13:20:28             2.123                  414
14-10-2024 13:20:43             2.127                  409

14-10-2024 13:20:58             2.131                  402
14-10-2024 13:22:43             2.160                  402

14-10-2024 13:22:58             2.164                  405
14-10-2024 13:23:13             2.168                  409
14-10-2024 13:23:28             2.173                  412

14-10-2024 13:23:43             2.177                  415
14-10-2024 13:23:58             2.181                  420

14-10-2024 13:24:13             2.185                  422
14-10-2024 13:24:28             2.189                  424
14-10-2024 13:24:43             2.193                  428

14-10-2024 13:24:58             2.197                  428
14-10-2024 13:25:13             2.202                  431

14-10-2024 13:25:28             2.206                  425
14-10-2024 13:25:43             2.210                  414
14-10-2024 13:25:58             2.214                  408

14-10-2024 13:26:13             2.218                  403
14-10-2024 13:28:13             2.252                  405
14-10-2024 13:28:28             2.256                  411

14-10-2024 13:28:43             2.260                  421
14-10-2024 13:28:58             2.264                  429

14-10-2024 13:29:13             2.268                  437
14-10-2024 13:29:43             2.277                  435
14-10-2024 13:29:58             2.281                  430

14-10-2024 13:30:13             2.285                  426
14-10-2024 13:30:28             2.289                  418

14-10-2024 13:30:43             2.293                  410
14-10-2024 13:30:58             2.297                  402
14-10-2024 13:32:59             2.331                  401

14-10-2024 13:33:14             2.335                  408
14-10-2024 13:33:29             2.339                  417

14-10-2024 13:33:44             2.344                  424
14-10-2024 13:33:59             2.348                  429
14-10-2024 13:34:14             2.352                  434

14-10-2024 13:34:30             2.356                  439

14-10-2024 13:34:45             2.361                  439
14-10-2024 13:35:00             2.365                  435

14-10-2024 13:35:15             2.369                  426
14-10-2024 13:35:30             2.373                  417
14-10-2024 13:35:45             2.377                  410

14-10-2024 13:36:00             2.381                  403
14-10-2024 13:37:45             2.411                  401

14-10-2024 13:38:00             2.415                  408
14-10-2024 13:38:15             2.419                  418
14-10-2024 13:38:30             2.423                  426

14-10-2024 13:38:45             2.427                  434
14-10-2024 13:39:00             2.431                  441

14-10-2024 13:39:30             2.440                  442
14-10-2024 13:39:45             2.444                  438
14-10-2024 13:40:00             2.448                  427

14-10-2024 13:40:15             2.452                  416
14-10-2024 13:40:30             2.456                  405
14-10-2024 13:40:45             2.461                  401

14-10-2024 13:42:30             2.490                  403
14-10-2024 13:42:45             2.494                  409

14-10-2024 13:43:00             2.498                  414
14-10-2024 13:43:07             2.500                  416
14-10-2024 13:43:15             2.502                  421

14-10-2024 13:43:30             2.506                  430
14-10-2024 13:43:45             2.511                  440

14-10-2024 13:44:00             2.515                  447
14-10-2024 13:44:15             2.519                  447
14-10-2024 13:44:30             2.523                  442

14-10-2024 13:44:45             2.527                  432
14-10-2024 13:45:00             2.531                  422

14-10-2024 13:45:15             2.536                  411
14-10-2024 13:45:30             2.540                  402
14-10-2024 13:47:00             2.565                  401

14-10-2024 13:47:15             2.569                  406
14-10-2024 13:47:30             2.573                  416
14-10-2024 13:47:45             2.577                  424

14-10-2024 13:48:00             2.581                  432
14-10-2024 13:48:15             2.586                  439

14-10-2024 13:48:30             2.590                  442
14-10-2024 13:48:45             2.594                  442
14-10-2024 13:49:00             2.598                  438

14-10-2024 13:49:15             2.602                  430
14-10-2024 13:49:30             2.606                  421

14-10-2024 13:49:45             2.611                  411
14-10-2024 13:50:00             2.615                  403
14-10-2024 13:51:15             2.636                  404

14-10-2024 13:51:30             2.640                  408
14-10-2024 13:51:45             2.644                  412

14-10-2024 13:52:00             2.648                  419
14-10-2024 13:52:15             2.652                  426
14-10-2024 13:52:30             2.656                  432

14-10-2024 13:52:45             2.661                  441

14-10-2024 13:53:00             2.665                  449
14-10-2024 13:53:15             2.669                  450

14-10-2024 13:53:30             2.673                  445
14-10-2024 13:53:45             2.677                  436
14-10-2024 13:54:00             2.681                  425

14-10-2024 13:54:15             2.686                  412
