
                                              MFCS/win                    Report printed:                2024-10-23 10:56:41
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_20                        Batch created:            2024-10-14 11:13:07

 Experiment Start:          2024-10-14 11:13:07                 Experiment Stop:          2024-10-18 14:31:10

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 AIRSP_A
                                                       lpm
  Data
                                                      Value


 Date    /  Time                Age

14-10-2024 11:13:07             0.000                 1.000

14-10-2024 11:15:37             0.042                 1.000
14-10-2024 11:15:52             0.046                  .374
14-10-2024 11:43:07             0.500                  .375

14-10-2024 12:13:07             1.000                  .375
14-10-2024 12:43:07             1.500                  .375
14-10-2024 13:13:07             2.000                  .375

14-10-2024 13:43:07             2.500                  .375
14-10-2024 14:13:07             3.000                  .375

14-10-2024 14:43:07             3.500                  .375
14-10-2024 15:13:07             4.000                  .375
14-10-2024 15:43:07             4.500                  .375

14-10-2024 15:53:49             4.678                  .375
14-10-2024 15:54:04             4.683                  .420

14-10-2024 15:54:19             4.687                  .484
14-10-2024 15:54:34             4.691                  .553
14-10-2024 15:54:49             4.695                  .603

14-10-2024 15:55:04             4.699                  .613
14-10-2024 15:55:19             4.703                 1.500

14-10-2024 15:55:34             4.707                  .375
14-10-2024 15:58:04             4.749                  .375
14-10-2024 15:58:19             4.753                 1.497

14-10-2024 15:58:34             4.757                 1.500
14-10-2024 15:58:49             4.762                  .375
14-10-2024 16:02:50             4.829                  .375

14-10-2024 16:03:05             4.833                  .415
14-10-2024 16:06:20             4.887                  .391

14-10-2024 16:06:35             4.891                  .500
14-10-2024 16:13:07             5.000                  .500
14-10-2024 16:43:07             5.500                  .500

14-10-2024 17:13:07             6.000                  .500
14-10-2024 17:43:07             6.500                  .500

14-10-2024 18:13:07             7.000                  .500
14-10-2024 18:43:07             7.500                  .500
14-10-2024 19:13:07             8.000                  .500

14-10-2024 19:43:07             8.500                  .500


14-10-2024 20:13:07             9.000                  .500
14-10-2024 20:43:07             9.500                  .500

14-10-2024 21:13:07            10.000                  .500
14-10-2024 21:43:07            10.500                  .500
