
                                              MFCS/win                    Report printed:                2024-10-26 19:15:16
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_20                        Batch created:            2024-10-14 11:13:07

 Experiment Start:          2024-10-14 11:13:07                 Experiment Stop:          2024-10-18 14:31:10

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  BASET
                                                    ml
  Data
                                                      Value


 Date    /  Time                Age

14-10-2024 11:13:07             0.000                   0

14-10-2024 11:43:07             0.500                   1
14-10-2024 12:13:07             1.000                   1
14-10-2024 12:43:07             1.500                   1

14-10-2024 13:13:07             2.000                   2
14-10-2024 13:43:07             2.500                   3
14-10-2024 14:13:07             3.000                   4

14-10-2024 14:43:07             3.500                   5
14-10-2024 15:13:07             4.000                   5

14-10-2024 15:43:07             4.500                   6
14-10-2024 16:13:07             5.000                   7
14-10-2024 16:43:07             5.500                   8

14-10-2024 17:13:07             6.000                   9
14-10-2024 17:43:07             6.500                   10

14-10-2024 18:13:07             7.000                   11
14-10-2024 18:43:07             7.500                   13
14-10-2024 19:13:07             8.000                   14

14-10-2024 19:43:07             8.500                   16
14-10-2024 20:13:07             9.000                   17

14-10-2024 20:43:07             9.500                   18
14-10-2024 21:13:07            10.000                   18
14-10-2024 21:43:07            10.500                   19

14-10-2024 22:13:07            11.000                   19
14-10-2024 22:43:07            11.500                   20
14-10-2024 23:13:07            12.000                   20

14-10-2024 23:43:07            12.500                   21
15-10-2024 00:13:07            13.000                   21

15-10-2024 00:43:07            13.500                   22
15-10-2024 01:13:07            14.000                   22
15-10-2024 01:43:07            14.500                   23

15-10-2024 02:13:07            15.000                   24
15-10-2024 02:43:07            15.500                   25

15-10-2024 03:13:07            16.000                   26
15-10-2024 03:43:07            16.500                   27
15-10-2024 04:13:07            17.000                   28

15-10-2024 04:43:07            17.500                   29


15-10-2024 05:13:07            18.000                   30
15-10-2024 05:43:07            18.500                   32

15-10-2024 06:13:07            19.000                   33
15-10-2024 06:43:07            19.500                   34
15-10-2024 07:13:07            20.000                   35

15-10-2024 07:43:07            20.500                   36
15-10-2024 08:13:07            21.000                   38

15-10-2024 08:43:07            21.500                   39
15-10-2024 09:13:07            22.000                   40
15-10-2024 09:43:07            22.500                   41

15-10-2024 10:13:07            23.000                   42
15-10-2024 10:43:07            23.500                   43

15-10-2024 11:13:07            24.000                   44
15-10-2024 11:43:07            24.500                   45
15-10-2024 12:13:07            25.000                   46

15-10-2024 12:43:07            25.500                   47
15-10-2024 13:13:07            26.000                   48
15-10-2024 13:43:07            26.500                   48

15-10-2024 14:13:07            27.000                   49
15-10-2024 14:43:07            27.500                   50

15-10-2024 15:13:07            28.000                   51
15-10-2024 15:43:07            28.500                   52
15-10-2024 16:13:07            29.000                   53

15-10-2024 16:43:07            29.500                   53
15-10-2024 17:13:07            30.000                   54

15-10-2024 17:43:07            30.500                   55
15-10-2024 18:13:07            31.000                   56
15-10-2024 18:43:07            31.500                   57

15-10-2024 19:13:07            32.000                   58
15-10-2024 19:43:07            32.500                   59

15-10-2024 20:13:07            33.000                   60
15-10-2024 20:43:07            33.500                   60
15-10-2024 21:13:07            34.000                   61

15-10-2024 21:43:07            34.500                   62
15-10-2024 22:13:07            35.000                   63
15-10-2024 22:43:07            35.500                   64

15-10-2024 23:13:07            36.000                   65
15-10-2024 23:43:07            36.500                   66

16-10-2024 00:13:07            37.000                   67
16-10-2024 00:43:07            37.500                   68
16-10-2024 01:13:07            38.000                   69

16-10-2024 01:43:07            38.500                   70
16-10-2024 02:13:07            39.000                   71

16-10-2024 02:43:07            39.500                   72
16-10-2024 03:13:07            40.000                   73
16-10-2024 03:43:07            40.500                   74

16-10-2024 04:13:07            41.000                   75
16-10-2024 04:43:07            41.500                   76

16-10-2024 05:13:07            42.000                   77
16-10-2024 05:43:07            42.500                   78
16-10-2024 06:13:07            43.000                   79

16-10-2024 06:43:07            43.500                   80

16-10-2024 07:13:07            44.000                   81
16-10-2024 07:43:07            44.500                   82

16-10-2024 08:13:07            45.000                   82
16-10-2024 08:43:07            45.500                   83
16-10-2024 09:13:07            46.000                   84

16-10-2024 09:43:07            46.500                   85
16-10-2024 10:13:07            47.000                   86

16-10-2024 10:43:07            47.500                   87
16-10-2024 11:13:07            48.000                   88
16-10-2024 11:43:07            48.500                   89

16-10-2024 12:13:07            49.000                   90
16-10-2024 12:43:07            49.500                   91

16-10-2024 13:13:07            50.000                   92
16-10-2024 13:43:07            50.500                   93
16-10-2024 14:13:07            51.000                   94

16-10-2024 14:43:07            51.500                   95
16-10-2024 15:13:07            52.000                   96
16-10-2024 15:43:07            52.500                   97

16-10-2024 16:13:07            53.000                   98
16-10-2024 16:43:07            53.500                   99

16-10-2024 17:13:07            54.000                  100
16-10-2024 17:43:07            54.500                  100
16-10-2024 18:13:07            55.000                  101

16-10-2024 18:43:07            55.500                  102
16-10-2024 19:13:07            56.000                  103

16-10-2024 19:43:07            56.500                  104
16-10-2024 20:13:07            57.000                  105
16-10-2024 20:43:07            57.500                  106

16-10-2024 21:13:07            58.000                  107
16-10-2024 21:43:07            58.500                  108

16-10-2024 22:13:07            59.000                  108
16-10-2024 22:43:07            59.500                  109
16-10-2024 23:13:07            60.000                  110

16-10-2024 23:43:07            60.500                  111
17-10-2024 00:13:07            61.000                  112
17-10-2024 00:43:07            61.500                  113

17-10-2024 01:13:07            62.000                  114
17-10-2024 01:43:07            62.500                  115

17-10-2024 02:13:07            63.000                  116
17-10-2024 02:43:07            63.500                  117
17-10-2024 03:13:07            64.000                  118

17-10-2024 03:43:07            64.500                  118
17-10-2024 04:13:07            65.000                  119

17-10-2024 04:43:07            65.500                  120
17-10-2024 05:13:07            66.000                  121
17-10-2024 05:43:07            66.500                  122

17-10-2024 06:13:07            67.000                  123
17-10-2024 06:43:07            67.500                  124

17-10-2024 07:13:07            68.000                  125
17-10-2024 07:43:07            68.500                  126
17-10-2024 08:13:07            69.000                  127

17-10-2024 08:43:07            69.500                  127

17-10-2024 09:13:07            70.000                  128
17-10-2024 09:43:07            70.500                  129

17-10-2024 10:13:07            71.000                  130
17-10-2024 10:43:07            71.500                  131
17-10-2024 11:13:07            72.000                  132

17-10-2024 11:43:07            72.500                  133
17-10-2024 12:13:07            73.000                  134

17-10-2024 12:43:07            73.500                  134
17-10-2024 13:13:07            74.000                  135
17-10-2024 13:43:07            74.500                  136

17-10-2024 14:13:07            75.000                  137
17-10-2024 14:43:07            75.500                  138

17-10-2024 15:13:07            76.000                  139
17-10-2024 15:43:07            76.500                  140
17-10-2024 16:13:07            77.000                  140

17-10-2024 16:43:07            77.500                  141
17-10-2024 17:13:07            78.000                  142
17-10-2024 17:43:07            78.500                  143

17-10-2024 18:13:07            79.000                  144
17-10-2024 18:43:07            79.500                  145

17-10-2024 19:13:07            80.000                  146
17-10-2024 19:43:07            80.500                  147
17-10-2024 20:13:07            81.000                  147

17-10-2024 20:43:07            81.500                  148
17-10-2024 21:13:07            82.000                  149

17-10-2024 21:43:07            82.500                  150
17-10-2024 22:13:07            83.000                  151
17-10-2024 22:43:07            83.500                  152

17-10-2024 23:13:07            84.000                  153
17-10-2024 23:43:07            84.500                  154

18-10-2024 00:13:07            85.000                  155
18-10-2024 00:43:07            85.500                  156
18-10-2024 01:13:07            86.000                  157

18-10-2024 01:43:07            86.500                  158
18-10-2024 02:13:07            87.000                  158
18-10-2024 02:43:07            87.500                  159

18-10-2024 03:13:07            88.000                  160
18-10-2024 03:43:07            88.500                  161

18-10-2024 04:13:07            89.000                  162
18-10-2024 04:43:07            89.500                  163
18-10-2024 05:13:07            90.000                  164

18-10-2024 05:43:07            90.500                  165
18-10-2024 06:13:07            91.000                  166

18-10-2024 06:43:07            91.500                  167
18-10-2024 07:13:07            92.000                  168
18-10-2024 07:43:07            92.500                  169

18-10-2024 08:13:07            93.000                  169
18-10-2024 08:43:07            93.500                  170

18-10-2024 09:13:07            94.000                  171
18-10-2024 09:43:07            94.500                  172
18-10-2024 10:13:07            95.000                  173

18-10-2024 10:43:07            95.500                  174

18-10-2024 11:13:07            96.000                  175
18-10-2024 11:43:07            96.500                  176

18-10-2024 12:13:07            97.000                  177
18-10-2024 12:43:07            97.500                  177
18-10-2024 13:13:07            98.000                  178

18-10-2024 13:43:07            98.500                  179
18-10-2024 14:13:07            99.000                  180

18-10-2024 14:31:09            99.301                  180
