
                                              MFCS/win                    Report printed:                2024-10-26 19:15:10
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_20                        Batch created:            2024-10-14 11:13:07

 Experiment Start:          2024-10-14 11:13:07                 Experiment Stop:          2024-10-18 14:31:10

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                   pH_A
                                                    pH
  Data
                                                      Value


 Date    /  Time                Age

14-10-2024 11:13:07             0.000                  5.36

14-10-2024 11:14:07             0.017                  5.34
14-10-2024 11:14:22             0.021                  5.52
14-10-2024 11:17:52             0.079                  5.62

14-10-2024 11:18:07             0.083                  5.63
14-10-2024 11:43:07             0.500                  5.59
14-10-2024 12:13:07             1.000                  5.57

14-10-2024 12:43:07             1.500                  5.56
14-10-2024 13:13:07             2.000                  5.61

14-10-2024 13:43:07             2.500                  5.58
14-10-2024 14:13:07             3.000                  5.53
14-10-2024 14:43:07             3.500                  5.53

14-10-2024 15:13:07             4.000                  5.57
14-10-2024 15:43:07             4.500                  5.58

14-10-2024 16:13:07             5.000                  5.58
14-10-2024 16:43:07             5.500                  5.60
14-10-2024 17:13:07             6.000                  5.52

14-10-2024 17:13:08             6.000                  5.52
14-10-2024 17:13:23             6.004                  5.63

14-10-2024 17:15:53             6.046                  5.54
14-10-2024 17:16:08             6.050                  5.53
14-10-2024 17:16:23             6.054                  5.64

14-10-2024 17:19:08             6.100                  5.54
14-10-2024 17:19:23             6.104                  5.53
14-10-2024 17:32:53             6.329                  5.52

14-10-2024 17:33:08             6.334                  5.64
14-10-2024 17:35:53             6.379                  5.54

14-10-2024 17:36:08             6.384                  5.53
14-10-2024 17:36:23             6.388                  5.64
14-10-2024 17:39:08             6.434                  5.55

14-10-2024 17:39:23             6.438                  5.54
14-10-2024 17:43:07             6.500                  5.60

14-10-2024 18:13:07             7.000                  5.61
14-10-2024 18:43:07             7.500                  5.60
14-10-2024 19:08:28             7.922                  5.66

14-10-2024 19:08:43             7.927                  5.71


14-10-2024 19:11:13             7.968                  5.62
14-10-2024 19:11:28             7.972                  5.61

14-10-2024 19:13:07             8.000                  5.53
14-10-2024 19:17:13             8.068                  5.59
14-10-2024 19:17:28             8.073                  5.64

14-10-2024 19:20:28             8.123                  5.55
14-10-2024 19:20:43             8.127                  5.54

14-10-2024 19:26:13             8.218                  5.56
14-10-2024 19:26:28             8.223                  5.67
14-10-2024 19:29:43             8.277                  5.57

14-10-2024 19:29:58             8.281                  5.56
14-10-2024 19:31:13             8.302                  5.57

14-10-2024 19:31:28             8.306                  5.71
14-10-2024 19:34:13             8.352                  5.62
14-10-2024 19:34:28             8.356                  5.60

14-10-2024 19:36:58             8.398                  5.69
14-10-2024 19:37:13             8.402                  5.72
14-10-2024 19:39:58             8.448                  5.63

14-10-2024 19:40:13             8.452                  5.61
14-10-2024 19:42:14             8.485                  5.52

14-10-2024 19:42:29             8.489                  5.51
14-10-2024 19:43:07             8.500                  5.61
14-10-2024 19:45:44             8.544                  5.61

14-10-2024 19:45:59             8.548                  5.71
14-10-2024 19:48:59             8.598                  5.62

14-10-2024 19:49:14             8.602                  5.61
14-10-2024 19:51:14             8.635                  5.51
14-10-2024 19:51:29             8.639                  5.50

14-10-2024 19:51:44             8.644                  5.64
14-10-2024 19:51:59             8.648                  5.77

14-10-2024 19:56:15             8.719                  5.68
14-10-2024 19:56:30             8.723                  5.67
14-10-2024 19:58:45             8.761                  5.57

14-10-2024 19:59:00             8.765                  5.56
14-10-2024 20:00:30             8.790                  5.65
14-10-2024 20:00:45             8.794                  5.69

14-10-2024 20:06:15             8.886                  5.59
14-10-2024 20:06:30             8.890                  5.58

14-10-2024 20:08:30             8.923                  5.55
14-10-2024 20:08:45             8.927                  5.77
14-10-2024 20:13:07             9.000                  5.74

14-10-2024 20:15:45             9.044                  5.65
14-10-2024 20:16:00             9.048                  5.64

14-10-2024 20:18:00             9.081                  5.55
14-10-2024 20:18:15             9.086                  5.54
14-10-2024 20:19:45             9.111                  5.60

14-10-2024 20:20:00             9.115                  5.84
14-10-2024 20:20:45             9.127                  5.93

14-10-2024 20:21:00             9.131                  5.95
14-10-2024 20:43:07             9.500                  5.94
14-10-2024 21:04:00             9.848                  5.84

14-10-2024 21:04:15             9.852                  5.84

14-10-2024 21:13:07            10.000                  5.78
14-10-2024 21:25:46            10.211                  5.68

14-10-2024 21:26:01            10.215                  5.68
14-10-2024 21:36:01            10.382                  5.58
14-10-2024 21:36:16            10.386                  5.58

14-10-2024 21:43:07            10.500                  5.67
14-10-2024 21:55:47            10.711                  5.57

14-10-2024 21:56:02            10.715                  5.57
14-10-2024 22:08:32            10.924                  5.66
14-10-2024 22:08:47            10.928                  5.70

14-10-2024 22:13:07            11.000                  5.75
14-10-2024 22:25:49            11.212                  5.65

14-10-2024 22:26:04            11.216                  5.65
14-10-2024 22:34:19            11.353                  5.55
14-10-2024 22:34:34            11.357                  5.55

14-10-2024 22:36:49            11.395                  5.62
14-10-2024 22:37:04            11.399                  5.70
14-10-2024 22:43:07            11.500                  5.77

14-10-2024 22:54:50            11.695                  5.67
14-10-2024 22:55:05            11.699                  5.67

14-10-2024 23:03:06            11.833                  5.57
14-10-2024 23:03:21            11.837                  5.57
14-10-2024 23:06:36            11.891                  5.59

14-10-2024 23:06:51            11.896                  5.70
14-10-2024 23:13:07            12.000                  5.74

14-10-2024 23:25:36            12.208                  5.64
14-10-2024 23:25:51            12.212                  5.64
14-10-2024 23:33:51            12.346                  5.54

14-10-2024 23:34:06            12.350                  5.54
14-10-2024 23:35:21            12.371                  5.60

14-10-2024 23:35:36            12.375                  5.65
14-10-2024 23:43:07            12.500                  5.68
14-10-2024 23:53:08            12.667                  5.58

14-10-2024 23:53:23            12.671                  5.58
14-10-2024 23:57:24            12.738                  5.67
14-10-2024 23:57:39            12.742                  5.71

15-10-2024 00:10:25            12.955                  5.61
15-10-2024 00:10:40            12.959                  5.61

15-10-2024 00:13:07            13.000                  5.57
15-10-2024 00:17:10            13.068                  5.65
15-10-2024 00:17:25            13.072                  5.68

15-10-2024 00:31:56            13.314                  5.58
15-10-2024 00:32:11            13.318                  5.58

15-10-2024 00:36:56            13.397                  5.66
15-10-2024 00:37:11            13.401                  5.68
15-10-2024 00:43:07            13.500                  5.69

15-10-2024 00:50:42            13.626                  5.59
15-10-2024 00:50:57            13.631                  5.58

15-10-2024 01:13:07            14.000                  5.60
15-10-2024 01:43:07            14.500                  5.57
15-10-2024 01:46:13            14.552                  5.66

15-10-2024 01:46:28            14.556                  5.69

15-10-2024 01:55:13            14.702                  5.59
15-10-2024 01:55:28            14.706                  5.59

15-10-2024 02:13:07            15.000                  5.67
15-10-2024 02:19:43            15.110                  5.58
15-10-2024 02:19:58            15.114                  5.57

15-10-2024 02:40:31            15.457                  5.66
15-10-2024 02:40:46            15.461                  5.68

15-10-2024 02:43:07            15.500                  5.68
15-10-2024 02:49:46            15.611                  5.58
15-10-2024 02:50:01            15.615                  5.58

15-10-2024 03:02:47            15.828                  5.63
15-10-2024 03:03:02            15.832                  5.69

15-10-2024 03:12:03            15.982                  5.59
15-10-2024 03:12:18            15.986                  5.59
15-10-2024 03:13:07            16.000                  5.57

15-10-2024 03:43:07            16.500                  5.55
15-10-2024 04:13:07            17.000                  5.59
15-10-2024 04:43:07            17.500                  5.55

15-10-2024 05:13:07            18.000                  5.56
15-10-2024 05:43:07            18.500                  5.61

15-10-2024 06:13:07            19.000                  5.57
15-10-2024 06:43:07            19.500                  5.57
15-10-2024 07:13:07            20.000                  5.56

15-10-2024 07:43:07            20.500                  5.54
15-10-2024 08:13:07            21.000                  5.55

15-10-2024 08:43:07            21.500                  5.54
15-10-2024 09:13:07            22.000                  5.54
15-10-2024 09:43:07            22.500                  5.56

15-10-2024 10:13:07            23.000                  5.55
15-10-2024 10:43:07            23.500                  5.55

