
                                              MFCS/win                    Report printed:                2024-10-26 19:16:54
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_20_2                      Batch created:            2024-10-14 11:13:29

 Experiment Start:          2024-10-14 11:13:29                 Experiment Stop:          2024-10-18 14:31:21

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  BASET
                                                    ml
  Data
                                                      Value


 Date    /  Time                Age

14-10-2024 11:13:30             0.000                   0

14-10-2024 11:14:15             0.013                   2
14-10-2024 11:14:30             0.017                   4
14-10-2024 11:14:45             0.021                   5

14-10-2024 11:15:00             0.025                   9
14-10-2024 11:43:30             0.500                   9
14-10-2024 12:13:30             1.000                   9

14-10-2024 12:43:30             1.500                   9
14-10-2024 13:13:30             2.000                   9

14-10-2024 13:43:30             2.500                   9
14-10-2024 14:13:30             3.000                   9
14-10-2024 14:43:30             3.500                   10

14-10-2024 15:13:30             4.000                   11
14-10-2024 15:43:30             4.500                   11

14-10-2024 16:13:30             5.000                   12
14-10-2024 16:43:30             5.500                   13
14-10-2024 17:13:30             6.000                   14

14-10-2024 17:43:30             6.500                   15
14-10-2024 18:13:30             7.000                   17

14-10-2024 18:43:30             7.500                   18
14-10-2024 19:13:30             8.000                   20
14-10-2024 19:43:30             8.500                   22

14-10-2024 20:13:30             9.000                   22
14-10-2024 20:43:30             9.500                   23
14-10-2024 21:13:30            10.000                   23

14-10-2024 21:43:30            10.500                   23
14-10-2024 22:13:30            11.000                   24

14-10-2024 22:43:30            11.500                   24
14-10-2024 23:13:30            12.000                   24
14-10-2024 23:43:30            12.500                   25

15-10-2024 00:13:30            13.000                   25
15-10-2024 00:43:30            13.500                   26

15-10-2024 01:13:30            14.000                   27
15-10-2024 01:43:30            14.500                   27
15-10-2024 02:13:30            15.000                   29

15-10-2024 02:43:30            15.500                   30


15-10-2024 03:13:30            16.000                   31
15-10-2024 03:43:30            16.500                   33

15-10-2024 04:13:30            17.000                   34
15-10-2024 04:43:30            17.500                   36
15-10-2024 05:13:30            18.000                   38

15-10-2024 05:43:30            18.500                   40
15-10-2024 06:13:30            19.000                   41

15-10-2024 06:43:30            19.500                   43
15-10-2024 07:11:58            19.975                   45
15-10-2024 07:12:13            19.979                   45

15-10-2024 07:13:30            20.000                   45
15-10-2024 07:43:17            20.497                   47

15-10-2024 07:43:30            20.500                   47
15-10-2024 08:13:30            21.000                   49
15-10-2024 08:43:21            21.498                   51

15-10-2024 08:43:30            21.500                   51
15-10-2024 09:13:30            22.000                   53
15-10-2024 09:43:31            22.501                   55

15-10-2024 10:13:31            23.001                   57
15-10-2024 10:43:31            23.501                   58

15-10-2024 11:13:31            24.001                   60
15-10-2024 11:41:41            24.470                   62
15-10-2024 11:41:56            24.474                   62

15-10-2024 11:43:31            24.501                   62
15-10-2024 12:12:27            24.983                   64

15-10-2024 12:12:42            24.987                   64
15-10-2024 12:13:31            25.001                   64
15-10-2024 12:43:29            25.500                   66

15-10-2024 12:43:31            25.501                   66
15-10-2024 13:13:31            26.001                   68

15-10-2024 13:43:31            26.501                   70
15-10-2024 14:11:09            26.961                   72
15-10-2024 14:11:24            26.965                   72

15-10-2024 14:13:31            27.001                   72
15-10-2024 14:43:10            27.495                   74
15-10-2024 14:43:25            27.499                   74

