
                                              MFCS/win                    Report printed:                2024-10-26 19:16:55
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_20_2                      Batch created:            2024-10-14 11:13:29

 Experiment Start:          2024-10-14 11:13:29                 Experiment Stop:          2024-10-18 14:31:21

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                     Setpoint


 Date    /  Time                Age

14-10-2024 11:13:30             0.000                  600

14-10-2024 11:15:45             0.038                  600
14-10-2024 11:16:00             0.042                  400
14-10-2024 11:43:30             0.500                  400

14-10-2024 12:13:30             1.000                  400
14-10-2024 12:43:30             1.500                  400
14-10-2024 13:13:30             2.000                  400

14-10-2024 13:43:30             2.500                  400
14-10-2024 14:05:09             2.861                  402

14-10-2024 14:05:24             2.865                  403
14-10-2024 14:05:39             2.869                  405
14-10-2024 14:05:54             2.874                  408

14-10-2024 14:07:54             2.907                  407
14-10-2024 14:08:09             2.911                  402

14-10-2024 14:10:24             2.949                  400
14-10-2024 14:10:39             2.953                  406
14-10-2024 14:10:54             2.957                  410

14-10-2024 14:11:09             2.961                  414
14-10-2024 14:11:24             2.965                  417

14-10-2024 14:11:39             2.969                  420
14-10-2024 14:11:54             2.974                  421
14-10-2024 14:12:24             2.982                  422

14-10-2024 14:12:39             2.986                  417
14-10-2024 14:12:54             2.990                  410
14-10-2024 14:13:09             2.994                  404

14-10-2024 14:13:24             2.999                  400
14-10-2024 14:13:30             3.000                  400

14-10-2024 14:15:09             3.028                  402
14-10-2024 14:15:24             3.032                  403
14-10-2024 14:16:24             3.049                  406

14-10-2024 14:16:39             3.053                  411
14-10-2024 14:16:54             3.057                  416

14-10-2024 14:17:09             3.061                  420
14-10-2024 14:17:24             3.065                  424
14-10-2024 14:18:24             3.082                  423

14-10-2024 14:18:39             3.086                  420


14-10-2024 14:18:54             3.090                  415
14-10-2024 14:19:09             3.094                  409

14-10-2024 14:19:24             3.099                  404
14-10-2024 14:19:39             3.103                  400
14-10-2024 14:21:10             3.128                  400

14-10-2024 14:21:25             3.132                  404
14-10-2024 14:21:40             3.136                  410

14-10-2024 14:21:55             3.141                  416
14-10-2024 14:22:10             3.145                  421
14-10-2024 14:22:25             3.149                  425

14-10-2024 14:22:40             3.153                  429
14-10-2024 14:23:10             3.161                  426

14-10-2024 14:23:25             3.166                  425
14-10-2024 14:23:40             3.170                  423
14-10-2024 14:23:55             3.174                  419

14-10-2024 14:24:10             3.178                  414
14-10-2024 14:24:25             3.182                  407
14-10-2024 14:24:40             3.186                  401

14-10-2024 14:26:25             3.216                  403
14-10-2024 14:26:40             3.220                  408

14-10-2024 14:26:55             3.224                  413
14-10-2024 14:27:10             3.228                  419
14-10-2024 14:27:25             3.232                  426

14-10-2024 14:27:40             3.236                  433
14-10-2024 14:27:55             3.241                  437

14-10-2024 14:28:10             3.245                  440
14-10-2024 14:28:25             3.249                  441
14-10-2024 14:28:40             3.253                  440

