
                                              MFCS/win                    Report printed:                2024-10-26 19:16:44
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_20_2                      Batch created:            2024-10-14 11:13:29

 Experiment Start:          2024-10-14 11:13:29                 Experiment Stop:          2024-10-18 14:31:21

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                      Value


 Date    /  Time                Age

14-10-2024 11:13:30             0.000                  600

14-10-2024 11:15:45             0.038                  600
14-10-2024 11:16:00             0.042                  451
14-10-2024 11:16:15             0.046                  401

14-10-2024 11:43:30             0.500                  401
14-10-2024 12:13:30             1.000                  401
14-10-2024 12:43:30             1.500                  401

14-10-2024 13:13:30             2.000                  401
14-10-2024 13:43:30             2.500                  401

14-10-2024 14:05:24             2.865                  401
14-10-2024 14:05:39             2.869                  405
14-10-2024 14:05:54             2.874                  406

14-10-2024 14:06:09             2.878                  409
14-10-2024 14:07:54             2.907                  409

14-10-2024 14:08:09             2.911                  404
14-10-2024 14:08:24             2.915                  401
14-10-2024 14:08:39             2.919                  401

14-10-2024 14:10:39             2.953                  403
14-10-2024 14:10:54             2.957                  409

14-10-2024 14:11:09             2.961                  412
14-10-2024 14:11:24             2.965                  416
14-10-2024 14:11:39             2.969                  420

14-10-2024 14:12:09             2.978                  420
14-10-2024 14:12:24             2.982                  424
14-10-2024 14:12:39             2.986                  420

14-10-2024 14:12:54             2.990                  413
14-10-2024 14:13:09             2.994                  406

14-10-2024 14:13:24             2.999                  401
14-10-2024 14:13:30             3.000                  401
14-10-2024 14:15:54             3.040                  402

14-10-2024 14:16:09             3.044                  405
14-10-2024 14:16:39             3.053                  407

14-10-2024 14:16:54             3.057                  414
14-10-2024 14:17:09             3.061                  418
14-10-2024 14:17:24             3.065                  422

14-10-2024 14:17:39             3.069                  424


14-10-2024 14:17:54             3.074                  426
14-10-2024 14:18:24             3.082                  424

14-10-2024 14:18:39             3.086                  421
14-10-2024 14:18:54             3.090                  417
14-10-2024 14:19:09             3.094                  412

14-10-2024 14:19:24             3.099                  406
14-10-2024 14:19:39             3.103                  401

14-10-2024 14:21:25             3.132                  401
14-10-2024 14:21:40             3.136                  407
14-10-2024 14:21:55             3.141                  414

14-10-2024 14:22:10             3.145                  420
14-10-2024 14:22:25             3.149                  424

14-10-2024 14:22:40             3.153                  428
14-10-2024 14:23:25             3.166                  427
14-10-2024 14:23:40             3.170                  424

14-10-2024 14:23:55             3.174                  421
14-10-2024 14:24:10             3.178                  416
14-10-2024 14:24:25             3.182                  410

14-10-2024 14:24:40             3.186                  403
14-10-2024 14:26:40             3.220                  405

14-10-2024 14:26:55             3.224                  411
14-10-2024 14:27:10             3.228                  416
14-10-2024 14:27:25             3.232                  423

14-10-2024 14:27:40             3.236                  430
14-10-2024 14:27:55             3.241                  435

14-10-2024 14:28:10             3.245                  439
14-10-2024 14:28:55             3.257                  437
14-10-2024 14:29:10             3.261                  432

