Fermenter:;;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;
Sensor:;;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;
Channel:;;CH0-CO2;CH1-O2;Abs_Hum;Rel_Hum;Temperature;Pressure;CH1-NO;Abs_Hum;Rel_Hum;Temperature;Pressure;CH0-CO2;CH1-O2;
Unit:;;Vol %;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;
Id:;;25;26;27;28;29;30;31;19;20;21;22;23;24;
Serial:;;890;890;890;890;890;890;890;883;883;883;883;883;883;
UTC;LocalTime;
2024-10-14 18:12:39;2024-10-14 11:12:39;0.10661;20.64637;2.37296;66.73075;27.10956;1.00373;;1.00484;0.04381;20.90773;1.00484;0.04381;20.90773;
2024-10-14 18:12:44;2024-10-14 11:12:44;0.10661;20.64637;2.37296;66.73075;27.10956;1.00373;;1.00484;0.04381;20.90773;1.00484;0.04381;20.90773;
2024-10-14 18:12:49;2024-10-14 11:12:49;0.10654;20.64567;2.3716;66.76738;27.13893;1.00377;;1.00484;0.04381;20.90773;1.00484;0.04381;20.90773;
2024-10-14 18:12:54;2024-10-14 11:12:54;0.10654;20.64567;2.3716;66.76738;27.13893;1.00377;;1.00484;0.04381;20.90773;1.00484;0.04381;20.90773;
2024-10-14 18:12:59;2024-10-14 11:12:59;0.10654;20.64567;2.3716;66.76738;27.13893;1.00377;;1.00478;0.04867;20.90117;1.00478;0.04867;20.90117;
2024-10-14 18:13:04;2024-10-14 11:13:04;0.10654;20.64567;2.3716;66.76738;27.13893;1.00377;;1.00478;0.04867;20.90117;1.00478;0.04867;20.90117;
2024-10-14 18:13:09;2024-10-14 11:13:09;0.10737;20.6426;2.37432;66.80553;27.13893;1.00373;;1.00478;0.04867;20.90117;1.00478;0.04867;20.90117;
2024-10-14 18:13:14;2024-10-14 11:13:14;0.10737;20.6426;2.37432;66.80553;27.13893;1.00373;;1.00478;0.04867;20.90117;1.00478;0.04867;20.90117;
2024-10-14 18:13:19;2024-10-14 11:13:19;0.10709;20.64249;2.37475;66.77654;27.13893;1.00372;;1.00482;0.05237;20.89416;1.00482;0.05237;20.89416;
2024-10-14 18:13:24;2024-10-14 11:13:24;0.10709;20.64249;2.37475;66.77654;27.13893;1.00372;;1.00482;0.05237;20.89416;1.00482;0.05237;20.89416;
2024-10-14 18:13:29;2024-10-14 11:13:29;0.10709;20.64249;2.37475;66.77654;27.13893;1.00372;;1.63114;47.18547;26.63157;1.00482;0.0552;20.88921;
2024-10-14 18:13:34;2024-10-14 11:13:34;0.10709;20.64249;2.37475;66.77654;27.13893;1.00372;;1.63114;47.18547;26.63157;1.00482;0.0552;20.88921;
2024-10-14 18:13:39;2024-10-14 11:13:39;0.10722;20.64271;2.3735;66.82384;27.12558;1.00373;;1.63114;47.18547;26.63157;1.00482;0.0552;20.88921;
2024-10-14 18:13:44;2024-10-14 11:13:44;0.10722;20.64271;2.3735;66.82384;27.12558;1.00373;;1.63114;47.18547;26.63157;1.00482;0.0552;20.88921;
2024-10-14 18:13:49;2024-10-14 11:13:49;0.10772;20.64582;1.00372;0.10772;20.64582;1.00372;;1.63114;47.18547;26.63157;1.00482;0.0552;20.88921;
2024-10-14 18:13:54;2024-10-14 11:13:54;0.10772;20.64582;1.00372;0.10772;20.64582;1.00372;;1.63114;47.18547;26.63157;1.00482;0.0552;20.88921;
2024-10-14 18:13:59;2024-10-14 11:13:59;0.10772;20.64582;1.00372;0.10772;20.64582;1.00372;;1.61408;46.76738;26.61822;1.00482;0.06171;20.88179;
2024-10-14 18:14:04;2024-10-14 11:14:04;0.10772;20.64582;1.00372;0.10772;20.64582;1.00372;;1.61408;46.76738;26.61822;1.00482;0.06171;20.88179;
2024-10-14 18:14:09;2024-10-14 11:14:09;0.1086;20.64437;2.37296;66.74601;27.13893;1.00376;;1.61408;46.76738;26.61822;1.00482;0.06171;20.88179;
2024-10-14 18:14:14;2024-10-14 11:14:14;0.1086;20.64437;2.37296;66.74601;27.13893;1.00376;;1.61408;46.76738;26.61822;1.00482;0.06171;20.88179;
2024-10-14 18:14:19;2024-10-14 11:14:19;0.10884;20.64326;1.00375;0.10884;20.64326;1.00375;;1.61408;46.76738;26.61822;1.00482;0.06171;20.88179;
2024-10-14 18:14:24;2024-10-14 11:14:24;0.10884;20.64326;1.00375;0.10884;20.64326;1.00375;;1.61408;46.76738;26.61822;1.00482;0.06171;20.88179;
