
                                              MFCS/win                    Report printed:                2024-10-26 19:12:30
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_21_R1                     Batch created:            2024-10-21 09:20:54

 Experiment Start:          2024-10-21 09:20:54                 Experiment Stop:          2024-10-25 11:47:18

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  BASET
                                                    ml
  Data
                                                      Value


 Date    /  Time                Age

21-10-2024 09:20:55             0.000                   0

21-10-2024 09:50:55             0.500                   0
21-10-2024 10:20:55             1.000                   0
21-10-2024 10:50:55             1.500                   0

21-10-2024 11:20:55             2.000                   0
21-10-2024 11:50:55             2.500                   0
21-10-2024 12:20:55             3.000                   1

21-10-2024 12:50:55             3.500                   1
21-10-2024 13:20:55             4.000                   1

21-10-2024 13:50:55             4.500                   1
21-10-2024 14:20:55             5.000                   1
21-10-2024 14:50:55             5.500                   1

21-10-2024 15:20:55             6.000                   2
21-10-2024 15:50:55             6.500                   2

21-10-2024 16:20:56             7.001                   2
21-10-2024 16:50:56             7.501                   3
21-10-2024 17:20:56             8.001                   3

21-10-2024 17:50:56             8.501                   3
21-10-2024 18:20:56             9.001                   3

21-10-2024 18:49:46             9.481                   5
21-10-2024 18:50:01             9.485                   6
21-10-2024 18:50:56             9.501                   7

21-10-2024 18:51:31             9.510                   9
21-10-2024 18:51:46             9.514                   10
21-10-2024 19:20:56            10.001                   11

21-10-2024 19:50:56            10.501                   12
21-10-2024 20:20:56            11.001                   13

21-10-2024 20:50:56            11.501                   14
21-10-2024 21:20:56            12.001                   15
21-10-2024 21:50:56            12.501                   17

21-10-2024 22:20:23            12.991                   19
21-10-2024 22:20:38            12.996                   19

21-10-2024 22:20:56            13.001                   19
21-10-2024 22:50:23            13.491                   21
21-10-2024 22:50:38            13.496                   21

21-10-2024 22:50:56            13.501                   21


21-10-2024 23:17:10            13.938                   23
21-10-2024 23:17:25            13.942                   23

21-10-2024 23:20:56            14.001                   23
21-10-2024 23:45:11            14.405                   25
21-10-2024 23:45:26            14.409                   25

21-10-2024 23:50:56            14.501                   26
22-10-2024 00:13:59            14.885                   28

22-10-2024 00:14:14            14.889                   28
22-10-2024 00:20:56            15.001                   28
22-10-2024 00:42:14            15.356                   30

22-10-2024 00:42:29            15.360                   30
22-10-2024 00:50:56            15.501                   31

22-10-2024 01:11:45            15.847                   33
22-10-2024 01:12:00            15.852                   33
22-10-2024 01:20:57            16.001                   34

22-10-2024 01:41:02            16.336                   36
22-10-2024 01:41:17            16.340                   36
22-10-2024 01:50:57            16.501                   37

22-10-2024 02:09:20            16.807                   39
22-10-2024 02:09:35            16.811                   39

22-10-2024 02:20:57            17.001                   40
22-10-2024 02:40:36            17.328                   42
22-10-2024 02:40:51            17.332                   42

22-10-2024 02:50:57            17.501                   43
22-10-2024 03:09:21            17.807                   45

22-10-2024 03:09:36            17.812                   45
22-10-2024 03:20:57            18.001                   47
22-10-2024 03:40:09            18.321                   49

22-10-2024 03:40:24            18.325                   49
22-10-2024 03:50:57            18.501                   50

22-10-2024 04:09:12            18.805                   52
22-10-2024 04:09:27            18.809                   52
22-10-2024 04:20:57            19.001                   53

22-10-2024 04:38:43            19.297                   55
22-10-2024 04:38:58            19.301                   55
22-10-2024 04:50:57            19.501                   56

22-10-2024 05:07:28            19.776                   58
22-10-2024 05:07:43            19.780                   58

22-10-2024 05:20:57            20.001                   60
22-10-2024 05:37:15            20.273                   62
22-10-2024 05:37:30            20.277                   62

22-10-2024 05:50:57            20.501                   63
22-10-2024 06:09:01            20.802                   65

22-10-2024 06:09:16            20.806                   65
22-10-2024 06:20:57            21.001                   67
22-10-2024 06:39:01            21.302                   68

22-10-2024 06:39:16            21.306                   69
22-10-2024 06:50:57            21.501                   70

22-10-2024 07:07:46            21.781                   72
22-10-2024 07:08:01            21.785                   72
22-10-2024 07:20:57            22.001                   73

22-10-2024 07:37:01            22.269                   75

22-10-2024 07:37:16            22.273                   75
22-10-2024 07:50:57            22.501                   77

22-10-2024 08:08:34            22.794                   79
22-10-2024 08:08:49            22.799                   79
22-10-2024 08:20:57            23.001                   80

22-10-2024 08:38:49            23.299                   82
22-10-2024 08:39:04            23.303                   82

22-10-2024 08:50:57            23.501                   83
22-10-2024 09:08:52            23.799                   85
22-10-2024 09:09:07            23.804                   86

22-10-2024 09:20:57            24.001                   87
22-10-2024 09:37:53            24.283                   89

22-10-2024 09:38:08            24.287                   89
22-10-2024 09:50:57            24.501                   90
22-10-2024 10:06:09            24.754                   92

22-10-2024 10:06:24            24.758                   92
22-10-2024 10:20:57            25.001                   94
22-10-2024 10:39:09            25.304                   96

22-10-2024 10:39:24            25.308                   96
22-10-2024 10:50:57            25.501                   97

22-10-2024 11:07:56            25.784                   99
22-10-2024 11:08:11            25.788                   99
22-10-2024 11:20:57            26.001                  101

22-10-2024 11:34:59            26.235                  103
22-10-2024 11:35:14            26.239                  103

22-10-2024 11:50:57            26.501                  105
22-10-2024 12:07:46            26.781                  106
22-10-2024 12:08:01            26.785                  107

22-10-2024 12:20:57            27.001                  108
