
                                              MFCS/win                    Report printed:                2024-10-26 19:13:40
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_21_R2                     Batch created:            2024-10-21 09:21:05

 Experiment Start:          2024-10-21 09:21:05                 Experiment Stop:          2024-10-25 11:47:26

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  EXT_F
                                                        %
  Data
                                                      Value


 Date    /  Time                Age

21-10-2024 09:21:06             0.000                  8.0

21-10-2024 09:51:06             0.500                  8.1
21-10-2024 10:21:06             1.000                  8.1
21-10-2024 10:51:06             1.500                  8.1

21-10-2024 11:21:06             2.000                  8.1
21-10-2024 11:51:06             2.500                  8.0
21-10-2024 12:21:06             3.000                  7.9

21-10-2024 12:51:06             3.500                  7.8
21-10-2024 13:21:06             4.000                  7.8

21-10-2024 13:51:06             4.500                  7.7
21-10-2024 14:21:06             5.000                  7.6
21-10-2024 14:51:06             5.500                  7.4

21-10-2024 15:21:06             6.000                  7.4
21-10-2024 15:51:06             6.500                  7.2

21-10-2024 16:21:06             7.000                  7.0
21-10-2024 16:51:06             7.500                  7.0
21-10-2024 17:21:06             8.000                  6.9

21-10-2024 17:51:06             8.500                  7.0
21-10-2024 18:21:06             9.000                  7.1

21-10-2024 18:51:06             9.500                  6.7
21-10-2024 19:21:06            10.000                  6.5
21-10-2024 19:51:06            10.500                  6.2

21-10-2024 20:21:06            11.000                  5.9
21-10-2024 20:51:06            11.500                  5.9
21-10-2024 21:21:06            12.000                  5.7

21-10-2024 21:51:06            12.500                  5.5
21-10-2024 22:21:06            13.000                  5.5

21-10-2024 22:51:06            13.500                  5.4
21-10-2024 23:21:06            14.000                  5.4
21-10-2024 23:51:06            14.500                  5.5

22-10-2024 00:21:06            15.000                  5.7
22-10-2024 00:51:06            15.500                  5.8

22-10-2024 01:21:06            16.000                  6.0
22-10-2024 01:51:06            16.500                  6.2
22-10-2024 02:21:06            17.000                  6.5

22-10-2024 02:51:06            17.500                  6.8


22-10-2024 03:21:06            18.000                  7.1
22-10-2024 03:51:06            18.500                  7.6

22-10-2024 04:21:06            19.000                  7.8
22-10-2024 04:51:06            19.500                  8.3
22-10-2024 05:21:06            20.000                  8.7

22-10-2024 05:51:06            20.500                  9.2
22-10-2024 06:21:06            21.000                  9.6

22-10-2024 06:51:06            21.500                  10.1
22-10-2024 07:21:06            22.000                  10.5
22-10-2024 07:51:06            22.500                  10.9

22-10-2024 08:21:06            23.000                  11.4
22-10-2024 08:51:06            23.500                  11.8

22-10-2024 09:21:06            24.000                  12.1
22-10-2024 09:51:06            24.500                  12.7
22-10-2024 10:21:06            25.000                  13.2

