
                                              MFCS/win                    Report printed:                2024-10-26 19:13:27
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_21_R2                     Batch created:            2024-10-21 09:21:05

 Experiment Start:          2024-10-21 09:21:05                 Experiment Stop:          2024-10-25 11:47:26

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                      Value


 Date    /  Time                Age

21-10-2024 09:21:06             0.000                   0

21-10-2024 09:21:21             0.004                   0
21-10-2024 09:21:36             0.009                  401
21-10-2024 09:21:51             0.013                  401

21-10-2024 09:22:06             0.017                  410
21-10-2024 09:22:21             0.021                  428
21-10-2024 09:22:36             0.025                  435

21-10-2024 09:22:51             0.029                  439
21-10-2024 09:23:06             0.034                  437

21-10-2024 09:23:21             0.038                  430
21-10-2024 09:23:36             0.042                  421
21-10-2024 09:23:51             0.046                  410

21-10-2024 09:24:06             0.050                  401
21-10-2024 09:51:06             0.500                  401

21-10-2024 10:21:06             1.000                  401
21-10-2024 10:51:06             1.500                  401
21-10-2024 11:17:26             1.939                  402

21-10-2024 11:17:41             1.943                  405
21-10-2024 11:17:56             1.948                  405

21-10-2024 11:18:11             1.952                  409
21-10-2024 11:19:26             1.972                  409
21-10-2024 11:19:41             1.977                  405

21-10-2024 11:21:06             2.000                  405
21-10-2024 11:21:11             2.002                  404
21-10-2024 11:21:26             2.006                  401

21-10-2024 11:23:26             2.039                  401
21-10-2024 11:23:41             2.043                  405

21-10-2024 11:24:41             2.060                  406
21-10-2024 11:24:56             2.064                  409
21-10-2024 11:27:56             2.114                  410

21-10-2024 11:28:11             2.118                  412
21-10-2024 11:29:11             2.135                  411

21-10-2024 11:29:26             2.139                  409
21-10-2024 11:32:26             2.189                  409
21-10-2024 11:32:41             2.193                  412

21-10-2024 11:35:56             2.247                  414


21-10-2024 11:36:11             2.252                  416
21-10-2024 11:42:56             2.364                  417

21-10-2024 11:43:11             2.368                  420
21-10-2024 11:48:56             2.464                  421
21-10-2024 11:49:11             2.468                  424

21-10-2024 11:51:06             2.500                  424
21-10-2024 11:52:41             2.527                  424

21-10-2024 11:52:56             2.531                  428
21-10-2024 11:53:26             2.539                  427
21-10-2024 11:53:41             2.543                  424

21-10-2024 11:56:56             2.597                  424
21-10-2024 11:57:11             2.602                  428

21-10-2024 12:01:42             2.677                  428
21-10-2024 12:01:57             2.681                  431
21-10-2024 12:05:57             2.748                  429

21-10-2024 12:06:12             2.752                  428
21-10-2024 12:06:57             2.764                  428
21-10-2024 12:07:12             2.769                  431

21-10-2024 12:07:57             2.781                  431
21-10-2024 12:08:13             2.786                  435

21-10-2024 12:09:58             2.815                  434
21-10-2024 12:10:13             2.819                  431
21-10-2024 12:11:58             2.848                  431

21-10-2024 12:12:13             2.852                  435
21-10-2024 12:19:13             2.969                  435

21-10-2024 12:19:28             2.973                  439
21-10-2024 12:21:06             3.000                  439
