
                                              MFCS/win                    Report printed:                2024-10-26 19:13:31
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_21_R2                     Batch created:            2024-10-21 09:21:05

 Experiment Start:          2024-10-21 09:21:05                 Experiment Stop:          2024-10-25 11:47:26

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 AIRSP_A
                                                       lpm
  Data
                                                      Value


 Date    /  Time                Age

21-10-2024 09:21:06             0.000                 1.000

21-10-2024 09:21:21             0.004                 1.004
21-10-2024 09:21:36             0.009                  .375
21-10-2024 09:22:06             0.017                  .391

21-10-2024 09:22:21             0.021                  .411
21-10-2024 09:23:51             0.046                  .386
21-10-2024 09:24:06             0.050                  .375

21-10-2024 09:51:06             0.500                  .375
21-10-2024 10:21:06             1.000                  .375

21-10-2024 10:51:06             1.500                  .375
21-10-2024 11:21:06             2.000                  .380
21-10-2024 11:51:06             2.500                  .406

21-10-2024 12:21:06             3.000                  .423
21-10-2024 12:51:06             3.500                  .450

21-10-2024 13:21:06             4.000                  .470
21-10-2024 13:51:06             4.500                  .497
21-10-2024 14:01:04             4.666                  .526

21-10-2024 14:01:19             4.671                  .527
21-10-2024 14:09:05             4.800                  .556

21-10-2024 14:09:20             4.804                  .558
21-10-2024 14:15:35             4.908                  .586
21-10-2024 14:15:50             4.912                  .590

21-10-2024 14:21:06             5.000                  .600
21-10-2024 14:25:05             5.067                  .629
21-10-2024 14:25:20             5.071                  .632

21-10-2024 14:33:20             5.204                  .660
21-10-2024 14:33:35             5.208                  .665

21-10-2024 14:40:51             5.329                  .693
21-10-2024 14:41:06             5.334                  .697
21-10-2024 14:45:52             5.413                  .725

21-10-2024 14:46:07             5.417                  .727
21-10-2024 14:51:06             5.500                  .743

21-10-2024 15:00:08             5.651                  .772
21-10-2024 15:00:23             5.655                  .773
21-10-2024 15:10:08             5.817                  .800

21-10-2024 15:10:23             5.822                  .804


21-10-2024 15:21:06             6.000                  .830
21-10-2024 15:32:53             6.197                  .859

21-10-2024 15:33:08             6.201                  .860
21-10-2024 15:44:24             6.389                  .883
21-10-2024 15:44:39             6.393                  .891

21-10-2024 15:51:06             6.500                  .889
21-10-2024 15:56:54             6.597                  .918

21-10-2024 15:57:09             6.601                  .919
21-10-2024 16:09:25             6.806                  .948
21-10-2024 16:09:40             6.810                  .949

21-10-2024 16:20:10             6.985                  .978
21-10-2024 16:20:25             6.989                  .980

21-10-2024 16:21:06             7.000                  .977
21-10-2024 16:32:25             7.189                 1.007
21-10-2024 16:32:40             7.193                 1.009

21-10-2024 16:40:10             7.318                 1.035
21-10-2024 16:40:25             7.322                 1.039
21-10-2024 16:51:06             7.500                 1.058

21-10-2024 17:07:10             7.768                 1.087
21-10-2024 17:07:25             7.772                 1.089

21-10-2024 17:21:06             8.000                 1.097
21-10-2024 17:49:56             8.481                 1.108
21-10-2024 17:50:11             8.485                   0

21-10-2024 17:50:26             8.489                   0
21-10-2024 17:50:41             8.493                  .375

21-10-2024 17:50:56             8.497                  .399
21-10-2024 17:51:06             8.500                   0
21-10-2024 17:51:11             8.502                   0

21-10-2024 17:51:26             8.506                  .409
21-10-2024 17:52:11             8.518                  .437

21-10-2024 17:52:26             8.522                  .446
21-10-2024 17:53:41             8.543                  .475
21-10-2024 17:53:56             8.547                  .480

21-10-2024 17:54:41             8.560                  .503
21-10-2024 17:54:56             8.564                  .516
21-10-2024 17:55:11             8.568                  .532

21-10-2024 17:55:26             8.572                  .546
21-10-2024 17:55:56             8.581                  .575

21-10-2024 17:56:11             8.585                  .590
21-10-2024 17:56:41             8.593                  .618
21-10-2024 17:56:56             8.597                  .632

21-10-2024 17:57:26             8.606                  .655
21-10-2024 17:57:41             8.610                  .666

21-10-2024 17:58:11             8.618                  .691
21-10-2024 17:58:26             8.622                  .704
21-10-2024 17:58:56             8.631                  .731

21-10-2024 17:59:11             8.635                  .745
21-10-2024 17:59:41             8.643                  .769

21-10-2024 17:59:56             8.647                  .782
21-10-2024 18:00:41             8.660                  .811
21-10-2024 18:00:56             8.664                  .823

21-10-2024 18:01:26             8.672                  .851

21-10-2024 18:01:41             8.677                  .866
21-10-2024 18:02:11             8.685                  .893

21-10-2024 18:02:26             8.689                  .904
21-10-2024 18:02:56             8.698                  .926
