
                                              MFCS/win                    Report printed:                2024-10-26 19:13:32
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_21_R2                     Batch created:            2024-10-21 09:21:05

 Experiment Start:          2024-10-21 09:21:05                 Experiment Stop:          2024-10-25 11:47:26

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 AIRSP_A
                                                       lpm
  Data
                                                     Setpoint


 Date    /  Time                Age

21-10-2024 09:21:06             0.000                 1.000

21-10-2024 09:21:21             0.004                  .375
21-10-2024 09:22:06             0.017                  .394
21-10-2024 09:22:21             0.021                  .415

21-10-2024 09:23:36             0.042                  .395
21-10-2024 09:23:51             0.046                  .381
21-10-2024 09:51:06             0.500                  .375

21-10-2024 10:21:06             1.000                  .375
21-10-2024 10:51:06             1.500                  .375

21-10-2024 11:21:06             2.000                  .379
21-10-2024 11:51:06             2.500                  .406
21-10-2024 12:21:06             3.000                  .423

21-10-2024 12:51:06             3.500                  .450
21-10-2024 13:21:06             4.000                  .470

21-10-2024 13:51:06             4.500                  .497
21-10-2024 14:00:49             4.662                  .523
21-10-2024 14:01:04             4.666                  .527

21-10-2024 14:09:05             4.800                  .556
21-10-2024 14:09:20             4.804                  .558

21-10-2024 14:15:35             4.908                  .587
21-10-2024 14:15:50             4.912                  .590
21-10-2024 14:21:06             5.000                  .601

21-10-2024 14:25:05             5.067                  .630
21-10-2024 14:25:20             5.071                  .632
21-10-2024 14:33:20             5.204                  .662

21-10-2024 14:33:35             5.208                  .666
21-10-2024 14:40:51             5.329                  .695

21-10-2024 14:41:06             5.334                  .697
21-10-2024 14:45:52             5.413                  .726
21-10-2024 14:46:07             5.417                  .728

21-10-2024 14:51:06             5.500                  .743
21-10-2024 15:00:08             5.651                  .772

21-10-2024 15:00:23             5.655                  .773
21-10-2024 15:10:08             5.817                  .801
21-10-2024 15:10:23             5.822                  .804

21-10-2024 15:21:06             6.000                  .830


21-10-2024 15:32:53             6.197                  .859
21-10-2024 15:33:08             6.201                  .860

21-10-2024 15:44:39             6.393                  .890
21-10-2024 15:44:54             6.397                  .892
21-10-2024 15:51:06             6.500                  .889

21-10-2024 15:56:54             6.597                  .918
21-10-2024 15:57:09             6.601                  .920

21-10-2024 16:11:40             6.843                  .949
21-10-2024 16:11:55             6.847                  .955
21-10-2024 16:21:06             7.000                  .976

21-10-2024 16:32:10             7.185                 1.005
21-10-2024 16:32:25             7.189                 1.007

21-10-2024 16:40:10             7.318                 1.035
21-10-2024 16:40:25             7.322                 1.040
21-10-2024 16:51:06             7.500                 1.058

21-10-2024 17:06:55             7.764                 1.086
21-10-2024 17:07:10             7.768                 1.088
21-10-2024 17:21:06             8.000                 1.097

21-10-2024 17:50:11             8.485                 1.106
21-10-2024 17:50:26             8.489                  .375

21-10-2024 17:51:06             8.500                  .402
21-10-2024 17:51:56             8.514                  .431
21-10-2024 17:52:11             8.518                  .439

21-10-2024 17:53:11             8.535                  .467
21-10-2024 17:53:26             8.539                  .471

21-10-2024 17:54:26             8.556                  .494
21-10-2024 17:54:41             8.560                  .502
21-10-2024 17:54:56             8.564                  .521

21-10-2024 17:55:11             8.568                  .536
21-10-2024 17:55:41             8.577                  .566

21-10-2024 17:55:56             8.581                  .579
21-10-2024 17:56:26             8.589                  .608
21-10-2024 17:56:41             8.593                  .623

21-10-2024 17:57:11             8.602                  .649
21-10-2024 17:57:26             8.606                  .658
21-10-2024 17:57:56             8.614                  .681

21-10-2024 17:58:11             8.618                  .695
21-10-2024 17:58:41             8.627                  .722

21-10-2024 17:58:56             8.631                  .735
21-10-2024 17:59:26             8.639                  .761
21-10-2024 17:59:41             8.643                  .772

21-10-2024 18:00:11             8.652                  .795
21-10-2024 18:00:26             8.656                  .803

21-10-2024 18:00:56             8.664                  .826
21-10-2024 18:01:11             8.668                  .839
21-10-2024 18:01:26             8.672                  .854

21-10-2024 18:01:41             8.677                  .870
21-10-2024 18:02:11             8.685                  .897

21-10-2024 18:02:26             8.689                  .908
21-10-2024 18:02:56             8.698                  .929
21-10-2024 18:03:11             8.702                  .941

21-10-2024 18:03:41             8.710                  .969

21-10-2024 18:03:56             8.714                  .980
21-10-2024 18:05:11             8.735                 1.006

21-10-2024 18:05:26             8.739                 1.010
21-10-2024 18:15:26             8.906                 1.034
