
                                              MFCS/win                    Report printed:                2024-10-26 19:13:40
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_21_R2                     Batch created:            2024-10-21 09:21:05

 Experiment Start:          2024-10-21 09:21:05                 Experiment Stop:          2024-10-25 11:47:26

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 VWEIGH_D
                                                        kg
  Data
                                                      Value


 Date    /  Time                Age

21-10-2024 09:21:06             0.000                 14.82

21-10-2024 09:24:51             0.063                 14.90
21-10-2024 09:25:06             0.067                 13.99
21-10-2024 09:25:21             0.071                 14.95

21-10-2024 09:26:21             0.088                 14.93
21-10-2024 09:26:36             0.092                 15.22
21-10-2024 09:26:51             0.096                 15.17

21-10-2024 09:27:06             0.100                 14.80
21-10-2024 09:51:06             0.500                 14.84

21-10-2024 10:21:06             1.000                 14.77
21-10-2024 10:51:06             1.500                 14.78
21-10-2024 11:21:06             2.000                 14.81

21-10-2024 11:51:06             2.500                 14.75
21-10-2024 12:21:06             3.000                 14.75

21-10-2024 12:51:06             3.500                 14.75
21-10-2024 13:21:06             4.000                 14.81
21-10-2024 13:51:06             4.500                 14.87

21-10-2024 14:21:06             5.000                 14.86
21-10-2024 14:47:22             5.438                 14.82

21-10-2024 14:47:37             5.442                 15.07
21-10-2024 14:47:52             5.446                 14.78
21-10-2024 14:51:06             5.500                 14.81

21-10-2024 15:21:06             6.000                 14.84
21-10-2024 15:51:06             6.500                 14.84
21-10-2024 16:21:06             7.000                 14.84

21-10-2024 16:51:06             7.500                 14.83
21-10-2024 17:21:06             8.000                 14.80

21-10-2024 17:48:56             8.464                 14.78
21-10-2024 17:49:11             8.468                 21.62
21-10-2024 17:49:26             8.472                 14.68

21-10-2024 17:49:56             8.481                 14.69
21-10-2024 17:50:11             8.485                 12.17

21-10-2024 17:50:26             8.489                 18.98
21-10-2024 17:50:41             8.493                 19.52
21-10-2024 17:50:56             8.497                 14.81

21-10-2024 17:51:06             8.500                 14.75


21-10-2024 17:51:11             8.502                 18.95
21-10-2024 17:51:26             8.506                 20.24

21-10-2024 17:51:41             8.510                 14.80
21-10-2024 18:04:56             8.731                 14.86
21-10-2024 18:05:11             8.735                 19.77

21-10-2024 18:05:26             8.739                 15.13
21-10-2024 18:15:11             8.902                 15.10

21-10-2024 18:15:26             8.906                 17.63
21-10-2024 18:15:41             8.910                 14.96
21-10-2024 18:21:06             9.000                 14.81

21-10-2024 18:51:06             9.500                 14.89
21-10-2024 19:21:06            10.000                 14.92

21-10-2024 19:51:06            10.500                 14.92
