
                                              MFCS/win                    Report printed:                2024-11-03 12:49:25
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat22_control                   Batch created:            2024-10-30 16:46:55

 Experiment Start:          2024-10-30 16:46:55                 Experiment Stop:          2024-11-03 12:10:26

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  EXT_F
                                                        %
  Data
                                                      Value


 Date    /  Time                Age

30-10-2024 16:46:55             0.000                  6.3

30-10-2024 17:16:55             0.500                  6.1
30-10-2024 17:46:55             1.000                  6.0
30-10-2024 18:16:55             1.500                  6.0

30-10-2024 18:46:55             2.000                  6.0
30-10-2024 19:16:55             2.500                  6.0
30-10-2024 19:46:55             3.000                  6.0

30-10-2024 20:16:55             3.500                  6.0
30-10-2024 20:46:55             4.000                  5.9

30-10-2024 21:16:55             4.500                  5.9
30-10-2024 21:46:55             5.000                  5.9
30-10-2024 22:16:55             5.500                  5.9

30-10-2024 22:46:55             6.000                  5.8
30-10-2024 23:16:55             6.500                  5.7

30-10-2024 23:46:55             7.000                  5.6
31-10-2024 00:16:55             7.500                  5.6
31-10-2024 00:46:55             8.000                  5.6

31-10-2024 01:16:55             8.500                  5.4
31-10-2024 01:46:55             9.000                  5.4

31-10-2024 02:16:55             9.500                  5.3
31-10-2024 02:46:55            10.000                  5.2
31-10-2024 03:16:55            10.500                  5.1

31-10-2024 03:46:55            11.000                  5.0
31-10-2024 04:16:55            11.500                  4.9
31-10-2024 04:46:55            12.000                  4.9

31-10-2024 05:16:55            12.500                  4.8
31-10-2024 05:46:55            13.000                  4.7

31-10-2024 06:16:55            13.500                  4.6
31-10-2024 06:46:55            14.000                  4.6
31-10-2024 07:16:55            14.500                  4.4

31-10-2024 07:46:55            15.000                  4.5
31-10-2024 08:16:55            15.500                  4.6

31-10-2024 08:46:55            16.000                  4.5
31-10-2024 09:16:55            16.500                  4.3
31-10-2024 09:46:55            17.000                  4.3

31-10-2024 10:16:55            17.500                  4.3


31-10-2024 10:46:55            18.000                  4.3
31-10-2024 11:16:55            18.500                  4.3

31-10-2024 11:46:55            19.000                  4.3
31-10-2024 12:16:55            19.500                  4.3
31-10-2024 12:46:55            20.000                  4.4

31-10-2024 13:16:55            20.500                  4.4
31-10-2024 13:46:55            21.000                  4.5

31-10-2024 14:16:55            21.500                  4.5
31-10-2024 14:46:55            22.000                  4.6
31-10-2024 15:16:55            22.500                  4.7

31-10-2024 15:46:55            23.000                  4.8
31-10-2024 16:16:55            23.500                  4.9

31-10-2024 16:46:55            24.000                  5.0
31-10-2024 17:16:55            24.500                  5.1
31-10-2024 17:46:55            25.000                  5.3

