
                                              MFCS/win                    Report printed:                2024-11-03 12:49:14
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat22_control                   Batch created:            2024-10-30 16:46:55

 Experiment Start:          2024-10-30 16:46:55                 Experiment Stop:          2024-11-03 12:10:26

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                      Value


 Date    /  Time                Age

30-10-2024 16:46:55             0.000                   0

30-10-2024 16:47:25             0.008                   0
30-10-2024 16:47:40             0.012                  150
30-10-2024 16:47:55             0.017                  600

30-10-2024 16:48:10             0.021                  600
30-10-2024 16:48:25             0.025                   0
30-10-2024 16:48:40             0.029                   0

30-10-2024 16:48:55             0.033                  570
30-10-2024 16:49:10             0.037                  590

30-10-2024 16:49:25             0.042                  401
30-10-2024 17:16:55             0.500                  401
30-10-2024 17:46:55             1.000                  401

30-10-2024 18:16:55             1.500                  401
30-10-2024 18:46:55             2.000                  401

30-10-2024 19:16:55             2.500                  401
30-10-2024 19:46:55             3.000                  401
30-10-2024 19:53:46             3.114                  401

30-10-2024 19:54:01             3.118                  405
30-10-2024 20:01:01             3.235                  405

30-10-2024 20:01:16             3.239                  409
30-10-2024 20:02:31             3.260                  409
30-10-2024 20:02:46             3.264                  406

30-10-2024 20:06:46             3.331                  405
30-10-2024 20:07:01             3.335                  409
30-10-2024 20:13:16             3.439                  411

30-10-2024 20:13:31             3.443                  412
30-10-2024 20:16:55             3.500                  412

30-10-2024 20:22:02             3.585                  413
30-10-2024 20:22:17             3.589                  416
30-10-2024 20:33:48             3.781                  416

30-10-2024 20:34:03             3.786                  420
30-10-2024 20:34:33             3.794                  420

30-10-2024 20:34:48             3.798                  416
30-10-2024 20:41:03             3.902                  414
30-10-2024 20:41:18             3.906                  412

30-10-2024 20:46:55             4.000                  412


30-10-2024 20:48:48             4.031                  412
30-10-2024 20:49:03             4.036                  409

30-10-2024 21:04:03             4.286                  407
30-10-2024 21:04:18             4.290                  405
30-10-2024 21:04:33             4.294                  409

30-10-2024 21:16:55             4.500                  409
30-10-2024 21:18:48             4.531                  408

30-10-2024 21:19:03             4.536                  405
30-10-2024 21:19:48             4.548                  405
30-10-2024 21:20:03             4.552                  408

30-10-2024 21:21:33             4.577                  409
30-10-2024 21:21:48             4.581                  412

30-10-2024 21:22:33             4.594                  412
30-10-2024 21:22:48             4.598                  409
30-10-2024 21:25:18             4.640                  409

30-10-2024 21:25:34             4.644                  412
30-10-2024 21:25:49             4.648                  409
30-10-2024 21:30:04             4.719                  411

30-10-2024 21:30:19             4.723                  412
30-10-2024 21:36:19             4.823                  410

30-10-2024 21:36:34             4.827                  409
30-10-2024 21:37:19             4.840                  409
30-10-2024 21:37:34             4.844                  412

30-10-2024 21:41:19             4.907                  413
30-10-2024 21:41:34             4.911                  416

30-10-2024 21:46:04             4.986                  414
30-10-2024 21:46:19             4.990                  413
30-10-2024 21:46:34             4.994                  416

30-10-2024 21:46:49             4.998                  416
30-10-2024 21:46:55             5.000                  416

30-10-2024 21:47:19             5.007                  414
30-10-2024 21:47:34             5.011                  413
30-10-2024 21:48:19             5.023                  416

30-10-2024 21:48:34             5.027                  416
30-10-2024 21:50:04             5.052                  416
30-10-2024 21:50:19             5.057                  420

30-10-2024 21:51:34             5.077                  418
30-10-2024 21:51:49             5.082                  416

30-10-2024 21:55:49             5.148                  417
30-10-2024 21:56:04             5.152                  420
30-10-2024 21:59:04             5.202                  423

30-10-2024 21:59:19             5.207                  424
30-10-2024 22:06:19             5.323                  426

30-10-2024 22:06:34             5.327                  428
30-10-2024 22:08:34             5.361                  428
30-10-2024 22:08:49             5.365                  431

30-10-2024 22:11:34             5.411                  430
30-10-2024 22:11:49             5.415                  428

30-10-2024 22:13:34             5.444                  430
30-10-2024 22:13:49             5.448                  431
30-10-2024 22:15:49             5.482                  431

30-10-2024 22:16:04             5.486                  435

30-10-2024 22:16:55             5.500                  435
30-10-2024 22:21:19             5.573                  435

30-10-2024 22:21:34             5.577                  438
30-10-2024 22:21:49             5.582                  438
30-10-2024 22:22:04             5.586                  435

30-10-2024 22:24:34             5.627                  435
30-10-2024 22:24:49             5.632                  439

30-10-2024 22:37:35             5.844                  441
30-10-2024 22:37:50             5.849                  442
30-10-2024 22:45:37             5.978                  444

30-10-2024 22:45:52             5.982                  446
30-10-2024 22:46:55             6.000                  446

30-10-2024 22:53:37             6.112                  447
30-10-2024 22:53:52             6.116                  450
30-10-2024 23:04:37             6.295                  451

30-10-2024 23:04:52             6.299                  454
30-10-2024 23:06:07             6.320                  454
30-10-2024 23:06:22             6.324                  450

30-10-2024 23:07:52             6.349                  453
30-10-2024 23:08:07             6.353                  454

30-10-2024 23:16:22             6.491                  455
30-10-2024 23:16:37             6.495                  458
30-10-2024 23:16:55             6.500                  458

30-10-2024 23:18:07             6.520                  457
30-10-2024 23:18:22             6.524                  454

30-10-2024 23:19:37             6.545                  454
30-10-2024 23:19:52             6.549                  458
30-10-2024 23:23:37             6.612                  456

30-10-2024 23:23:52             6.616                  454
30-10-2024 23:24:07             6.620                  454

30-10-2024 23:24:22             6.624                  458
30-10-2024 23:28:22             6.691                  460
30-10-2024 23:28:37             6.695                  461

30-10-2024 23:31:52             6.749                  461
30-10-2024 23:32:07             6.753                  458
30-10-2024 23:33:22             6.774                  460

30-10-2024 23:33:37             6.778                  461
30-10-2024 23:40:07             6.887                  464

30-10-2024 23:40:22             6.891                  465
30-10-2024 23:45:07             6.970                  464
30-10-2024 23:45:22             6.974                  461

30-10-2024 23:46:55             7.000                  462
30-10-2024 23:47:07             7.003                  462

30-10-2024 23:47:22             7.007                  465
30-10-2024 23:49:07             7.037                  465
30-10-2024 23:49:22             7.041                  468

30-10-2024 23:51:07             7.070                  469
