
                                              MFCS/win                    Report printed:                2024-11-03 12:49:19
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat22_control                   Batch created:            2024-10-30 16:46:55

 Experiment Start:          2024-10-30 16:46:55                 Experiment Stop:          2024-11-03 12:10:26

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                   pH_A
                                                    pH
  Data
                                                      Value


 Date    /  Time                Age

30-10-2024 16:46:55             0.000                  5.61

30-10-2024 17:16:55             0.500                  5.57
30-10-2024 17:46:55             1.000                  5.57
30-10-2024 18:16:55             1.500                  5.60

30-10-2024 18:46:55             2.000                  5.57
30-10-2024 19:16:55             2.500                  5.57
30-10-2024 19:46:55             3.000                  5.55

30-10-2024 20:16:55             3.500                  5.60
30-10-2024 20:46:55             4.000                  5.57

30-10-2024 21:16:55             4.500                  5.60
30-10-2024 21:46:55             5.000                  5.57
30-10-2024 22:16:55             5.500                  5.65

30-10-2024 22:25:49             5.648                  5.55
30-10-2024 22:26:04             5.652                  5.55

30-10-2024 22:42:36             5.928                  5.54
30-10-2024 22:42:51             5.932                  5.65
30-10-2024 22:46:55             6.000                  5.60

30-10-2024 23:16:55             6.500                  5.56
30-10-2024 23:46:55             7.000                  5.59

31-10-2024 00:16:55             7.500                  5.54
31-10-2024 00:24:08             7.620                  5.45
31-10-2024 00:24:23             7.624                  5.83

31-10-2024 00:30:38             7.729                  5.74
31-10-2024 00:30:53             7.733                  5.73
31-10-2024 00:36:38             7.829                  5.63

31-10-2024 00:36:53             7.833                  5.63
31-10-2024 00:41:53             7.916                  5.54

31-10-2024 00:42:08             7.920                  5.53
31-10-2024 00:46:55             8.000                  5.54
31-10-2024 01:06:25             8.325                  5.54

31-10-2024 01:06:40             8.329                  5.64
31-10-2024 01:11:10             8.404                  5.54

31-10-2024 01:11:25             8.408                  5.54
31-10-2024 01:16:55             8.500                  5.59
31-10-2024 01:46:55             9.000                  5.56

31-10-2024 02:16:55             9.500                  5.52


31-10-2024 02:24:31             9.627                  5.52
31-10-2024 02:24:46             9.631                  5.69

31-10-2024 02:28:16             9.689                  5.60
31-10-2024 02:28:31             9.693                  5.59
31-10-2024 02:30:46             9.731                  5.66

31-10-2024 02:31:01             9.735                  5.71
31-10-2024 02:34:46             9.797                  5.61

31-10-2024 02:35:01             9.802                  5.60
31-10-2024 02:46:55            10.000                  5.57
31-10-2024 02:48:32            10.027                  5.64

31-10-2024 02:48:47            10.031                  5.70
31-10-2024 02:52:02            10.085                  5.61

31-10-2024 02:52:17            10.089                  5.60
31-10-2024 03:16:55            10.500                  5.64
31-10-2024 03:20:03            10.552                  5.54

