
                                              MFCS/win                    Report printed:                2024-11-03 12:55:26
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat22_oscillate                 Batch created:            2024-10-30 16:47:12

 Experiment Start:          2024-10-30 16:47:12                 Experiment Stop:          2024-11-03 12:10:38

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  BASET
                                                    ml
  Data
                                                      Value


 Date    /  Time                Age

30-10-2024 16:47:13             0.000                   0

30-10-2024 17:17:13             0.500                   0
30-10-2024 17:47:13             1.000                   0
30-10-2024 18:17:13             1.500                   0

30-10-2024 18:47:13             2.000                   0
30-10-2024 19:17:13             2.500                   1
30-10-2024 19:47:13             3.000                   1

30-10-2024 20:17:13             3.500                   1
30-10-2024 20:47:13             4.000                   1

30-10-2024 21:17:13             4.500                   1
30-10-2024 21:47:13             5.000                   1
30-10-2024 22:17:13             5.500                   1

30-10-2024 22:47:13             6.000                   1
30-10-2024 23:17:13             6.500                   1

30-10-2024 23:47:13             7.000                   2
31-10-2024 00:17:13             7.500                   2
31-10-2024 00:47:13             8.000                   2

31-10-2024 01:17:13             8.500                   2
31-10-2024 01:47:13             9.000                   2

31-10-2024 02:17:13             9.500                   2
31-10-2024 02:47:13            10.000                   2
31-10-2024 03:17:13            10.500                   2

31-10-2024 03:47:13            11.000                   2
31-10-2024 04:17:13            11.500                   2
31-10-2024 04:47:13            12.000                   2

31-10-2024 05:17:13            12.500                   2
31-10-2024 05:47:13            13.000                   2

31-10-2024 06:17:13            13.500                   2
31-10-2024 06:47:13            14.000                   2
31-10-2024 07:17:13            14.500                   4

31-10-2024 07:47:13            15.000                   4
31-10-2024 08:17:13            15.500                   4

31-10-2024 08:47:13            16.000                   4
31-10-2024 09:17:13            16.500                   4
31-10-2024 09:47:13            17.000                   4

31-10-2024 10:17:13            17.500                   4


31-10-2024 10:47:13            18.000                   4
31-10-2024 11:17:13            18.500                   4

31-10-2024 11:47:13            19.000                   5
31-10-2024 12:17:13            19.500                   5
31-10-2024 12:25:29            19.638                   7

31-10-2024 12:25:44            19.642                   7
31-10-2024 12:47:13            20.000                   9

31-10-2024 13:17:13            20.500                   9
31-10-2024 13:47:13            21.000                   9
31-10-2024 14:17:13            21.500                   10

31-10-2024 14:47:13            22.000                   10
31-10-2024 15:17:13            22.500                   10

31-10-2024 15:47:13            23.000                   10
31-10-2024 16:17:13            23.500                   11
31-10-2024 16:47:13            24.000                   11

31-10-2024 17:17:13            24.500                   11
31-10-2024 17:47:13            25.000                   11
31-10-2024 18:17:13            25.500                   12

31-10-2024 18:47:13            26.000                   12
31-10-2024 19:17:13            26.500                   12

31-10-2024 19:47:13            27.000                   12
31-10-2024 20:17:13            27.500                   13
31-10-2024 20:47:13            28.000                   13

31-10-2024 21:17:13            28.500                   13
31-10-2024 21:47:13            29.000                   13

31-10-2024 22:17:13            29.500                   14
31-10-2024 22:47:13            30.000                   14
31-10-2024 23:17:13            30.500                   14

31-10-2024 23:47:13            31.000                   14
01-11-2024 00:17:13            31.500                   15

01-11-2024 00:47:13            32.000                   15
01-11-2024 01:17:13            32.500                   15
01-11-2024 01:47:13            33.000                   15

01-11-2024 02:17:13            33.500                   15
01-11-2024 02:47:13            34.000                   16
01-11-2024 03:17:13            34.500                   16

01-11-2024 03:47:13            35.000                   16
01-11-2024 04:17:13            35.500                   16

01-11-2024 04:47:13            36.000                   16
01-11-2024 05:17:13            36.500                   16
01-11-2024 05:47:13            37.000                   17

01-11-2024 06:17:13            37.500                   17
01-11-2024 06:47:13            38.000                   17

01-11-2024 07:17:13            38.500                   17
01-11-2024 07:47:13            39.000                   18
01-11-2024 08:17:13            39.500                   18

01-11-2024 08:47:13            40.000                   18
01-11-2024 09:17:13            40.500                   18

01-11-2024 09:47:13            41.000                   18
01-11-2024 10:17:13            41.500                   19
01-11-2024 10:47:13            42.000                   19

01-11-2024 11:17:13            42.500                   19

01-11-2024 11:47:13            43.000                   19
01-11-2024 12:17:13            43.500                   20

01-11-2024 12:47:13            44.000                   20
01-11-2024 13:17:13            44.500                   20
01-11-2024 13:47:13            45.000                   20

01-11-2024 14:17:13            45.500                   21
01-11-2024 14:47:13            46.000                   21

01-11-2024 15:17:13            46.500                   21
01-11-2024 15:47:13            47.000                   22
01-11-2024 16:17:13            47.500                   22

01-11-2024 16:47:13            48.000                   22
01-11-2024 17:17:13            48.500                   23

01-11-2024 17:47:13            49.000                   23
01-11-2024 18:17:13            49.500                   24
01-11-2024 18:47:13            50.000                   24

01-11-2024 19:17:13            50.500                   24
01-11-2024 19:47:13            51.000                   25
01-11-2024 20:17:13            51.500                   25

01-11-2024 20:47:13            52.000                   25
01-11-2024 21:17:13            52.500                   26

01-11-2024 21:47:13            53.000                   26
01-11-2024 22:17:13            53.500                   27
01-11-2024 22:47:13            54.000                   27

01-11-2024 23:17:13            54.500                   28
01-11-2024 23:47:13            55.000                   28

02-11-2024 00:17:13            55.500                   28
02-11-2024 00:47:13            56.000                   29
02-11-2024 01:17:13            56.500                   29

02-11-2024 01:47:13            57.000                   30
02-11-2024 02:17:13            57.500                   30

02-11-2024 02:47:13            58.000                   31
02-11-2024 03:17:13            58.500                   31
02-11-2024 03:47:13            59.000                   32

02-11-2024 04:17:13            59.500                   32
02-11-2024 04:47:13            60.000                   32
02-11-2024 05:17:13            60.500                   33

02-11-2024 05:47:13            61.000                   33
02-11-2024 06:17:13            61.500                   34

02-11-2024 06:47:13            62.000                   34
02-11-2024 07:17:13            62.500                   35
02-11-2024 07:47:13            63.000                   36

02-11-2024 08:17:13            63.500                   36
02-11-2024 08:47:13            64.000                   37

02-11-2024 09:17:13            64.500                   37
02-11-2024 09:47:13            65.000                   38
02-11-2024 10:17:13            65.500                   38

02-11-2024 10:47:13            66.000                   39
02-11-2024 11:17:13            66.500                   39

02-11-2024 11:47:13            67.000                   40
02-11-2024 12:17:13            67.500                   40
