
                                              MFCS/win                    Report printed:                2024-11-03 12:55:28
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat22_oscillate                 Batch created:            2024-10-30 16:47:12

 Experiment Start:          2024-10-30 16:47:12                 Experiment Stop:          2024-11-03 12:10:38

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                     Setpoint


 Date    /  Time                Age

30-10-2024 16:47:13             0.000                  600

30-10-2024 16:47:28             0.004                  500
30-10-2024 17:17:13             0.500                  500
30-10-2024 17:47:13             1.000                  500

30-10-2024 18:17:13             1.500                  500
30-10-2024 18:47:13             2.000                  500
30-10-2024 19:17:13             2.500                  500

30-10-2024 19:47:13             3.000                  500
30-10-2024 20:17:13             3.500                  500

30-10-2024 20:47:13             4.000                  500
30-10-2024 20:47:20             4.002                  600
30-10-2024 21:17:13             4.500                  600

30-10-2024 21:47:13             5.000                  600
30-10-2024 22:17:13             5.500                  600

30-10-2024 22:47:13             6.000                  600
30-10-2024 23:17:13             6.500                  600
30-10-2024 23:47:13             7.000                  600

31-10-2024 00:17:13             7.500                  600
31-10-2024 00:47:13             8.000                  600

31-10-2024 01:17:13             8.500                  600
31-10-2024 01:47:13             9.000                  600
31-10-2024 02:17:13             9.500                  600

31-10-2024 02:47:13            10.000                  600
31-10-2024 03:17:13            10.500                  600
31-10-2024 03:47:13            11.000                  600

31-10-2024 04:17:13            11.500                  600
31-10-2024 04:47:13            12.000                  600

31-10-2024 05:17:13            12.500                  600
31-10-2024 05:47:13            13.000                  600
31-10-2024 06:17:13            13.500                  600

31-10-2024 06:47:13            14.000                  600
31-10-2024 07:17:13            14.500                  600

31-10-2024 07:47:13            15.000                  600
31-10-2024 08:17:13            15.500                  600
31-10-2024 08:47:13            16.000                  600

31-10-2024 09:17:13            16.500                  600


31-10-2024 09:47:13            17.000                  600
31-10-2024 10:17:13            17.500                  600

31-10-2024 10:47:13            18.000                  600
31-10-2024 11:17:13            18.500                  600
31-10-2024 11:47:13            19.000                  600

31-10-2024 12:17:13            19.500                  600
31-10-2024 12:47:13            20.000                  600

31-10-2024 13:17:13            20.500                  600
31-10-2024 13:47:13            21.000                  600
31-10-2024 14:17:13            21.500                  600

31-10-2024 14:47:13            22.000                  600
31-10-2024 15:17:13            22.500                  600

31-10-2024 15:47:13            23.000                  600
31-10-2024 16:17:13            23.500                  600
31-10-2024 16:47:13            24.000                  600

31-10-2024 17:17:13            24.500                  600
31-10-2024 17:47:13            25.000                  600
31-10-2024 18:17:13            25.500                  600

31-10-2024 18:47:13            26.000                  600
31-10-2024 19:17:13            26.500                  600

31-10-2024 19:47:13            27.000                  600
31-10-2024 20:17:13            27.500                  600
31-10-2024 20:47:13            28.000                  600

31-10-2024 21:17:13            28.500                  600
31-10-2024 21:47:13            29.000                  600

31-10-2024 22:17:13            29.500                  600
31-10-2024 22:47:13            30.000                  600
31-10-2024 23:17:13            30.500                  600

31-10-2024 23:47:13            31.000                  600
01-11-2024 00:17:13            31.500                  600

01-11-2024 00:47:13            32.000                  600
01-11-2024 01:17:13            32.500                  600
01-11-2024 01:47:13            33.000                  600

01-11-2024 02:17:13            33.500                  600
01-11-2024 02:47:13            34.000                  600
01-11-2024 03:17:13            34.500                  600

01-11-2024 03:47:13            35.000                  600
01-11-2024 04:17:13            35.500                  600

01-11-2024 04:47:13            36.000                  600
01-11-2024 05:17:13            36.500                  600
01-11-2024 05:47:13            37.000                  600

01-11-2024 06:17:13            37.500                  600
01-11-2024 06:47:13            38.000                  600

01-11-2024 07:17:13            38.500                  600
01-11-2024 07:47:13            39.000                  600
01-11-2024 08:17:13            39.500                  600

01-11-2024 08:47:13            40.000                  600
01-11-2024 09:17:13            40.500                  600

01-11-2024 09:47:13            41.000                  600
01-11-2024 10:17:13            41.500                  600
01-11-2024 10:47:13            42.000                  600

01-11-2024 11:17:13            42.500                  600

01-11-2024 11:47:13            43.000                  600
01-11-2024 12:17:13            43.500                  600

01-11-2024 12:47:13            44.000                  600
01-11-2024 13:17:13            44.500                  600
01-11-2024 13:47:13            45.000                  600

01-11-2024 14:17:13            45.500                  600
01-11-2024 14:47:13            46.000                  600

01-11-2024 15:17:13            46.500                  600
01-11-2024 15:47:13            47.000                  600
01-11-2024 16:17:13            47.500                  600

01-11-2024 16:47:13            48.000                  600
01-11-2024 17:17:13            48.500                  600

01-11-2024 17:47:13            49.000                  600
01-11-2024 18:17:13            49.500                  600
01-11-2024 18:47:13            50.000                  600

01-11-2024 19:17:13            50.500                  600
01-11-2024 19:47:13            51.000                  600
01-11-2024 20:17:13            51.500                  600

01-11-2024 20:47:13            52.000                  600
01-11-2024 21:17:13            52.500                  600

01-11-2024 21:47:13            53.000                  600
01-11-2024 22:17:13            53.500                  600
01-11-2024 22:47:13            54.000                  600

01-11-2024 23:17:13            54.500                  600
01-11-2024 23:47:13            55.000                  600

02-11-2024 00:17:13            55.500                  600
02-11-2024 00:47:13            56.000                  600
02-11-2024 01:17:13            56.500                  600

02-11-2024 01:47:13            57.000                  600
02-11-2024 02:17:13            57.500                  600

02-11-2024 02:47:13            58.000                  600
02-11-2024 03:17:13            58.500                  600
02-11-2024 03:47:13            59.000                  600

02-11-2024 04:17:13            59.500                  600
02-11-2024 04:47:13            60.000                  600
02-11-2024 05:17:13            60.500                  600

02-11-2024 05:47:13            61.000                  600
02-11-2024 06:17:13            61.500                  600

02-11-2024 06:47:13            62.000                  600
02-11-2024 07:17:13            62.500                  600
02-11-2024 07:47:13            63.000                  600

02-11-2024 08:17:13            63.500                  600
02-11-2024 08:47:13            64.000                  600

02-11-2024 09:17:13            64.500                  600
02-11-2024 09:47:13            65.000                  600
02-11-2024 10:17:13            65.500                  600

02-11-2024 10:47:13            66.000                  600
02-11-2024 11:17:13            66.500                  600

02-11-2024 11:47:13            67.000                  600
02-11-2024 12:17:13            67.500                  600
