
                                              MFCS/win                    Report printed:                2024-11-03 12:55:12
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat22_oscillate                 Batch created:            2024-10-30 16:47:12

 Experiment Start:          2024-10-30 16:47:12                 Experiment Stop:          2024-11-03 12:10:38

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  PO2_A
                                                    %Sat
  Data
                                                      Value


 Date    /  Time                Age

30-10-2024 16:47:13             0.000                  55.1

30-10-2024 16:48:13             0.017                  55.3
30-10-2024 16:48:28             0.021                  57.7
30-10-2024 16:48:43             0.025                  60.9

30-10-2024 16:48:58             0.029                  64.2
30-10-2024 16:49:13             0.034                  67.5
30-10-2024 16:49:28             0.038                  70.6

30-10-2024 16:49:43             0.042                  72.8
30-10-2024 16:49:58             0.046                  74.5

30-10-2024 16:50:13             0.050                  76.2
30-10-2024 16:50:28             0.054                  78.1
30-10-2024 16:50:43             0.059                  80.1

30-10-2024 16:50:58             0.063                  82.3
30-10-2024 16:51:13             0.067                  83.2

30-10-2024 16:51:28             0.071                  84.3
30-10-2024 16:51:43             0.075                  85.6
30-10-2024 16:52:13             0.084                  86.6

30-10-2024 16:52:28             0.088                  87.0
30-10-2024 16:52:58             0.096                  87.7

30-10-2024 16:53:13             0.100                  88.0
30-10-2024 16:54:13             0.117                  89.0
30-10-2024 16:54:28             0.121                  89.2

30-10-2024 16:59:28             0.204                  90.1
30-10-2024 16:59:43             0.209                  90.2
30-10-2024 17:17:13             0.500                  89.7

30-10-2024 17:35:29             0.805                  88.8
30-10-2024 17:35:44             0.809                  88.7

30-10-2024 17:47:13             1.000                  88.1
30-10-2024 18:00:00             1.213                  87.2
30-10-2024 18:00:15             1.217                  87.1

30-10-2024 18:08:45             1.359                  86.1
30-10-2024 18:09:00             1.363                  86.1

30-10-2024 18:17:13             1.500                  85.6
30-10-2024 18:25:30             1.638                  84.7
30-10-2024 18:25:45             1.642                  84.6

30-10-2024 18:35:00             1.797                  83.7


30-10-2024 18:35:15             1.801                  83.6
30-10-2024 18:44:15             1.951                  82.6

30-10-2024 18:44:30             1.955                  82.6
30-10-2024 18:47:13             2.000                  82.3
30-10-2024 18:56:16             2.151                  81.3

30-10-2024 18:56:31             2.155                  81.3
30-10-2024 19:03:16             2.268                  80.3

30-10-2024 19:03:31             2.272                  80.3
30-10-2024 19:12:31             2.422                  79.3
30-10-2024 19:12:46             2.426                  79.2

30-10-2024 19:17:02             2.497                  78.2
30-10-2024 19:17:13             2.500                  78.2

30-10-2024 19:24:02             2.614                  77.3
30-10-2024 19:24:17             2.618                  77.2
30-10-2024 19:32:02             2.747                  76.3

