Fermenter:;;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;
Sensor:;;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;
Channel:;;CH0-CO2;CH1-O2;Abs_Hum;Rel_Hum;Temperature;Pressure;CH1-NO;Abs_Hum;Rel_Hum;Temperature;Pressure;CH0-CO2;CH1-O2;
Unit:;;Vol %;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;
Id:;;25;26;27;28;29;30;31;19;20;21;22;23;24;
Serial:;;890;890;890;890;890;890;890;883;883;883;883;883;883;
UTC;LocalTime;
2024-11-06 21:18:42;2024-11-06 13:18:42;0.1164;20.87182;1.85359;54.85618;26.27909;1.01564;;1.68643;51.50683;25.74235;1.0165;0.11133;20.87501;
2024-11-06 21:18:47;2024-11-06 13:18:47;0.1164;20.87182;1.85359;54.85618;26.27909;1.01564;;1.68643;51.50683;25.74235;1.0165;0.11133;20.87501;
2024-11-06 21:18:52;2024-11-06 13:18:52;0.12011;20.87106;1.86365;55.18578;26.26574;1.01562;;1.69864;51.7998;25.75837;1.01647;0.1126;20.87472;
2024-11-06 21:18:57;2024-11-06 13:18:57;0.12011;20.87106;1.86365;55.18578;26.26574;1.01562;;1.69864;51.7998;25.75837;1.01647;0.1126;20.87472;
2024-11-06 21:19:02;2024-11-06 13:19:02;0.12198;20.87128;1.0156;0.12198;20.87128;1.0156;;1.01653;0.11416;20.87492;1.01653;0.11416;20.87492;
2024-11-06 21:19:07;2024-11-06 13:19:07;0.12198;20.87128;1.0156;0.12198;20.87128;1.0156;;1.01653;0.11416;20.87492;1.01653;0.11416;20.87492;
2024-11-06 21:19:12;2024-11-06 13:19:12;0.124;20.87179;1.88563;55.73968;26.26574;1.01562;;1.01654;0.11487;20.87639;1.01654;0.11487;20.87639;
2024-11-06 21:19:17;2024-11-06 13:19:17;0.124;20.87179;1.88563;55.73968;26.26574;1.01562;;1.01654;0.11487;20.87639;1.01654;0.11487;20.87639;
2024-11-06 21:19:22;2024-11-06 13:19:22;0.12557;20.8723;1.01563;0.12557;20.8723;1.01563;;1.01651;0.1165;20.87741;1.01651;0.1165;20.87741;
2024-11-06 21:19:27;2024-11-06 13:19:27;0.12557;20.8723;1.01563;0.12557;20.8723;1.01563;;1.01651;0.1165;20.87741;1.01651;0.1165;20.87741;
2024-11-06 21:19:32;2024-11-06 13:19:32;0.12792;20.87742;1.01563;0.12792;20.87742;1.01563;;1.0165;0.11694;20.88019;1.0165;0.11694;20.88019;
2024-11-06 21:19:37;2024-11-06 13:19:37;0.12792;20.87742;1.01563;0.12792;20.87742;1.01563;;1.0165;0.11694;20.88019;1.0165;0.11694;20.88019;
2024-11-06 21:19:42;2024-11-06 13:19:42;0.12888;20.87963;1.91313;56.55604;26.26574;1.01565;;1.01651;0.11693;20.88386;1.01651;0.11693;20.88386;
2024-11-06 21:19:47;2024-11-06 13:19:47;0.12888;20.87963;1.91313;56.55604;26.26574;1.01565;;1.01651;0.11693;20.88386;1.01651;0.11693;20.88386;
2024-11-06 21:19:52;2024-11-06 13:19:52;0.13021;20.88168;1.91982;56.76051;26.26574;1.01565;;1.74279;53.20058;25.74235;1.01651;0.11671;20.88416;
2024-11-06 21:19:57;2024-11-06 13:19:57;0.13021;20.88168;1.91982;56.76051;26.26574;1.01565;;1.74279;53.20058;25.74235;1.01651;0.11671;20.88416;
2024-11-06 21:20:02;2024-11-06 13:20:02;0.13082;20.88435;1.9282;56.98482;26.26574;1.01567;;1.74684;53.34554;25.75837;1.01648;0.11581;20.88461;
2024-11-06 21:20:07;2024-11-06 13:20:07;0.13082;20.88435;1.9282;56.98482;26.26574;1.01567;;1.74684;53.34554;25.75837;1.01648;0.11581;20.88461;
2024-11-06 21:20:12;2024-11-06 13:20:12;0.13089;20.88573;1.93349;57.18776;26.26574;1.01567;;1.75811;53.54696;25.75837;1.0165;0.11544;20.88603;
2024-11-06 21:20:17;2024-11-06 13:20:17;0.13089;20.88573;1.93349;57.18776;26.26574;1.01567;;1.75811;53.54696;25.75837;1.0165;0.11544;20.88603;
2024-11-06 21:20:22;2024-11-06 13:20:22;0.13089;20.88762;1.94072;57.40749;26.24971;1.01566;;1.76095;53.70413;25.74235;1.01654;0.11507;20.88912;
2024-11-06 21:20:27;2024-11-06 13:20:27;0.13089;20.88762;1.94072;57.40749;26.24971;1.01566;;1.76095;53.70413;25.74235;1.01654;0.11507;20.88912;
