
                                              MFCS/win                    Report printed:                2024-11-26 16:18:15
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT23_BDCU_1_lowO2              Batch created:            2024-11-06 13:19:34

 Experiment Start:          2024-11-06 13:19:34                 Experiment Stop:          2024-11-10 08:34:17

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                     Setpoint


 Date    /  Time                Age

06-11-2024 13:19:34             0.000                  400

06-11-2024 13:49:34             0.500                  400
06-11-2024 14:19:34             1.000                  400
06-11-2024 14:49:34             1.500                  400

06-11-2024 15:19:34             2.000                  400
06-11-2024 15:49:34             2.500                  400
06-11-2024 16:19:34             3.000                  400

06-11-2024 16:49:34             3.500                  400
06-11-2024 17:19:34             4.000                  400

06-11-2024 17:49:34             4.500                  400
06-11-2024 18:19:34             5.000                  400
06-11-2024 18:37:32             5.299                  402

06-11-2024 18:37:47             5.304                  403
06-11-2024 18:49:34             5.500                  404

06-11-2024 18:57:32             5.633                  407
06-11-2024 18:57:47             5.637                  408
06-11-2024 19:00:48             5.687                  410

06-11-2024 19:01:03             5.691                  411
06-11-2024 19:11:34             5.867                  413

06-11-2024 19:11:49             5.871                  414
06-11-2024 19:17:04             5.958                  417
06-11-2024 19:17:19             5.962                  417

06-11-2024 19:19:34             6.000                  417
06-11-2024 19:27:05             6.125                  420
06-11-2024 19:27:20             6.129                  420

06-11-2024 19:32:06             6.209                  423
06-11-2024 19:32:21             6.213                  424

06-11-2024 19:46:37             6.451                  426
06-11-2024 19:46:52             6.455                  427
06-11-2024 19:49:34             6.500                  427

06-11-2024 19:55:08             6.593                  430
06-11-2024 19:55:23             6.597                  430

06-11-2024 20:03:24             6.731                  433
06-11-2024 20:03:39             6.735                  433
06-11-2024 20:13:10             6.893                  436

06-11-2024 20:13:25             6.897                  437


06-11-2024 20:19:34             7.000                  438
06-11-2024 20:28:10             7.143                  441

06-11-2024 20:28:25             7.148                  441
06-11-2024 20:34:55             7.256                  444
06-11-2024 20:35:10             7.260                  444

06-11-2024 20:46:26             7.448                  447
06-11-2024 20:46:41             7.452                  447

06-11-2024 20:49:34             7.500                  449
06-11-2024 21:03:57             7.740                  452
