
                                              MFCS/win                    Report printed:                2024-11-26 16:18:17
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT23_BDCU_1_lowO2              Batch created:            2024-11-06 13:19:34

 Experiment Start:          2024-11-06 13:19:34                 Experiment Stop:          2024-11-10 08:34:17

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                _BatchAge
                                                      hours
  Data
                                                      Value


 Date    /  Time                Age

06-11-2024 13:19:34             0.000                   0

06-11-2024 13:49:34             0.500                  .50
06-11-2024 14:19:34             1.000                  1.00
06-11-2024 14:49:34             1.500                  1.50

06-11-2024 15:19:34             2.000                  2.00
06-11-2024 15:49:34             2.500                  2.50
06-11-2024 16:19:34             3.000                  3.00

06-11-2024 16:49:34             3.500                  3.50
06-11-2024 17:19:34             4.000                  4.00

06-11-2024 17:49:34             4.500                  4.50
06-11-2024 18:19:34             5.000                  5.00
06-11-2024 18:49:34             5.500                  5.50

06-11-2024 19:19:34             6.000                  6.00
06-11-2024 19:49:34             6.500                  6.50

06-11-2024 20:19:34             7.000                  7.00
06-11-2024 20:49:34             7.500                  7.50
06-11-2024 21:19:34             8.000                  8.00

06-11-2024 21:49:34             8.500                  8.50
06-11-2024 22:19:34             9.000                  9.00

06-11-2024 22:49:34             9.500                  9.50
06-11-2024 23:19:34            10.000                 10.00
06-11-2024 23:49:34            10.500                 10.50

07-11-2024 00:19:34            11.000                 11.00
07-11-2024 00:49:34            11.500                 11.50
07-11-2024 01:19:34            12.000                 12.00

07-11-2024 01:49:34            12.500                 12.50
07-11-2024 02:19:34            13.000                 13.00

07-11-2024 02:49:34            13.500                 13.50
07-11-2024 03:19:34            14.000                 14.00
07-11-2024 03:49:34            14.500                 14.50

07-11-2024 04:19:34            15.000                 15.00
07-11-2024 04:49:34            15.500                 15.50

07-11-2024 05:19:34            16.000                 16.00
07-11-2024 05:49:34            16.500                 16.50
07-11-2024 06:19:34            17.000                 17.00

07-11-2024 06:49:34            17.500                 17.50


07-11-2024 07:19:34            18.000                 18.00
07-11-2024 07:49:34            18.500                 18.50

07-11-2024 08:19:35            19.000                 19.00
07-11-2024 08:29:01            19.157                 19.16
07-11-2024 08:33:44            19.236                 19.24

07-11-2024 08:40:04            19.342                 19.34
07-11-2024 09:09:49            19.837                 19.84

07-11-2024 09:39:49            20.338                 20.34
07-11-2024 10:09:49            20.837                 20.84
07-11-2024 10:39:49            21.337                 21.34

07-11-2024 11:09:49            21.838                 21.84
07-11-2024 11:39:49            22.337                 22.34

07-11-2024 12:09:49            22.837                 22.84
07-11-2024 12:39:49            23.338                 23.34
07-11-2024 13:09:49            23.837                 23.84

07-11-2024 13:39:49            24.337                 24.34
07-11-2024 14:09:49            24.838                 24.84
07-11-2024 14:39:49            25.337                 25.34

07-11-2024 15:09:49            25.837                 25.84
07-11-2024 15:39:49            26.338                 26.34

07-11-2024 16:09:49            26.837                 26.84
07-11-2024 16:39:49            27.337                 27.34
07-11-2024 16:46:30            27.449                 27.45

07-11-2024 17:16:15            27.945                 27.94
07-11-2024 17:46:15            28.445                 28.44

07-11-2024 18:16:15            28.945                 28.94
07-11-2024 18:46:15            29.445                 29.44
07-11-2024 19:16:15            29.945                 29.94

07-11-2024 19:46:15            30.445                 30.44
07-11-2024 20:16:15            30.945                 30.94

07-11-2024 20:46:15            31.445                 31.44
07-11-2024 21:16:15            31.945                 31.94
07-11-2024 21:46:15            32.445                 32.44
