
                                              MFCS/win                    Report printed:                2024-11-26 16:18:03
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT23_BDCU_1_lowO2              Batch created:            2024-11-06 13:19:34

 Experiment Start:          2024-11-06 13:19:34                 Experiment Stop:          2024-11-10 08:34:17

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                      Value


 Date    /  Time                Age

06-11-2024 13:19:34             0.000                  401

06-11-2024 13:49:34             0.500                  401
06-11-2024 14:19:34             1.000                  401
06-11-2024 14:49:34             1.500                  401

06-11-2024 15:19:34             2.000                  401
06-11-2024 15:49:34             2.500                  401
06-11-2024 16:19:34             3.000                  401

06-11-2024 16:49:34             3.500                  401
06-11-2024 17:19:34             4.000                  401

06-11-2024 17:49:34             4.500                  401
06-11-2024 18:19:34             5.000                  401
06-11-2024 18:38:02             5.308                  402

06-11-2024 18:38:17             5.312                  405
06-11-2024 18:38:47             5.320                  404

06-11-2024 18:39:02             5.324                  401
06-11-2024 18:45:02             5.424                  402
06-11-2024 18:45:17             5.429                  405

06-11-2024 18:49:34             5.500                  405
06-11-2024 18:57:32             5.633                  405

06-11-2024 18:57:47             5.637                  409
06-11-2024 19:03:33             5.733                  411
06-11-2024 19:03:48             5.737                  412

06-11-2024 19:13:19             5.896                  412
06-11-2024 19:13:34             5.900                  416
06-11-2024 19:19:34             6.000                  416

06-11-2024 19:25:50             6.104                  416
06-11-2024 19:26:05             6.109                  420

06-11-2024 19:32:06             6.209                  421
06-11-2024 19:32:21             6.213                  424
06-11-2024 19:44:07             6.409                  425

06-11-2024 19:44:22             6.413                  428
06-11-2024 19:49:34             6.500                  428

06-11-2024 19:55:23             6.597                  430
06-11-2024 19:55:38             6.601                  431
06-11-2024 20:09:54             6.839                  433

06-11-2024 20:10:09             6.843                  435


06-11-2024 20:15:25             6.931                  435
06-11-2024 20:15:40             6.935                  438

06-11-2024 20:19:34             7.000                  438
06-11-2024 20:30:10             7.177                  440
06-11-2024 20:30:25             7.181                  441

06-11-2024 20:35:55             7.272                  442
06-11-2024 20:36:10             7.277                  445

06-11-2024 20:47:27             7.465                  446
06-11-2024 20:47:42             7.469                  450
06-11-2024 20:47:57             7.473                  446

06-11-2024 20:48:42             7.486                  446
06-11-2024 20:48:57             7.490                  450

06-11-2024 20:49:34             7.500                  450
06-11-2024 20:52:42             7.552                  448
06-11-2024 20:52:57             7.556                  446

06-11-2024 20:53:57             7.573                  449
06-11-2024 20:54:12             7.577                  450
06-11-2024 21:04:27             7.748                  451

06-11-2024 21:04:42             7.752                  454
06-11-2024 21:14:43             7.919                  456

06-11-2024 21:14:58             7.923                  458
06-11-2024 21:16:13             7.944                  458
06-11-2024 21:16:28             7.948                  454

06-11-2024 21:16:43             7.952                  454
06-11-2024 21:16:58             7.957                  458

06-11-2024 21:19:34             8.000                  458
06-11-2024 21:27:14             8.128                  459
06-11-2024 21:27:29             8.132                  461

06-11-2024 21:39:59             8.340                  462
06-11-2024 21:40:14             8.344                  465

06-11-2024 21:49:34             8.500                  465
06-11-2024 21:52:30             8.549                  465
06-11-2024 21:52:45             8.553                  469

06-11-2024 22:04:30             8.749                  470
06-11-2024 22:04:45             8.753                  472
06-11-2024 22:18:45             8.986                  475

06-11-2024 22:19:00             8.991                  476
06-11-2024 22:19:15             8.995                  472

06-11-2024 22:19:34             9.000                  472
06-11-2024 22:21:30             9.032                  474
06-11-2024 22:21:45             9.036                  476

06-11-2024 22:25:01             9.091                  475
06-11-2024 22:25:16             9.095                  472

06-11-2024 22:25:46             9.103                  473
06-11-2024 22:26:01             9.107                  476
06-11-2024 22:32:46             9.220                  476

06-11-2024 22:33:01             9.224                  480
06-11-2024 22:35:01             9.257                  480

06-11-2024 22:35:16             9.262                  477
06-11-2024 22:36:01             9.274                  479
06-11-2024 22:36:16             9.278                  480

06-11-2024 22:41:16             9.362                  481

06-11-2024 22:41:31             9.366                  483
06-11-2024 22:42:16             9.378                  481

06-11-2024 22:42:31             9.383                  480
06-11-2024 22:43:16             9.395                  483
06-11-2024 22:43:31             9.399                  483

06-11-2024 22:49:34             9.500                  482
06-11-2024 22:57:16             9.628                  484

06-11-2024 22:57:31             9.632                  488
06-11-2024 22:58:16             9.645                  488
06-11-2024 22:58:31             9.649                  484

06-11-2024 23:00:01             9.674                  484
06-11-2024 23:00:16             9.678                  488

06-11-2024 23:00:31             9.682                  484
06-11-2024 23:03:46             9.737                  484
06-11-2024 23:04:01             9.741                  488

06-11-2024 23:04:46             9.753                  486
06-11-2024 23:05:01             9.758                  484
06-11-2024 23:06:16             9.778                  484

06-11-2024 23:06:31             9.782                  488
06-11-2024 23:15:01             9.924                  488

06-11-2024 23:15:16             9.928                  491
06-11-2024 23:16:46             9.953                  489
06-11-2024 23:17:01             9.957                  488

06-11-2024 23:17:16             9.962                  488
06-11-2024 23:17:31             9.966                  491

06-11-2024 23:17:46             9.970                  488
06-11-2024 23:18:46             9.987                  488
06-11-2024 23:19:01             9.991                  491

06-11-2024 23:19:34            10.000                  491
06-11-2024 23:20:16            10.012                  490

06-11-2024 23:20:31            10.016                  488
06-11-2024 23:21:31            10.033                  488
06-11-2024 23:21:46            10.037                  491

06-11-2024 23:39:32            10.333                  491
06-11-2024 23:39:47            10.337                  494
06-11-2024 23:41:02            10.358                  492

06-11-2024 23:41:17            10.362                  491
06-11-2024 23:42:32            10.383                  494

06-11-2024 23:42:47            10.387                  495
06-11-2024 23:49:34            10.500                  495
07-11-2024 00:05:48            10.771                  496

07-11-2024 00:06:03            10.775                  499
07-11-2024 00:06:18            10.779                  498

07-11-2024 00:06:33            10.783                  495
07-11-2024 00:12:03            10.875                  496
07-11-2024 00:12:18            10.879                  499

07-11-2024 00:13:18            10.896                  496
07-11-2024 00:13:33            10.900                  495

07-11-2024 00:14:18            10.912                  495
07-11-2024 00:14:33            10.916                  499
07-11-2024 00:19:34            11.000                  499

07-11-2024 00:40:48            11.354                  499

07-11-2024 00:41:03            11.358                  496
07-11-2024 00:49:34            11.500                  495

07-11-2024 00:59:49            11.671                  495
07-11-2024 01:00:04            11.675                  498
07-11-2024 01:00:34            11.683                  495

07-11-2024 01:00:49            11.687                  495
07-11-2024 01:06:49            11.787                  493

07-11-2024 01:07:04            11.792                  491
07-11-2024 01:08:19            11.813                  492
07-11-2024 01:08:34            11.817                  495

07-11-2024 01:19:34            12.000                  495
07-11-2024 01:43:49            12.404                  496

07-11-2024 01:44:04            12.408                  499
07-11-2024 01:47:34            12.467                  499
07-11-2024 01:47:49            12.471                  495

07-11-2024 01:49:04            12.492                  495
07-11-2024 01:49:19            12.496                  499
07-11-2024 01:49:34            12.500                  499

07-11-2024 01:49:49            12.504                  497
07-11-2024 01:50:04            12.508                  495

07-11-2024 01:52:49            12.554                  495
07-11-2024 01:53:04            12.558                  499
07-11-2024 01:53:49            12.571                  496

07-11-2024 01:54:04            12.575                  495
07-11-2024 01:55:34            12.600                  496

07-11-2024 01:55:49            12.604                  499
07-11-2024 01:58:19            12.646                  497
07-11-2024 01:58:34            12.650                  495

07-11-2024 02:00:19            12.679                  495
07-11-2024 02:00:34            12.683                  499

07-11-2024 02:02:19            12.712                  499
07-11-2024 02:02:34            12.717                  495
07-11-2024 02:13:04            12.892                  498

07-11-2024 02:13:19            12.896                  499
07-11-2024 02:19:34            13.000                  499
07-11-2024 02:31:21            13.196                  499

07-11-2024 02:31:36            13.201                  496
07-11-2024 02:34:06            13.242                  498

07-11-2024 02:34:21            13.246                  499
07-11-2024 02:34:36            13.251                  499
07-11-2024 02:34:51            13.255                  495

07-11-2024 02:40:06            13.342                  493
07-11-2024 02:40:21            13.346                  491

07-11-2024 02:43:36            13.401                  490
07-11-2024 02:43:51            13.405                  488
07-11-2024 02:44:36            13.417                  490

07-11-2024 02:44:51            13.421                  491
07-11-2024 02:46:36            13.451                  494

07-11-2024 02:46:51            13.455                  495
07-11-2024 02:48:36            13.484                  497
07-11-2024 02:48:51            13.488                  499

07-11-2024 02:49:34            13.500                  499

07-11-2024 03:02:21            13.713                  499
07-11-2024 03:02:36            13.717                  495

07-11-2024 03:03:06            13.726                  495
07-11-2024 03:03:21            13.730                  499
07-11-2024 03:03:36            13.734                  499

