
                                              MFCS/win                    Report printed:                2024-11-26 16:18:08
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT23_BDCU_1_lowO2              Batch created:            2024-11-06 13:19:34

 Experiment Start:          2024-11-06 13:19:34                 Experiment Stop:          2024-11-10 08:34:17

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                   pH_A
                                                    pH
  Data
                                                      Value


 Date    /  Time                Age

06-11-2024 13:19:34             0.000                  5.55

06-11-2024 13:49:34             0.500                  5.51
06-11-2024 14:19:34             1.000                  5.45
06-11-2024 14:49:34             1.500                  5.43

06-11-2024 14:49:37             1.501                  5.43
06-11-2024 14:49:52             1.505                  5.61
06-11-2024 15:19:34             2.000                  5.55

06-11-2024 15:49:34             2.500                  5.55
06-11-2024 15:50:25             2.514                  5.64

06-11-2024 15:50:40             2.518                  5.65
06-11-2024 16:03:56             2.739                  5.61
06-11-2024 16:04:11             2.744                  5.93

06-11-2024 16:19:34             3.000                  5.90
06-11-2024 16:49:34             3.500                  5.85

06-11-2024 17:17:28             3.965                  5.75
06-11-2024 17:17:43             3.969                  5.75
06-11-2024 17:19:34             4.000                  5.74

06-11-2024 17:37:43             4.302                  5.64
06-11-2024 17:37:58             4.307                  5.64

06-11-2024 17:49:34             4.500                  5.58
06-11-2024 18:19:34             5.000                  5.57
06-11-2024 18:24:01             5.074                  5.54

06-11-2024 18:24:16             5.078                  5.68
06-11-2024 18:36:31             5.282                  5.58
06-11-2024 18:36:46             5.287                  5.57

06-11-2024 18:49:34             5.500                  5.56
06-11-2024 19:06:03             5.775                  5.53

06-11-2024 19:06:18             5.779                  5.72
06-11-2024 19:17:04             5.958                  5.62
06-11-2024 19:17:19             5.962                  5.61

06-11-2024 19:19:34             6.000                  5.59
06-11-2024 19:24:50             6.088                  5.54

06-11-2024 19:25:05             6.092                  5.77
06-11-2024 19:35:06             6.259                  5.67
06-11-2024 19:35:21             6.263                  5.67

06-11-2024 19:44:22             6.413                  5.57


06-11-2024 19:44:37             6.417                  5.57
06-11-2024 19:47:52             6.472                  5.53

06-11-2024 19:48:07             6.476                  5.76
06-11-2024 19:49:34             6.500                  5.75
06-11-2024 19:58:24             6.647                  5.65

06-11-2024 19:58:39             6.651                  5.65
06-11-2024 20:06:39             6.785                  5.55

06-11-2024 20:06:54             6.789                  5.54
06-11-2024 20:07:24             6.797                  5.54
06-11-2024 20:07:39             6.801                  5.76

06-11-2024 20:15:40             6.935                  5.66
06-11-2024 20:15:55             6.939                  5.65

06-11-2024 20:19:34             7.000                  5.60
06-11-2024 20:24:55             7.089                  5.53
06-11-2024 20:25:10             7.093                  5.74

06-11-2024 20:32:25             7.214                  5.64
06-11-2024 20:32:40             7.218                  5.64
06-11-2024 20:39:25             7.331                  5.54

06-11-2024 20:39:40             7.335                  5.54
06-11-2024 20:39:55             7.339                  5.53

06-11-2024 20:40:10             7.343                  5.75
06-11-2024 20:47:12             7.461                  5.65
06-11-2024 20:47:27             7.465                  5.65

06-11-2024 20:49:34             7.500                  5.62
06-11-2024 20:55:27             7.598                  5.53

06-11-2024 20:55:42             7.602                  5.76
06-11-2024 21:02:27             7.715                  5.66
06-11-2024 21:02:42             7.719                  5.65

06-11-2024 21:08:57             7.823                  5.55
06-11-2024 21:09:12             7.827                  5.55

06-11-2024 21:10:12             7.844                  5.53
06-11-2024 21:10:27             7.848                  5.74
06-11-2024 21:16:43             7.952                  5.65

06-11-2024 21:16:58             7.957                  5.64
06-11-2024 21:19:34             8.000                  5.60
06-11-2024 21:23:29             8.065                  5.53

06-11-2024 21:23:44             8.069                  5.74
06-11-2024 21:29:44             8.169                  5.64

06-11-2024 21:29:59             8.174                  5.64
06-11-2024 21:35:29             8.265                  5.54
06-11-2024 21:35:44             8.269                  5.54

06-11-2024 21:35:59             8.274                  5.74
06-11-2024 21:41:45             8.370                  5.64

06-11-2024 21:42:00             8.374                  5.64
06-11-2024 21:47:15             8.461                  5.54
06-11-2024 21:47:30             8.466                  5.54

06-11-2024 21:48:00             8.474                  5.53
06-11-2024 21:48:15             8.478                  5.73

06-11-2024 21:49:34             8.500                  5.71
06-11-2024 21:54:45             8.586                  5.61
06-11-2024 21:55:00             8.591                  5.61

06-11-2024 21:59:00             8.657                  5.53

06-11-2024 21:59:15             8.661                  5.76
06-11-2024 22:04:30             8.749                  5.66

06-11-2024 22:04:45             8.753                  5.65
06-11-2024 22:05:30             8.766                  5.64
06-11-2024 22:05:45             8.770                  5.79

06-11-2024 22:11:15             8.861                  5.70
06-11-2024 22:11:30             8.866                  5.69

06-11-2024 22:16:45             8.953                  5.59
06-11-2024 22:17:00             8.957                  5.59
06-11-2024 22:19:34             9.000                  5.53

06-11-2024 22:19:45             9.003                  5.53
06-11-2024 22:20:00             9.007                  5.73

06-11-2024 22:24:46             9.087                  5.64
06-11-2024 22:25:01             9.091                  5.63
06-11-2024 22:29:31             9.166                  5.53

06-11-2024 22:29:46             9.170                  5.75
06-11-2024 22:34:46             9.253                  5.65
06-11-2024 22:35:01             9.257                  5.65

06-11-2024 22:39:16             9.328                  5.55
06-11-2024 22:39:31             9.333                  5.54

06-11-2024 22:40:01             9.341                  5.53
06-11-2024 22:40:16             9.345                  5.74
06-11-2024 22:45:01             9.424                  5.65

06-11-2024 22:45:16             9.428                  5.64
06-11-2024 22:49:34             9.500                  5.54

06-11-2024 22:50:16             9.512                  5.53
06-11-2024 22:50:31             9.516                  5.73
06-11-2024 22:55:01             9.591                  5.63

06-11-2024 22:55:16             9.595                  5.62
06-11-2024 23:07:16             9.795                  5.71

06-11-2024 23:07:31             9.799                  5.74
06-11-2024 23:11:46             9.870                  5.64
06-11-2024 23:12:01             9.874                  5.63

06-11-2024 23:16:01             9.941                  5.53
06-11-2024 23:16:16             9.945                  5.53
06-11-2024 23:16:31             9.949                  5.75

06-11-2024 23:19:34            10.000                  5.67
06-11-2024 23:23:31            10.066                  5.58

06-11-2024 23:23:46            10.070                  5.57
06-11-2024 23:25:31            10.099                  5.52
06-11-2024 23:25:46            10.103                  5.74

06-11-2024 23:30:01            10.174                  5.64
06-11-2024 23:30:16            10.178                  5.63

06-11-2024 23:34:02            10.241                  5.54
06-11-2024 23:34:17            10.245                  5.53
06-11-2024 23:34:32            10.249                  5.72

06-11-2024 23:38:17            10.312                  5.62
06-11-2024 23:38:32            10.316                  5.62

06-11-2024 23:49:34            10.500                  5.71
06-11-2024 23:53:18            10.562                  5.62
06-11-2024 23:53:33            10.566                  5.61

07-11-2024 00:03:33            10.733                  5.52

07-11-2024 00:03:48            10.737                  5.51
07-11-2024 00:06:03            10.775                  5.44

07-11-2024 00:06:18            10.779                  6.11
07-11-2024 00:06:33            10.783                  6.23
07-11-2024 00:10:18            10.846                  6.13

07-11-2024 00:10:33            10.850                  6.12
07-11-2024 00:15:33            10.933                  6.02

07-11-2024 00:15:48            10.937                  6.02
07-11-2024 00:19:34            11.000                  5.95
07-11-2024 00:25:18            11.096                  5.86

07-11-2024 00:25:33            11.100                  5.85
07-11-2024 00:31:03            11.191                  5.75

07-11-2024 00:31:18            11.196                  5.75
07-11-2024 00:35:48            11.271                  5.65
07-11-2024 00:36:03            11.275                  5.65

07-11-2024 00:39:48            11.337                  5.55
07-11-2024 00:40:03            11.341                  5.54
07-11-2024 00:40:18            11.346                  5.54

07-11-2024 00:40:33            11.350                  5.69
07-11-2024 00:47:48            11.471                  5.59

07-11-2024 00:48:03            11.475                  5.58
07-11-2024 00:49:34            11.500                  5.54
07-11-2024 00:50:03            11.508                  5.53

07-11-2024 00:50:18            11.512                  5.79
07-11-2024 00:53:49            11.571                  5.69

07-11-2024 00:54:04            11.575                  5.68
07-11-2024 00:57:34            11.633                  5.58
07-11-2024 00:57:49            11.637                  5.58

07-11-2024 00:59:34            11.667                  5.52
07-11-2024 00:59:49            11.671                  5.79

07-11-2024 01:03:04            11.725                  5.70
07-11-2024 01:03:19            11.729                  5.69
07-11-2024 01:06:34            11.783                  5.60

07-11-2024 01:06:49            11.787                  5.59
07-11-2024 01:08:49            11.821                  5.53
07-11-2024 01:09:04            11.825                  5.79

07-11-2024 01:12:49            11.887                  5.70
07-11-2024 01:13:04            11.892                  5.69

07-11-2024 01:16:19            11.946                  5.60
07-11-2024 01:16:34            11.950                  5.59
07-11-2024 01:18:49            11.988                  5.52

07-11-2024 01:19:04            11.992                  5.78
07-11-2024 01:19:34            12.000                  5.76

07-11-2024 01:23:04            12.058                  5.67
07-11-2024 01:23:19            12.062                  5.66
07-11-2024 01:26:34            12.117                  5.56

07-11-2024 01:26:49            12.121                  5.55
07-11-2024 01:27:49            12.138                  5.52

07-11-2024 01:28:04            12.142                  5.79
07-11-2024 01:31:34            12.200                  5.69
07-11-2024 01:31:49            12.204                  5.68

07-11-2024 01:35:04            12.258                  5.58

07-11-2024 01:35:19            12.262                  5.57
07-11-2024 01:36:49            12.287                  5.53

