
                                              MFCS/win                    Report printed:                2024-11-26 16:19:49
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT23_BDCU_2_oscillations       Batch created:            2024-11-06 13:20:06

 Experiment Start:          2024-11-06 13:20:06                 Experiment Stop:          2024-11-10 08:34:44

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                _BatchAge
                                                      hours
  Data
                                                      Value


 Date    /  Time                Age

06-11-2024 13:20:06             0.000                   0

06-11-2024 13:50:06             0.500                  .50
06-11-2024 14:20:06             1.000                  1.00
06-11-2024 14:50:06             1.500                  1.50

06-11-2024 15:20:06             2.000                  2.00
06-11-2024 15:50:06             2.500                  2.50
06-11-2024 16:20:06             3.000                  3.00

06-11-2024 16:50:06             3.500                  3.50
06-11-2024 17:20:06             4.000                  4.00

06-11-2024 17:50:06             4.500                  4.50
06-11-2024 18:20:06             5.000                  5.00
06-11-2024 18:50:06             5.500                  5.50

06-11-2024 19:20:06             6.000                  6.00
06-11-2024 19:50:06             6.500                  6.50

06-11-2024 20:20:06             7.000                  7.00
06-11-2024 20:50:06             7.500                  7.50
06-11-2024 21:20:06             8.000                  8.00

06-11-2024 21:50:06             8.500                  8.50
06-11-2024 22:20:06             9.000                  9.00

06-11-2024 22:50:06             9.500                  9.50
06-11-2024 23:20:06            10.000                 10.00
06-11-2024 23:50:06            10.500                 10.50

07-11-2024 00:20:06            11.000                 11.00
07-11-2024 00:50:06            11.500                 11.50
07-11-2024 01:20:06            12.000                 12.00

07-11-2024 01:50:06            12.500                 12.50
07-11-2024 02:20:06            13.000                 13.00

07-11-2024 02:50:06            13.500                 13.50
07-11-2024 03:20:06            14.000                 14.00
07-11-2024 03:50:07            14.500                 14.50

07-11-2024 04:20:07            15.000                 15.00
07-11-2024 04:50:07            15.500                 15.50

07-11-2024 05:20:07            16.000                 16.00
07-11-2024 05:50:07            16.500                 16.50
07-11-2024 06:20:07            17.000                 17.00

07-11-2024 06:50:07            17.500                 17.50


07-11-2024 07:20:07            18.000                 18.00
07-11-2024 07:50:07            18.500                 18.50

07-11-2024 08:20:07            19.000                 19.00
07-11-2024 08:29:01            19.149                 19.15
07-11-2024 08:33:44            19.227                 19.23

07-11-2024 08:40:04            19.333                 19.33
07-11-2024 09:09:49            19.829                 19.83

07-11-2024 09:39:49            20.329                 20.33
07-11-2024 10:09:49            20.829                 20.83
