
                                              MFCS/win                    Report printed:                2024-11-26 16:19:45
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT23_BDCU_2_oscillations       Batch created:            2024-11-06 13:20:06

 Experiment Start:          2024-11-06 13:20:06                 Experiment Stop:          2024-11-10 08:34:44

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 BASESUB
                                                        %
  Data
                                                      Value


 Date    /  Time                Age

06-11-2024 13:20:06             0.000                   0

06-11-2024 13:50:06             0.500                   0
06-11-2024 14:20:06             1.000                   0
06-11-2024 14:44:24             1.405                   .5

06-11-2024 14:44:39             1.409                  1.3
06-11-2024 14:44:54             1.413                  2.7
06-11-2024 14:45:09             1.417                  4.0

06-11-2024 14:45:24             1.422                  5.4
06-11-2024 14:45:39             1.426                  5.4

06-11-2024 14:45:54             1.430                   0
06-11-2024 14:50:06             1.500                   0
06-11-2024 15:20:06             2.000                   0

06-11-2024 15:50:06             2.500                   0
06-11-2024 16:20:06             3.000                   0

06-11-2024 16:50:06             3.500                   0
06-11-2024 17:20:06             4.000                   0
06-11-2024 17:50:06             4.500                   0

06-11-2024 18:08:02             4.799                   .8
06-11-2024 18:08:17             4.803                  1.2

06-11-2024 18:08:32             4.807                   0
06-11-2024 18:20:06             5.000                   0
06-11-2024 18:45:19             5.420                   .9

06-11-2024 18:45:34             5.424                  1.3
06-11-2024 18:45:49             5.429                   0
06-11-2024 18:50:06             5.500                   0

06-11-2024 18:56:19             5.604                   .8
06-11-2024 18:56:34             5.608                  1.0

06-11-2024 18:56:49             5.612                   0
06-11-2024 19:06:20             5.771                   .7
06-11-2024 19:06:35             5.775                  1.3

06-11-2024 19:06:50             5.779                   0
06-11-2024 19:19:05             5.983                   .9

06-11-2024 19:19:20             5.987                  1.1
06-11-2024 19:19:35             5.991                  1.5
06-11-2024 19:19:50             5.996                   0

06-11-2024 19:20:06             6.000                   0


06-11-2024 19:41:06             6.350                   .8
06-11-2024 19:41:21             6.354                  1.0

06-11-2024 19:41:36             6.358                  1.3
06-11-2024 19:41:52             6.363                   0
06-11-2024 19:50:06             6.500                   0

06-11-2024 19:52:53             6.546                   .6
06-11-2024 19:53:08             6.551                  1.1

06-11-2024 19:53:23             6.555                  1.5
06-11-2024 19:53:38             6.559                   0
06-11-2024 20:05:24             6.755                   .9

06-11-2024 20:05:39             6.759                  1.2
06-11-2024 20:05:54             6.763                   0

06-11-2024 20:16:40             6.943                   .6
06-11-2024 20:16:55             6.947                  1.2
06-11-2024 20:17:10             6.951                   0

06-11-2024 20:20:06             7.000                   0
06-11-2024 20:27:10             7.118                   .6
