Fermenter:;;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;
Sensor:;;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;
Channel:;;CH0-CO2;CH1-O2;Abs_Hum;Rel_Hum;Temperature;Pressure;CH1-NO;Abs_Hum;Rel_Hum;Temperature;Pressure;CH0-CO2;CH1-O2;
Unit:;;Vol %;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;
Id:;;25;26;27;28;29;30;31;19;20;21;22;23;24;
Serial:;;890;890;890;890;890;890;890;883;883;883;883;883;883;
UTC;LocalTime;
2024-11-12 20:55:21;2024-11-12 12:55:21;0.04363;21.02567;1.11085;30.02518;27.49142;1.00146;;1.10116;31.18028;26.9173;1.00215;0.06793;20.9223;
2024-11-12 20:55:26;2024-11-12 12:55:26;0.04363;21.02567;1.11085;30.02518;27.49142;1.00146;;1.10116;31.18028;26.9173;1.00215;0.06793;20.9223;
2024-11-12 20:55:31;2024-11-12 12:55:31;0.04363;21.02567;1.11085;30.02518;27.49142;1.00146;;1.1335;32.23774;26.9173;1.00215;0.07651;20.91008;
2024-11-12 20:55:36;2024-11-12 12:55:36;0.04363;21.02567;1.11085;30.02518;27.49142;1.00146;;1.1335;32.23774;26.9173;1.00215;0.07651;20.91008;
2024-11-12 20:55:41;2024-11-12 12:55:41;0.04363;21.02567;1.11085;30.02518;27.49142;1.00146;;1.1335;32.23774;26.9173;1.00215;0.07651;20.91008;
2024-11-12 20:55:46;2024-11-12 12:55:46;0.05336;20.96626;1.00149;0.05336;20.96626;1.00149;;1.18694;33.7026;26.88792;1.00215;0.08693;20.88923;
2024-11-12 20:55:51;2024-11-12 12:55:51;0.05336;20.96626;1.00149;0.05336;20.96626;1.00149;;1.18694;33.7026;26.88792;1.00215;0.08693;20.88923;
2024-11-12 20:55:56;2024-11-12 12:55:56;0.05956;20.94932;1.00148;0.05956;20.94932;1.00148;;1.00216;0.09309;20.86894;1.00216;0.09309;20.86894;
2024-11-12 20:56:01;2024-11-12 12:56:01;0.05956;20.94932;1.00148;0.05956;20.94932;1.00148;;1.00216;0.09309;20.86894;1.00216;0.09309;20.86894;
2024-11-12 20:56:06;2024-11-12 12:56:06;0.06726;20.9369;1.49489;40.84993;27.52079;1.00152;;1.00216;0.09309;20.86894;1.00216;0.09309;20.86894;
2024-11-12 20:56:11;2024-11-12 12:56:11;0.06726;20.9369;1.49489;40.84993;27.52079;1.00152;;1.00216;0.09309;20.86894;1.00216;0.09309;20.86894;
2024-11-12 20:56:16;2024-11-12 12:56:16;0.06726;20.9369;1.49489;40.84993;27.52079;1.00152;;1.27448;36.21119;26.9173;1.0022;0.11192;20.84849;
2024-11-12 20:56:21;2024-11-12 12:56:21;0.06726;20.9369;1.49489;40.84993;27.52079;1.00152;;1.27448;36.21119;26.9173;1.0022;0.11192;20.84849;
2024-11-12 20:56:26;2024-11-12 12:56:26;0.0779;20.91231;1.59459;44.09094;27.50744;1.00159;;1.29542;36.89784;26.90127;1.00224;0.12075;20.84354;
2024-11-12 20:56:31;2024-11-12 12:56:31;0.0779;20.91231;1.59459;44.09094;27.50744;1.00159;;1.29542;36.89784;26.90127;1.00224;0.12075;20.84354;
2024-11-12 20:56:36;2024-11-12 12:56:36;0.08435;20.90301;1.63696;45.09346;27.50744;1.00161;;1.29542;36.89784;26.90127;1.00224;0.12075;20.84354;
2024-11-12 20:56:41;2024-11-12 12:56:41;0.08435;20.90301;1.63696;45.09346;27.50744;1.00161;;1.29542;36.89784;26.90127;1.00224;0.12075;20.84354;
2024-11-12 20:56:46;2024-11-12 12:56:46;0.08991;20.89669;1.66888;45.93881;27.50744;1.00154;;1.0022;0.12979;20.83496;1.0022;0.12979;20.83496;
2024-11-12 20:56:51;2024-11-12 12:56:51;0.08991;20.89669;1.66888;45.93881;27.50744;1.00154;;1.0022;0.12979;20.83496;1.0022;0.12979;20.83496;
2024-11-12 20:56:56;2024-11-12 12:56:56;0.09377;20.89186;1.69393;46.52934;27.53414;1.00156;;1.34207;38.28031;26.9173;1.00218;0.13265;20.83428;
2024-11-12 20:57:01;2024-11-12 12:57:01;0.09377;20.89186;1.69393;46.52934;27.53414;1.00156;;1.34207;38.28031;26.9173;1.00218;0.13265;20.83428;
2024-11-12 20:57:06;2024-11-12 12:57:06;0.09535;20.88325;1.72101;47.22057;27.50744;1.00156;;1.36079;38.67857;26.90127;1.00219;0.13692;20.82941;
