
                                              MFCS/win                    Report printed:                2024-11-16 12:28:16
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_24                        Batch created:            2024-11-12 12:55:37

 Experiment Start:          2024-11-12 12:55:38                 Experiment Stop:          2024-11-16 12:27:00

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  PO2_A
                                                    %Sat
  Data
                                                     Setpoint


 Date    /  Time                Age

12-11-2024 12:55:38             0.000                  5.0

12-11-2024 12:55:53             0.004                  5.0
12-11-2024 12:56:08             0.008                  25.0
12-11-2024 13:25:38             0.500                  25.0

12-11-2024 13:55:38             1.000                  25.0
12-11-2024 14:25:38             1.500                  25.0
12-11-2024 14:55:38             2.000                  25.0

12-11-2024 15:25:38             2.500                  25.0
12-11-2024 15:55:38             3.000                  25.0

12-11-2024 16:25:38             3.500                  25.0
12-11-2024 16:55:38             4.000                  25.0
12-11-2024 17:02:03             4.107                  25.0

12-11-2024 17:02:19             4.111   179769313486232000000000000000000   INVAL/OFF
12-11-2024 17:03:30             4.131                  25.0

12-11-2024 17:33:15             4.627                  25.0
12-11-2024 18:03:15             5.127                  25.0
12-11-2024 18:33:15             5.627                  25.0

12-11-2024 19:03:15             6.127                  25.0
12-11-2024 19:33:15             6.627                  25.0

12-11-2024 20:03:15             7.127                  25.0
12-11-2024 20:33:15             7.627                  25.0
12-11-2024 21:03:15             8.127                  25.0

12-11-2024 21:33:15             8.627                  25.0
12-11-2024 22:03:15             9.127                  25.0
12-11-2024 22:33:15             9.627                  25.0

12-11-2024 23:03:15            10.127                  25.0
12-11-2024 23:33:15            10.627                  25.0

13-11-2024 00:03:15            11.127                  25.0
13-11-2024 00:33:15            11.627                  25.0
13-11-2024 01:03:15            12.127                  25.0

13-11-2024 01:33:15            12.627                  25.0
13-11-2024 02:03:15            13.127                  25.0

13-11-2024 02:33:15            13.627                  25.0
13-11-2024 03:03:15            14.127                  25.0
13-11-2024 03:33:15            14.627                  25.0

13-11-2024 04:03:15            15.127                  25.0


13-11-2024 04:33:15            15.627                  25.0
13-11-2024 05:03:15            16.127                  25.0

13-11-2024 05:33:15            16.627                  25.0
13-11-2024 06:03:16            17.127                  25.0
13-11-2024 06:33:16            17.627                  25.0

13-11-2024 07:03:16            18.127                  25.0
13-11-2024 07:33:16            18.627                  25.0

13-11-2024 08:03:16            19.127                  25.0
13-11-2024 08:33:16            19.627                  25.0
13-11-2024 09:03:16            20.127                  25.0

13-11-2024 09:33:16            20.627                  25.0
13-11-2024 10:03:16            21.127                  25.0

13-11-2024 10:33:16            21.627                  25.0
13-11-2024 11:03:16            22.127                  25.0
