
                                              MFCS/win                    Report printed:                2024-11-16 12:28:18
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_24                        Batch created:            2024-11-12 12:55:37

 Experiment Start:          2024-11-12 12:55:38                 Experiment Stop:          2024-11-16 12:27:00

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                _BatchAge
                                                      hours
  Data
                                                      Value


 Date    /  Time                Age

12-11-2024 12:55:38             0.000                   0

12-11-2024 13:25:38             0.500                  .50
12-11-2024 13:55:38             1.000                  1.00
12-11-2024 14:25:38             1.500                  1.50

12-11-2024 14:55:38             2.000                  2.00
12-11-2024 15:25:38             2.500                  2.50
12-11-2024 15:55:38             3.000                  3.00

12-11-2024 16:25:38             3.500                  3.50
12-11-2024 16:55:38             4.000                  4.00

12-11-2024 17:03:30             4.131                  4.13
12-11-2024 17:33:15             4.627                  4.63
12-11-2024 18:03:15             5.127                  5.13

12-11-2024 18:33:15             5.627                  5.63
12-11-2024 19:03:15             6.127                  6.13

12-11-2024 19:33:15             6.627                  6.63
12-11-2024 20:03:15             7.127                  7.13
12-11-2024 20:33:15             7.627                  7.63

12-11-2024 21:03:15             8.127                  8.13
12-11-2024 21:33:15             8.627                  8.63

12-11-2024 22:03:15             9.127                  9.13
12-11-2024 22:33:15             9.627                  9.63
12-11-2024 23:03:15            10.127                 10.13

12-11-2024 23:33:15            10.627                 10.63
13-11-2024 00:03:15            11.127                 11.13
13-11-2024 00:33:15            11.627                 11.63

13-11-2024 01:03:15            12.127                 12.13
13-11-2024 01:33:15            12.627                 12.63

13-11-2024 02:03:15            13.127                 13.13
13-11-2024 02:33:15            13.627                 13.63
13-11-2024 03:03:15            14.127                 14.13

13-11-2024 03:33:15            14.627                 14.63
13-11-2024 04:03:15            15.127                 15.13

13-11-2024 04:33:15            15.627                 15.63
13-11-2024 05:03:15            16.127                 16.13
13-11-2024 05:33:15            16.627                 16.63

13-11-2024 06:03:16            17.127                 17.13


13-11-2024 06:33:16            17.627                 17.63
13-11-2024 07:03:16            18.127                 18.13

13-11-2024 07:33:16            18.627                 18.63
13-11-2024 08:03:16            19.127                 19.13
13-11-2024 08:33:16            19.627                 19.63

13-11-2024 09:03:16            20.127                 20.13
13-11-2024 09:33:16            20.627                 20.63

13-11-2024 10:03:16            21.127                 21.13
13-11-2024 10:33:16            21.627                 21.63
13-11-2024 11:03:16            22.127                 22.13

13-11-2024 11:33:16            22.627                 22.63
13-11-2024 12:03:16            23.127                 23.13

13-11-2024 12:33:16            23.627                 23.63
13-11-2024 13:03:16            24.127                 24.13
13-11-2024 13:33:16            24.627                 24.63

13-11-2024 14:03:16            25.127                 25.13
13-11-2024 14:33:16            25.627                 25.63
13-11-2024 15:03:16            26.127                 26.13

13-11-2024 15:33:16            26.627                 26.63
13-11-2024 16:03:16            27.127                 27.13

13-11-2024 16:33:16            27.627                 27.63
13-11-2024 17:03:16            28.127                 28.13
13-11-2024 17:33:16            28.627                 28.63

13-11-2024 18:03:16            29.127                 29.13
13-11-2024 18:33:16            29.627                 29.63

13-11-2024 19:03:16            30.127                 30.13
13-11-2024 19:33:16            30.627                 30.63
13-11-2024 20:03:16            31.127                 31.13

13-11-2024 20:33:16            31.627                 31.63
13-11-2024 21:03:16            32.127                 32.13

13-11-2024 21:33:16            32.627                 32.63
13-11-2024 22:03:16            33.127                 33.13
13-11-2024 22:33:16            33.627                 33.63

13-11-2024 23:03:16            34.127                 34.13
13-11-2024 23:33:16            34.627                 34.63
14-11-2024 00:03:16            35.127                 35.13

14-11-2024 00:33:16            35.627                 35.63
14-11-2024 01:03:16            36.127                 36.13

14-11-2024 01:33:16            36.627                 36.63
14-11-2024 02:03:16            37.127                 37.13
14-11-2024 02:33:16            37.627                 37.63

14-11-2024 03:03:16            38.127                 38.13
14-11-2024 03:33:16            38.627                 38.63

14-11-2024 04:03:16            39.127                 39.13
14-11-2024 04:33:16            39.627                 39.63
14-11-2024 05:03:16            40.127                 40.13

14-11-2024 05:33:16            40.627                 40.63
14-11-2024 06:03:16            41.127                 41.13

14-11-2024 06:33:16            41.627                 41.63
14-11-2024 07:03:16            42.127                 42.13
14-11-2024 07:33:16            42.627                 42.63

14-11-2024 08:03:16            43.127                 43.13

14-11-2024 08:33:16            43.627                 43.63
14-11-2024 09:03:16            44.127                 44.13

14-11-2024 09:33:16            44.627                 44.63
14-11-2024 10:03:16            45.127                 45.13
14-11-2024 10:33:16            45.627                 45.63

14-11-2024 11:03:16            46.127                 46.13
14-11-2024 11:33:16            46.627                 46.63

14-11-2024 12:03:16            47.127                 47.13
14-11-2024 12:33:16            47.627                 47.63
14-11-2024 13:03:16            48.127                 48.13

14-11-2024 13:33:17            48.628                 48.63
14-11-2024 14:03:17            49.127                 49.13

14-11-2024 14:33:17            49.627                 49.63
14-11-2024 15:03:17            50.128                 50.13
14-11-2024 15:33:17            50.627                 50.63

14-11-2024 16:03:17            51.127                 51.13
14-11-2024 16:33:17            51.628                 51.63
