
                                              MFCS/win                    Report printed:                2024-11-16 12:28:10
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_24                        Batch created:            2024-11-12 12:55:37

 Experiment Start:          2024-11-12 12:55:38                 Experiment Stop:          2024-11-16 12:27:00

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 AIRSP_A
                                                       lpm
  Data
                                                      Value


 Date    /  Time                Age

12-11-2024 12:55:38             0.000                 1.000

12-11-2024 12:55:53             0.004                 1.000
12-11-2024 12:56:08             0.008                  .377
12-11-2024 13:25:38             0.500                  .375

12-11-2024 13:55:38             1.000                  .375
12-11-2024 14:25:38             1.500                  .375
12-11-2024 14:55:38             2.000                  .375

12-11-2024 15:25:38             2.500                  .375
12-11-2024 15:55:38             3.000                  .375

12-11-2024 16:18:46             3.386                  .375
12-11-2024 16:19:01             3.390                   0
12-11-2024 16:19:16             3.394                   0

12-11-2024 16:19:31             3.398                  .373
12-11-2024 16:25:38             3.500                  .375

12-11-2024 16:29:31             3.565                  .404
12-11-2024 16:29:46             3.569                  .405
12-11-2024 16:55:38             4.000                  .389

12-11-2024 17:02:03             4.107                  .386
12-11-2024 17:02:19             4.111   179769313486232000000000000000000   INVAL/OFF

12-11-2024 17:03:30             4.131                  .385
12-11-2024 17:33:15             4.627                  .374
12-11-2024 18:03:15             5.127                  .391

12-11-2024 18:33:15             5.627                  .401
12-11-2024 19:03:15             6.127                  .419
12-11-2024 19:33:15             6.627                  .436

12-11-2024 20:03:15             7.127                  .455
12-11-2024 20:33:15             7.627                  .471

12-11-2024 21:03:15             8.127                  .488
12-11-2024 21:29:49             8.570                  .516
12-11-2024 21:30:04             8.574                  .520

12-11-2024 21:33:15             8.627                  .518
12-11-2024 21:54:20             8.978                  .546

12-11-2024 21:54:35             8.982                  .552
12-11-2024 22:03:15             9.127                  .556
12-11-2024 22:27:07             9.525                  .585

12-11-2024 22:27:22             9.529                  .588


12-11-2024 22:33:15             9.627                  .586
12-11-2024 22:54:37             9.983                  .615

12-11-2024 22:54:52             9.987                  .617
12-11-2024 23:03:15            10.127                  .617
12-11-2024 23:26:39            10.517                  .646

12-11-2024 23:26:54            10.521                  .652
12-11-2024 23:33:15            10.627                  .655

13-11-2024 00:02:55            11.121                  .683
13-11-2024 00:03:10            11.126                  .689
13-11-2024 00:03:15            11.127                  .690

13-11-2024 00:33:15            11.627                  .714
13-11-2024 00:56:10            12.009                  .741

13-11-2024 00:56:25            12.013                  .746
13-11-2024 01:03:15            12.127                  .744
13-11-2024 01:25:25            12.496                  .767

13-11-2024 01:25:40            12.501                  .774
13-11-2024 01:33:15            12.627                  .785
13-11-2024 02:03:15            13.127                  .803

13-11-2024 02:33:15            13.627                  .814
13-11-2024 03:03:15            14.127                  .830

13-11-2024 03:19:58            14.406                  .801
13-11-2024 03:20:13            14.410                  .795
13-11-2024 03:28:13            14.543                  .766

13-11-2024 03:28:28            14.547                  .760
13-11-2024 03:32:58            14.622                  .733

13-11-2024 03:33:13            14.626                  .724
13-11-2024 03:33:15            14.627                  .724
13-11-2024 03:43:13            14.793                  .698

13-11-2024 03:43:28            14.797                  .692
13-11-2024 04:03:15            15.127                  .680

13-11-2024 04:33:15            15.627                  .665
13-11-2024 05:03:15            16.127                  .662
13-11-2024 05:26:15            16.510                  .686

13-11-2024 05:26:30            16.514                  .699
13-11-2024 05:33:15            16.627                  .698
13-11-2024 05:46:15            16.844                  .671

13-11-2024 05:46:30            16.848                  .668
13-11-2024 05:56:00            17.006                  .640

13-11-2024 05:56:15            17.010                  .636
13-11-2024 06:03:16            17.127                  .653
13-11-2024 06:33:16            17.627                  .642

13-11-2024 07:03:16            18.127                  .647
13-11-2024 07:33:16            18.627                  .641

13-11-2024 07:40:04            18.741                  .665
13-11-2024 07:40:19            18.745                  .683
13-11-2024 07:40:34            18.749                  .692

13-11-2024 07:40:49            18.753                  .725
13-11-2024 07:41:19            18.761                  .753

13-11-2024 07:41:34            18.766                  .773
13-11-2024 07:43:19            18.795                  .797
13-11-2024 07:43:34            18.799                  .803

13-11-2024 08:00:04            19.074                  .780

13-11-2024 08:00:19            19.078                  .772
13-11-2024 08:03:16            19.127                  .769

13-11-2024 08:18:34            19.382                  .745
13-11-2024 08:18:50            19.387                  .737
13-11-2024 08:33:16            19.627                  .729

13-11-2024 09:03:16            20.127                  .707
13-11-2024 09:33:16            20.627                  .708

13-11-2024 10:03:16            21.127                  .692
13-11-2024 10:33:16            21.627                  .698
13-11-2024 10:43:27            21.797                  .676

13-11-2024 10:43:42            21.801                  .668
13-11-2024 11:03:16            22.127                  .680

13-11-2024 11:33:16            22.627                  .677
13-11-2024 11:50:28            22.914                  .700
13-11-2024 11:50:43            22.918                  .713

13-11-2024 11:50:58            22.922                  .733
13-11-2024 11:51:13            22.926                  .746
13-11-2024 11:54:13            22.976                  .770

13-11-2024 11:54:28            22.981                  .777
13-11-2024 12:03:16            23.127                  .757

13-11-2024 12:30:43            23.585                  .732
13-11-2024 12:30:58            23.589                  .727
13-11-2024 12:33:16            23.627                  .734

13-11-2024 13:03:16            24.127                  .719
13-11-2024 13:33:16            24.627                  .715

13-11-2024 13:54:31            24.981                  .742
13-11-2024 13:54:46            24.986                  .749
13-11-2024 14:03:16            25.127                  .730

13-11-2024 14:33:16            25.627                  .718
13-11-2024 15:03:16            26.127                  .706

13-11-2024 15:33:16            26.627                  .709
13-11-2024 16:03:16            27.127                  .701
13-11-2024 16:33:16            27.627                  .695

13-11-2024 16:39:04            27.724                  .721
13-11-2024 16:39:19            27.728                  .732
13-11-2024 16:53:19            27.961                  .702

13-11-2024 16:53:34            27.966                  .700
13-11-2024 17:03:16            28.127                  .713

13-11-2024 17:33:16            28.627                  .702
13-11-2024 18:03:16            29.127                  .704
13-11-2024 18:33:16            29.627                  .701

13-11-2024 19:03:16            30.127                  .691
13-11-2024 19:33:16            30.627                  .692

13-11-2024 20:03:16            31.127                  .691
13-11-2024 20:33:16            31.627                  .685
13-11-2024 21:03:16            32.127                  .673

13-11-2024 21:33:16            32.627                  .674
13-11-2024 22:03:16            33.127                  .675

13-11-2024 22:33:16            33.627                  .665
13-11-2024 23:03:16            34.127                  .663
13-11-2024 23:33:16            34.627                  .653

14-11-2024 00:03:16            35.127                  .653

14-11-2024 00:33:16            35.627                  .647
14-11-2024 01:03:16            36.127                  .648

