
                                              MFCS/win                    Report printed:                2024-11-16 12:28:11
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_24                        Batch created:            2024-11-12 12:55:37

 Experiment Start:          2024-11-12 12:55:38                 Experiment Stop:          2024-11-16 12:27:00

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                   pH_A
                                                    pH
  Data
                                                      Value


 Date    /  Time                Age

12-11-2024 12:55:38             0.000                  5.56

12-11-2024 13:25:38             0.500                  5.57
12-11-2024 13:55:38             1.000                  5.58
12-11-2024 14:25:38             1.500                  5.62

12-11-2024 14:55:38             2.000                  5.55
12-11-2024 15:25:38             2.500                  5.55
12-11-2024 15:55:38             3.000                  5.61

12-11-2024 16:25:38             3.500                  5.64
12-11-2024 16:44:32             3.815                  5.54

12-11-2024 16:44:47             3.819                  5.54
12-11-2024 16:55:38             4.000                  5.56
12-11-2024 17:02:03             4.107                  5.63

12-11-2024 17:02:19             4.111   179769313486232000000000000000000   INVAL/OFF
12-11-2024 17:03:30             4.131                  5.62

12-11-2024 17:33:15             4.627                  5.57
12-11-2024 18:03:15             5.127                  5.65
12-11-2024 18:12:31             5.281                  5.55

12-11-2024 18:12:46             5.286                  5.55
12-11-2024 18:27:01             5.523                  5.65

12-11-2024 18:27:16             5.527                  5.65
12-11-2024 18:33:15             5.627                  5.59
12-11-2024 19:03:15             6.127                  5.53

12-11-2024 19:03:31             6.131                  5.52
12-11-2024 19:03:46             6.136                  5.66
12-11-2024 19:10:31             6.248                  5.57

12-11-2024 19:10:46             6.252                  5.56
12-11-2024 19:33:15             6.627                  5.54

12-11-2024 19:51:17             6.927                  5.53
12-11-2024 19:51:32             6.932                  5.64
12-11-2024 19:58:48             7.053                  5.54

12-11-2024 19:59:03             7.057                  5.54
12-11-2024 20:03:15             7.127                  5.57

12-11-2024 20:33:15             7.627                  5.65
12-11-2024 20:38:04             7.707                  5.55
12-11-2024 20:38:19             7.711                  5.54

12-11-2024 21:03:15             8.127                  5.56


12-11-2024 21:33:15             8.627                  5.52
12-11-2024 21:33:19             8.628                  5.63

12-11-2024 21:38:19             8.711                  5.53
12-11-2024 21:38:34             8.716                  5.52
12-11-2024 21:38:49             8.720                  5.64

12-11-2024 21:42:19             8.778                  5.54
12-11-2024 21:42:34             8.782                  5.54

12-11-2024 21:43:04             8.791                  5.52
12-11-2024 21:43:19             8.795                  5.68
12-11-2024 21:46:49             8.853                  5.59

12-11-2024 21:47:04             8.857                  5.58
12-11-2024 22:03:15             9.127                  5.61

12-11-2024 22:22:36             9.449                  5.52
12-11-2024 22:22:51             9.454                  5.51
12-11-2024 22:23:06             9.458                  5.67

12-11-2024 22:26:07             9.508                  5.58
