
                                              MFCS/win                    Report printed:                2024-11-16 12:29:30
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_24_BDCU2                  Batch created:            2024-11-12 12:55:55

 Experiment Start:          2024-11-12 12:55:55                 Experiment Stop:          2024-11-16 12:27:09

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                   pH_A
                                                    pH
  Data
                                                      Value


 Date    /  Time                Age

12-11-2024 12:55:55             0.000                  5.61

12-11-2024 12:58:10             0.038                  5.61
12-11-2024 12:58:26             0.042                  5.74
12-11-2024 13:25:55             0.500                  5.73

12-11-2024 13:55:56             1.000                  5.69
12-11-2024 14:25:56             1.500                  5.64
12-11-2024 14:55:56             2.000                  5.56

12-11-2024 15:25:56             2.500                  5.55
12-11-2024 15:55:56             3.000                  5.56

12-11-2024 16:25:56             3.500                  5.59
12-11-2024 16:55:56             4.000                  5.66
12-11-2024 17:02:04             4.103                  5.66

12-11-2024 17:02:20             4.107   179769313486232000000000000000000   INVAL/OFF
12-11-2024 17:03:30             4.126                  5.65

12-11-2024 17:14:15             4.306                  5.55
12-11-2024 17:14:30             4.310                  5.55
12-11-2024 17:31:00             4.585                  5.60

12-11-2024 17:31:15             4.589                  5.66
12-11-2024 17:33:15             4.622                  5.65

12-11-2024 17:41:30             4.760                  5.55
12-11-2024 17:41:45             4.764                  5.54
12-11-2024 17:49:30             4.893                  5.60

12-11-2024 17:49:45             4.897                  5.67
12-11-2024 17:57:30             5.026                  5.57
12-11-2024 17:57:45             5.031                  5.57

12-11-2024 18:03:15             5.122                  5.60
12-11-2024 18:33:15             5.622                  5.53

12-11-2024 18:40:15             5.739                  5.60
12-11-2024 18:40:30             5.743                  5.66
12-11-2024 18:46:31             5.843                  5.56

12-11-2024 18:46:46             5.848                  5.56
12-11-2024 18:49:16             5.889                  5.61

12-11-2024 18:49:31             5.893                  5.67
12-11-2024 18:55:31             5.993                  5.57
12-11-2024 18:55:46             5.998                  5.56

12-11-2024 19:03:15             6.122                  5.57


12-11-2024 19:15:46             6.331                  5.62
12-11-2024 19:16:01             6.335                  5.71

12-11-2024 19:21:32             6.427                  5.62
12-11-2024 19:21:47             6.431                  5.61
12-11-2024 19:33:15             6.622                  5.57

12-11-2024 20:02:03             7.102                  5.47
12-11-2024 20:02:18             7.106                  5.46

12-11-2024 20:02:48             7.115                  5.45
12-11-2024 20:03:03             7.119                  5.64
12-11-2024 20:03:15             7.122                  5.64

12-11-2024 20:07:33             7.194                  5.54
12-11-2024 20:07:48             7.198                  5.53

12-11-2024 20:13:03             7.286                  5.62
12-11-2024 20:13:18             7.290                  5.69
12-11-2024 20:17:48             7.365                  5.59

12-11-2024 20:18:03             7.369                  5.58
12-11-2024 20:33:15             7.622                  5.65
12-11-2024 20:37:04             7.686                  5.55

12-11-2024 20:37:19             7.690                  5.54
12-11-2024 20:39:19             7.723                  5.61

12-11-2024 20:39:34             7.728                  5.67
12-11-2024 20:43:19             7.790                  5.57
12-11-2024 20:43:34             7.794                  5.57

12-11-2024 21:03:15             8.122                  5.59
