
                                              MFCS/win                    Report printed:                2024-11-16 12:29:35
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_24_BDCU2                  Batch created:            2024-11-12 12:55:55

 Experiment Start:          2024-11-12 12:55:55                 Experiment Stop:          2024-11-16 12:27:09

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 BASESUB
                                                        %
  Data
                                                      Value


 Date    /  Time                Age

12-11-2024 12:55:55             0.000                   0

12-11-2024 13:25:55             0.500                   0
12-11-2024 13:55:56             1.000                   0
12-11-2024 14:25:56             1.500                   0

12-11-2024 14:55:56             2.000                   0
12-11-2024 15:25:56             2.500                   .1
12-11-2024 15:55:56             3.000                   0

12-11-2024 16:25:56             3.500                   0
12-11-2024 16:55:56             4.000                   0

12-11-2024 17:02:04             4.103                   0
12-11-2024 17:02:20             4.107   179769313486232000000000000000000   INVAL/OFF
12-11-2024 17:03:30             4.126                   0

12-11-2024 17:33:15             4.622                   0
12-11-2024 18:03:15             5.122                   0

12-11-2024 18:33:15             5.622                   .6
12-11-2024 19:03:15             6.122                   0
12-11-2024 19:33:15             6.622                   0

12-11-2024 19:52:02             6.935                  1.0
12-11-2024 19:52:17             6.939                  1.2

12-11-2024 19:52:32             6.944                   0
12-11-2024 19:59:48             7.065                   .8
12-11-2024 20:00:03             7.069                  1.0

12-11-2024 20:00:48             7.081                  1.9
12-11-2024 20:01:03             7.086                  2.2
12-11-2024 20:01:33             7.094                  3.0

12-11-2024 20:01:48             7.098                  3.3
12-11-2024 20:02:18             7.106                  4.2

12-11-2024 20:02:33             7.111                  4.7
12-11-2024 20:02:48             7.115                  5.2
12-11-2024 20:03:03             7.119                   0

12-11-2024 20:03:15             7.122                   0
12-11-2024 20:33:15             7.622                   0

12-11-2024 21:03:15             8.122                   0
12-11-2024 21:33:15             8.622                   0
12-11-2024 22:03:15             9.122                   .3

12-11-2024 22:33:15             9.622                   0


12-11-2024 23:01:07            10.087                   .7
12-11-2024 23:01:22            10.091                  1.0

12-11-2024 23:01:37            10.095                   0
12-11-2024 23:03:15            10.122                   0
12-11-2024 23:05:07            10.153                   .7

12-11-2024 23:05:22            10.158                  1.1
12-11-2024 23:05:37            10.162                   0

12-11-2024 23:29:37            10.562                   .9
12-11-2024 23:29:52            10.566                  1.3
12-11-2024 23:30:07            10.570                   0

12-11-2024 23:33:15            10.622                   0
13-11-2024 00:03:15            11.122                   0

13-11-2024 00:04:39            11.146                   .8
13-11-2024 00:04:54            11.150                  1.1
13-11-2024 00:05:09            11.154                   0

13-11-2024 00:17:09            11.354                   .8
13-11-2024 00:17:24            11.358                  1.1
