
                                              MFCS/win                    Report printed:                2024-12-10 09:24:06
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT26_BDCU_1_lowO2              Batch created:            2024-11-27 12:32:03

 Experiment Start:          2024-11-27 12:32:03                 Experiment Stop:          2024-12-01 10:06:08

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  BASET
                                                    ml
  Data
                                                      Value


 Date    /  Time                Age

27-11-2024 12:32:04             0.000                   0

27-11-2024 13:02:04             0.500                   0
27-11-2024 13:32:04             1.000                   0
27-11-2024 14:02:04             1.500                   0

27-11-2024 14:32:04             2.000                   0
27-11-2024 15:02:04             2.500                   0
27-11-2024 15:32:04             3.000                   0

27-11-2024 16:02:04             3.500                   0
27-11-2024 16:32:04             4.000                   0

27-11-2024 17:02:04             4.500                   1
27-11-2024 17:32:04             5.000                   1
27-11-2024 18:02:04             5.500                   1

27-11-2024 18:32:04             6.000                   1
27-11-2024 19:02:04             6.500                   1

27-11-2024 19:32:04             7.000                   2
27-11-2024 19:34:29             7.041                   4
27-11-2024 19:34:44             7.045                   4

27-11-2024 19:35:59             7.066                   6
27-11-2024 19:36:14             7.070                   6

27-11-2024 20:02:04             7.500                   8
27-11-2024 20:32:04             8.000                   9
27-11-2024 21:02:04             8.500                   9

27-11-2024 21:32:04             9.000                   10
27-11-2024 22:02:04             9.500                   10
27-11-2024 22:32:04            10.000                   10

27-11-2024 23:02:04            10.500                   11
27-11-2024 23:32:04            11.000                   11

28-11-2024 00:02:04            11.500                   12
28-11-2024 00:32:04            12.000                   12
28-11-2024 01:02:04            12.500                   12

28-11-2024 01:32:04            13.000                   13
28-11-2024 02:02:04            13.500                   13

28-11-2024 02:32:04            14.000                   14
28-11-2024 03:02:04            14.500                   15
28-11-2024 03:32:04            15.000                   15

28-11-2024 04:02:04            15.500                   15


28-11-2024 04:32:04            16.000                   16
28-11-2024 05:02:04            16.500                   16

28-11-2024 05:32:04            17.000                   16
28-11-2024 06:02:04            17.500                   17
28-11-2024 06:32:04            18.000                   17

28-11-2024 07:02:04            18.500                   17
28-11-2024 07:32:04            19.000                   18

28-11-2024 08:02:04            19.500                   18
28-11-2024 08:32:04            20.000                   19
28-11-2024 09:02:04            20.500                   19

28-11-2024 09:32:04            21.000                   19
28-11-2024 10:02:04            21.500                   20

28-11-2024 10:32:04            22.000                   20
28-11-2024 11:02:04            22.500                   21
28-11-2024 11:32:04            23.000                   21

28-11-2024 12:02:04            23.500                   21
28-11-2024 12:32:04            24.000                   22
28-11-2024 13:02:04            24.500                   22

28-11-2024 13:32:04            25.000                   22
28-11-2024 14:02:04            25.500                   23

28-11-2024 14:32:04            26.000                   23
28-11-2024 15:02:04            26.500                   23
28-11-2024 15:32:04            27.000                   24

28-11-2024 16:02:04            27.500                   24
28-11-2024 16:32:04            28.000                   24

28-11-2024 17:02:04            28.500                   25
28-11-2024 17:32:04            29.000                   25
28-11-2024 18:02:04            29.500                   25

28-11-2024 18:32:04            30.000                   25
28-11-2024 19:02:04            30.500                   26

28-11-2024 19:32:04            31.000                   26
28-11-2024 20:02:04            31.500                   26
28-11-2024 20:32:04            32.000                   27

28-11-2024 21:02:04            32.500                   27
28-11-2024 21:32:04            33.000                   27
28-11-2024 22:02:04            33.500                   28

28-11-2024 22:32:04            34.000                   28
28-11-2024 23:02:04            34.500                   28

28-11-2024 23:32:04            35.000                   29
29-11-2024 00:02:04            35.500                   29
29-11-2024 00:32:04            36.000                   30

29-11-2024 01:02:04            36.500                   30
29-11-2024 01:32:04            37.000                   30

29-11-2024 02:02:04            37.500                   31
29-11-2024 02:32:04            38.000                   31
29-11-2024 03:02:04            38.500                   32

29-11-2024 03:32:04            39.000                   32
29-11-2024 04:02:04            39.500                   33

29-11-2024 04:32:04            40.000                   33
29-11-2024 05:02:04            40.500                   34
29-11-2024 05:32:04            41.000                   34

29-11-2024 06:02:04            41.500                   35

29-11-2024 06:32:04            42.000                   35
29-11-2024 07:02:04            42.500                   36

29-11-2024 07:32:04            43.000                   37
29-11-2024 08:02:04            43.500                   37
29-11-2024 08:32:04            44.000                   38

29-11-2024 09:02:04            44.500                   39
29-11-2024 09:32:04            45.000                   40

29-11-2024 10:02:04            45.500                   40
29-11-2024 10:32:04            46.000                   41
29-11-2024 11:02:04            46.500                   42

29-11-2024 11:32:04            47.000                   42
29-11-2024 12:02:04            47.500                   43

29-11-2024 12:32:04            48.000                   44
29-11-2024 13:02:04            48.500                   45
29-11-2024 13:32:04            49.000                   45

29-11-2024 14:02:04            49.500                   46
29-11-2024 14:32:04            50.000                   47
29-11-2024 15:02:04            50.500                   47

29-11-2024 15:32:04            51.000                   48
29-11-2024 16:02:04            51.500                   49

29-11-2024 16:32:04            52.000                   50
29-11-2024 17:02:04            52.500                   50
29-11-2024 17:32:04            53.000                   51

29-11-2024 18:02:04            53.500                   52
29-11-2024 18:32:04            54.000                   53

29-11-2024 19:02:04            54.500                   54
29-11-2024 19:32:04            55.000                   55
29-11-2024 20:02:04            55.500                   56

29-11-2024 20:32:04            56.000                   57
29-11-2024 21:02:04            56.500                   58

29-11-2024 21:32:04            57.000                   59
29-11-2024 22:02:04            57.500                   60
29-11-2024 22:32:04            58.000                   60

29-11-2024 23:02:04            58.500                   61
29-11-2024 23:32:04            59.000                   62
30-11-2024 00:02:04            59.500                   63

30-11-2024 00:32:04            60.000                   64
30-11-2024 01:02:04            60.500                   65

30-11-2024 01:32:04            61.000                   66
30-11-2024 02:02:04            61.500                   67
30-11-2024 02:32:04            62.000                   68

30-11-2024 03:02:04            62.500                   69
30-11-2024 03:32:04            63.000                   70

30-11-2024 04:02:04            63.500                   71
30-11-2024 04:32:04            64.000                   72
30-11-2024 05:02:04            64.500                   73

30-11-2024 05:32:04            65.000                   74
30-11-2024 06:02:04            65.500                   75

30-11-2024 06:32:04            66.000                   75
30-11-2024 07:02:04            66.500                   76
30-11-2024 07:32:04            67.000                   77

30-11-2024 08:02:04            67.500                   78

30-11-2024 08:32:04            68.000                   79
30-11-2024 09:02:04            68.500                   80

30-11-2024 09:32:04            69.000                   81
30-11-2024 10:02:04            69.500                   82
30-11-2024 10:32:04            70.000                   83

30-11-2024 11:02:04            70.500                   84
30-11-2024 11:32:04            71.000                   85

30-11-2024 12:02:04            71.500                   86
30-11-2024 12:32:04            72.000                   87
30-11-2024 13:02:04            72.500                   88

30-11-2024 13:32:04            73.000                   89
30-11-2024 14:02:04            73.500                   90

30-11-2024 14:32:04            74.000                   91
30-11-2024 15:02:04            74.500                   92
30-11-2024 15:32:04            75.000                   93

30-11-2024 16:02:04            75.500                   94
30-11-2024 16:32:04            76.000                   95
30-11-2024 17:02:04            76.500                   96

30-11-2024 17:32:04            77.000                   97
30-11-2024 18:02:04            77.500                   98

30-11-2024 18:32:04            78.000                   99
30-11-2024 19:02:04            78.500                  100
30-11-2024 19:32:04            79.000                  101

30-11-2024 20:02:04            79.500                  102
30-11-2024 20:32:04            80.000                  103

30-11-2024 21:02:04            80.500                  104
30-11-2024 21:32:04            81.000                  105
30-11-2024 22:02:04            81.500                  106

30-11-2024 22:32:04            82.000                  107
30-11-2024 23:02:04            82.500                  108

30-11-2024 23:32:04            83.000                  109
01-12-2024 00:02:04            83.500                  110
01-12-2024 00:32:04            84.000                  111

01-12-2024 01:02:04            84.500                  112
01-12-2024 01:32:04            85.000                  114
01-12-2024 02:02:04            85.500                  115

01-12-2024 02:32:04            86.000                  116
01-12-2024 03:02:04            86.500                  117

01-12-2024 03:32:04            87.000                  118
01-12-2024 04:02:04            87.500                  119
01-12-2024 04:32:04            88.000                  120

01-12-2024 05:02:04            88.500                  121
01-12-2024 05:32:04            89.000                  122

01-12-2024 06:02:04            89.500                  123
01-12-2024 06:32:04            90.000                  125
01-12-2024 07:02:04            90.500                  126

01-12-2024 07:32:04            91.000                  127
