
                                              MFCS/win                    Report printed:                2024-12-10 09:24:00
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT26_BDCU_1_lowO2              Batch created:            2024-11-27 12:32:03

 Experiment Start:          2024-11-27 12:32:03                 Experiment Stop:          2024-12-01 10:06:08

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                   pH_A
                                                    pH
  Data
                                                      Value


 Date    /  Time                Age

27-11-2024 12:32:04             0.000                  5.62

27-11-2024 13:02:04             0.500                  5.64
27-11-2024 13:14:36             0.709                  5.63
27-11-2024 13:14:51             0.713                  5.22

27-11-2024 13:17:06             0.751                  5.18
27-11-2024 13:17:21             0.755                  5.40
27-11-2024 13:17:36             0.759                  5.47

27-11-2024 13:17:51             0.763                  5.87
27-11-2024 13:18:21             0.772                  5.87

27-11-2024 13:18:36             0.776                  5.28
27-11-2024 13:18:51             0.780                  5.28
27-11-2024 13:19:06             0.784                  5.70

27-11-2024 13:32:04             1.000                  5.62
27-11-2024 14:02:04             1.500                  5.57

27-11-2024 14:32:04             2.000                  5.58
27-11-2024 15:02:04             2.500                  5.55
27-11-2024 15:32:04             3.000                  5.63

27-11-2024 16:02:04             3.500                  5.55
27-11-2024 16:32:04             4.000                  5.58

27-11-2024 17:00:25             4.473                  5.67
27-11-2024 17:00:40             4.477                  5.68
27-11-2024 17:02:04             4.500                  5.68

27-11-2024 17:19:10             4.785                  5.58
27-11-2024 17:19:25             4.789                  5.58
27-11-2024 17:24:55             4.881                  5.61

27-11-2024 17:25:10             4.885                  5.68
27-11-2024 17:32:04             5.000                  5.63

27-11-2024 18:02:04             5.500                  5.66
27-11-2024 18:17:42             5.761                  5.56
27-11-2024 18:17:57             5.765                  5.56

27-11-2024 18:32:04             6.000                  5.55
27-11-2024 19:02:04             6.500                  5.60

27-11-2024 19:32:04             7.000                  5.51
27-11-2024 19:36:59             7.082                  5.45
27-11-2024 19:37:14             7.086                  5.61

27-11-2024 20:02:04             7.500                  5.57


27-11-2024 20:32:04             8.000                  5.58
27-11-2024 21:02:04             8.500                  5.54

27-11-2024 21:32:04             9.000                  5.57
27-11-2024 22:02:04             9.500                  5.59
27-11-2024 22:32:04            10.000                  5.54

27-11-2024 23:02:04            10.500                  5.55
27-11-2024 23:32:04            11.000                  5.56

27-11-2024 23:48:38            11.276                  5.60
27-11-2024 23:48:53            11.281                  5.66
27-11-2024 23:59:38            11.460                  5.56

27-11-2024 23:59:53            11.464                  5.56
28-11-2024 00:02:04            11.500                  5.54

28-11-2024 00:32:04            12.000                  5.58
28-11-2024 01:02:04            12.500                  5.55
28-11-2024 01:32:04            13.000                  5.59

28-11-2024 02:02:04            13.500                  5.58
28-11-2024 02:32:04            14.000                  5.56
28-11-2024 03:02:04            14.500                  5.56

28-11-2024 03:32:04            15.000                  5.59
28-11-2024 04:02:04            15.500                  5.56

28-11-2024 04:32:04            16.000                  5.55
28-11-2024 05:02:04            16.500                  5.57
28-11-2024 05:32:04            17.000                  5.54

28-11-2024 06:02:04            17.500                  5.56
28-11-2024 06:32:04            18.000                  5.58

28-11-2024 07:02:04            18.500                  5.59
