
                                              MFCS/win                    Report printed:                2024-12-10 09:24:01
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT26_BDCU_1_lowO2              Batch created:            2024-11-27 12:32:03

 Experiment Start:          2024-11-27 12:32:03                 Experiment Stop:          2024-12-01 10:06:08

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  PO2_A
                                                    %Sat
  Data
                                                      Value


 Date    /  Time                Age

27-11-2024 12:32:04             0.000                  97.0

27-11-2024 12:41:35             0.159                  96.2
27-11-2024 12:41:50             0.163                  95.5
27-11-2024 12:42:05             0.167                  94.8

27-11-2024 12:42:20             0.171                  94.0
27-11-2024 12:43:20             0.188                  93.6
27-11-2024 12:43:35             0.192                  92.0

27-11-2024 12:43:50             0.196                  91.0
27-11-2024 12:44:05             0.201                  90.9

27-11-2024 12:44:20             0.205                  91.0
27-11-2024 12:44:35             0.209                  92.1
27-11-2024 12:47:50             0.263                  91.2

27-11-2024 12:48:05             0.267                  90.6
27-11-2024 12:48:35             0.276                  89.6

27-11-2024 12:48:50             0.280                  89.5
27-11-2024 12:49:20             0.288                  89.9
27-11-2024 12:49:35             0.292                  90.9

27-11-2024 12:49:50             0.296                  92.2
27-11-2024 12:50:05             0.301                  93.6

27-11-2024 12:50:35             0.309                  92.8
27-11-2024 12:50:50             0.313                  91.0
27-11-2024 12:51:05             0.317                  90.2

27-11-2024 12:51:20             0.321                  89.6
27-11-2024 12:52:50             0.346                  89.5
27-11-2024 12:53:06             0.351                  92.2

27-11-2024 12:53:21             0.355                  91.5
27-11-2024 12:53:36             0.359                  90.4

27-11-2024 12:54:06             0.367                  90.2
27-11-2024 12:54:21             0.372                  89.0
27-11-2024 12:56:36             0.409                  88.4

27-11-2024 12:56:51             0.413                  90.2
27-11-2024 12:58:06             0.434                  89.3

27-11-2024 12:58:21             0.438                  88.9
27-11-2024 12:59:51             0.463                  88.2
27-11-2024 13:00:06             0.467                  91.2

27-11-2024 13:00:21             0.472                  90.7


27-11-2024 13:00:36             0.476                  90.1
27-11-2024 13:00:51             0.480                  89.2

27-11-2024 13:01:06             0.484                  88.7
27-11-2024 13:01:36             0.493                  88.0
27-11-2024 13:01:51             0.497                  87.7

27-11-2024 13:02:04             0.500                  87.6
27-11-2024 13:08:51             0.613                  87.6

27-11-2024 13:09:06             0.617                  89.6
27-11-2024 13:11:06             0.651                  88.8
27-11-2024 13:11:21             0.655                  88.0

27-11-2024 13:11:36             0.659                  86.8
27-11-2024 13:16:51             0.747                  86.0

27-11-2024 13:17:06             0.751                  85.5
27-11-2024 13:19:21             0.788                  86.5
