
                                              MFCS/win                    Report printed:                2024-12-10 09:24:47
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT26_BDCU_2                    Batch created:            2024-11-27 12:32:22

 Experiment Start:          2024-11-27 12:32:22                 Experiment Stop:          2024-12-01 10:06:13

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                _BatchAge
                                                      hours
  Data
                                                      Value


 Date    /  Time                Age

27-11-2024 12:32:23             0.000                   0

27-11-2024 13:02:23             0.500                  .50
27-11-2024 13:32:23             1.000                  1.00
27-11-2024 14:02:23             1.500                  1.50

27-11-2024 14:32:23             2.000                  2.00
27-11-2024 15:02:23             2.500                  2.50
27-11-2024 15:32:23             3.000                  3.00

27-11-2024 16:02:23             3.500                  3.50
27-11-2024 16:32:23             4.000                  4.00

27-11-2024 17:02:23             4.500                  4.50
27-11-2024 17:32:23             5.000                  5.00
27-11-2024 18:02:23             5.500                  5.50

27-11-2024 18:32:23             6.000                  6.00
27-11-2024 19:02:23             6.500                  6.50

27-11-2024 19:32:23             7.000                  7.00
27-11-2024 20:02:23             7.500                  7.50
27-11-2024 20:32:23             8.000                  8.00

27-11-2024 21:02:23             8.500                  8.50
27-11-2024 21:32:23             9.000                  9.00

27-11-2024 22:02:23             9.500                  9.50
27-11-2024 22:32:23            10.000                 10.00
27-11-2024 23:02:23            10.500                 10.50

27-11-2024 23:32:23            11.000                 11.00
28-11-2024 00:02:23            11.500                 11.50
28-11-2024 00:32:23            12.000                 12.00

28-11-2024 01:02:23            12.500                 12.50
28-11-2024 01:32:23            13.000                 13.00

28-11-2024 02:02:23            13.500                 13.50
28-11-2024 02:32:23            14.000                 14.00
28-11-2024 03:02:23            14.500                 14.50

28-11-2024 03:32:23            15.000                 15.00
28-11-2024 04:02:23            15.500                 15.50

28-11-2024 04:32:23            16.000                 16.00
28-11-2024 05:02:23            16.500                 16.50
28-11-2024 05:32:23            17.000                 17.00

28-11-2024 06:02:23            17.500                 17.50


28-11-2024 06:32:23            18.000                 18.00
28-11-2024 07:02:23            18.500                 18.50

28-11-2024 07:32:23            19.000                 19.00
28-11-2024 08:02:23            19.500                 19.50
28-11-2024 08:32:23            20.000                 20.00

28-11-2024 09:02:23            20.500                 20.50
28-11-2024 09:32:23            21.000                 21.00

28-11-2024 10:02:23            21.500                 21.50
28-11-2024 10:32:23            22.000                 22.00
28-11-2024 11:02:23            22.500                 22.50

28-11-2024 11:32:23            23.000                 23.00
28-11-2024 12:02:23            23.500                 23.50

28-11-2024 12:32:23            24.000                 24.00
28-11-2024 13:02:23            24.500                 24.50
28-11-2024 13:32:23            25.000                 25.00

28-11-2024 14:02:23            25.500                 25.50
28-11-2024 14:32:23            26.000                 26.00
28-11-2024 15:02:23            26.500                 26.50

28-11-2024 15:32:23            27.000                 27.00
28-11-2024 16:02:23            27.500                 27.50

28-11-2024 16:32:23            28.000                 28.00
28-11-2024 17:02:23            28.500                 28.50
28-11-2024 17:32:23            29.000                 29.00

28-11-2024 18:02:23            29.500                 29.50
28-11-2024 18:32:23            30.000                 30.00

