
                                              MFCS/win                    Report printed:                2024-12-10 09:24:32
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT26_BDCU_2                    Batch created:            2024-11-27 12:32:22

 Experiment Start:          2024-11-27 12:32:22                 Experiment Stop:          2024-12-01 10:06:13

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                      Value


 Date    /  Time                Age

27-11-2024 12:32:23             0.000                  600

27-11-2024 12:38:23             0.100                  600
27-11-2024 12:38:38             0.104                  411
27-11-2024 12:38:53             0.109                  401

27-11-2024 13:02:23             0.500                  401
27-11-2024 13:32:23             1.000                  401
27-11-2024 14:02:23             1.500                  401

27-11-2024 14:32:23             2.000                  401
27-11-2024 15:02:23             2.500                  401

27-11-2024 15:32:23             3.000                  401
27-11-2024 16:02:23             3.500                  401
27-11-2024 16:32:23             4.000                  401

27-11-2024 17:02:23             4.500                  400
27-11-2024 17:32:23             5.000                  401

27-11-2024 18:01:14             5.481                  402
27-11-2024 18:01:29             5.485                  404
27-11-2024 18:02:23             5.500                  405

27-11-2024 18:03:59             5.527                  404
27-11-2024 18:04:14             5.531                  401

27-11-2024 18:07:44             5.589                  403
27-11-2024 18:07:59             5.594                  405
27-11-2024 18:14:14             5.698                  405

27-11-2024 18:14:29             5.702                  409
27-11-2024 18:14:44             5.706                  407
27-11-2024 18:14:59             5.710                  405

27-11-2024 18:15:59             5.727                  405
27-11-2024 18:16:14             5.731                  402

27-11-2024 18:17:59             5.760                  403
27-11-2024 18:18:14             5.764                  405
27-11-2024 18:19:14             5.781                  405

27-11-2024 18:19:29             5.785                  409
27-11-2024 18:29:44             5.956                  410

27-11-2024 18:29:59             5.960                  412
27-11-2024 18:32:23             6.000                  412
27-11-2024 18:39:29             6.119                  414

27-11-2024 18:39:44             6.123                  416


27-11-2024 18:42:14             6.164                  416
27-11-2024 18:42:29             6.169                  413

27-11-2024 18:44:29             6.202                  416
27-11-2024 18:44:44             6.206                  416
27-11-2024 18:45:14             6.214                  416

27-11-2024 18:45:29             6.219                  413
27-11-2024 18:45:44             6.223                  415

27-11-2024 18:45:59             6.227                  416
27-11-2024 18:46:14             6.231                  413
27-11-2024 18:46:29             6.235                  412

27-11-2024 18:46:44             6.239                  409
27-11-2024 18:46:59             6.244                  412

27-11-2024 18:47:14             6.248                  409
27-11-2024 18:47:29             6.252                  410
27-11-2024 18:47:44             6.256                  412

27-11-2024 18:47:59             6.260                  416
27-11-2024 18:48:29             6.269                  419
27-11-2024 18:48:44             6.273                  420

27-11-2024 18:50:59             6.310                  420
27-11-2024 18:51:14             6.314                  416

27-11-2024 18:51:59             6.327                  416
27-11-2024 18:52:14             6.331                  420
27-11-2024 18:52:29             6.335                  416

27-11-2024 18:52:59             6.344                  416
27-11-2024 18:53:14             6.348                  420

27-11-2024 18:53:44             6.356                  418
27-11-2024 18:53:59             6.360                  416
27-11-2024 18:54:44             6.373                  418

27-11-2024 18:54:59             6.377                  420
27-11-2024 18:57:44             6.423                  420

27-11-2024 18:57:59             6.427                  417
27-11-2024 18:58:14             6.431                  417
27-11-2024 18:58:29             6.435                  420

27-11-2024 19:01:29             6.485                  420
27-11-2024 19:01:44             6.489                  424
27-11-2024 19:02:23             6.500                  426

27-11-2024 19:03:59             6.527                  424
27-11-2024 19:04:14             6.531                  420

27-11-2024 19:04:44             6.539                  420
27-11-2024 19:04:59             6.544                  417
27-11-2024 19:05:29             6.552                  419

27-11-2024 19:05:44             6.556                  420
27-11-2024 19:06:44             6.573                  420

27-11-2024 19:06:59             6.577                  424
27-11-2024 19:07:59             6.594                  426
27-11-2024 19:08:14             6.598                  427

27-11-2024 19:12:29             6.669                  425
27-11-2024 19:12:44             6.673                  424

27-11-2024 19:15:44             6.723                  425
27-11-2024 19:15:59             6.727                  427
27-11-2024 19:16:59             6.744                  428

27-11-2024 19:17:14             6.748                  430

27-11-2024 19:20:29             6.802                  428
27-11-2024 19:20:44             6.806                  427

27-11-2024 19:20:59             6.810                  424
27-11-2024 19:21:59             6.827                  424
27-11-2024 19:22:14             6.831                  427

27-11-2024 19:23:59             6.860                  429
27-11-2024 19:24:14             6.864                  431

27-11-2024 19:26:29             6.902                  431
27-11-2024 19:26:44             6.906                  428
27-11-2024 19:29:59             6.960                  428

27-11-2024 19:30:14             6.964                  431
27-11-2024 19:30:44             6.973                  432

27-11-2024 19:30:59             6.977                  435
27-11-2024 19:31:44             6.989                  435
27-11-2024 19:31:59             6.994                  431

27-11-2024 19:32:23             7.000                  431
27-11-2024 19:33:14             7.014                  431
27-11-2024 19:33:29             7.019                  428

27-11-2024 19:33:44             7.023                  428
27-11-2024 19:33:59             7.027                  431

27-11-2024 19:35:29             7.052                  431
27-11-2024 19:35:44             7.056                  435
27-11-2024 19:35:59             7.060                  435

27-11-2024 19:36:14             7.064                  431
27-11-2024 19:36:29             7.069                  433

27-11-2024 19:36:44             7.073                  435
27-11-2024 19:42:59             7.177                  435
27-11-2024 19:43:14             7.181                  431

27-11-2024 19:44:59             7.210                  431
27-11-2024 19:45:14             7.214                  435

27-11-2024 19:46:59             7.244                  437
27-11-2024 19:47:14             7.248                  439
27-11-2024 19:47:59             7.260                  440

27-11-2024 19:48:14             7.264                  442
27-11-2024 19:48:29             7.269                  439
27-11-2024 19:50:45             7.306                  436

27-11-2024 19:51:00             7.311                  435
27-11-2024 19:54:30             7.369                  435

27-11-2024 19:54:45             7.373                  439
27-11-2024 19:56:00             7.394                  440
27-11-2024 19:56:15             7.398                  442

27-11-2024 19:58:30             7.436                  442
27-11-2024 19:58:45             7.440                  439

27-11-2024 20:02:23             7.500                  439
27-11-2024 20:04:45             7.540                  439
27-11-2024 20:05:00             7.544                  442

27-11-2024 20:06:15             7.565                  443
27-11-2024 20:06:30             7.569                  446

27-11-2024 20:08:15             7.598                  446
27-11-2024 20:08:30             7.602                  442
27-11-2024 20:11:30             7.652                  442

27-11-2024 20:11:45             7.656                  446

27-11-2024 20:12:00             7.661                  446
27-11-2024 20:12:15             7.665                  442

27-11-2024 20:14:00             7.694                  442
27-11-2024 20:14:15             7.698                  446
27-11-2024 20:24:15             7.865                  449

27-11-2024 20:24:30             7.869                  450
27-11-2024 20:32:23             8.000                  450

27-11-2024 20:34:30             8.036                  450
27-11-2024 20:34:45             8.040                  454
27-11-2024 20:38:00             8.094                  454

27-11-2024 20:38:15             8.098                  450
27-11-2024 20:38:45             8.106                  452

27-11-2024 20:39:00             8.111                  454
27-11-2024 20:39:15             8.115                  450
27-11-2024 20:40:45             8.140                  450

27-11-2024 20:41:00             8.144                  453
27-11-2024 20:41:30             8.152                  454
27-11-2024 20:41:45             8.156                  456

27-11-2024 20:50:15             8.298                  458
27-11-2024 20:50:30             8.302                  460

27-11-2024 21:02:23             8.500                  461
27-11-2024 21:04:15             8.531                  464
27-11-2024 21:04:30             8.536                  465

27-11-2024 21:05:15             8.548                  464
27-11-2024 21:05:31             8.552                  461

27-11-2024 21:07:31             8.586                  464
27-11-2024 21:07:46             8.590                  465
27-11-2024 21:11:02             8.644                  465

27-11-2024 21:11:17             8.649                  462
27-11-2024 21:11:47             8.657                  462

27-11-2024 21:12:02             8.661                  465
27-11-2024 21:12:17             8.665                  461
27-11-2024 21:13:17             8.682                  461

27-11-2024 21:13:32             8.686                  465
27-11-2024 21:16:47             8.740                  465
27-11-2024 21:17:02             8.744                  469

27-11-2024 21:18:17             8.765                  468
27-11-2024 21:18:32             8.769                  466

27-11-2024 21:20:02             8.794                  467
27-11-2024 21:20:17             8.799                  469
27-11-2024 21:21:17             8.815                  467

27-11-2024 21:21:32             8.819                  465
27-11-2024 21:24:02             8.861                  465

27-11-2024 21:24:17             8.865                  469
27-11-2024 21:24:32             8.869                  465
27-11-2024 21:25:17             8.882                  465

27-11-2024 21:25:32             8.886                  468
27-11-2024 21:27:17             8.915                  471

27-11-2024 21:27:32             8.919                  472
27-11-2024 21:30:02             8.961                  471
27-11-2024 21:30:17             8.965                  469

27-11-2024 21:31:17             8.982                  469

27-11-2024 21:31:32             8.986                  465
27-11-2024 21:31:47             8.990                  466

27-11-2024 21:32:02             8.994                  469
27-11-2024 21:32:23             9.000                  469
27-11-2024 21:33:02             9.011                  469

27-11-2024 21:33:17             9.015                  472
27-11-2024 21:34:17             9.032                  473

27-11-2024 21:34:33             9.036                  476
27-11-2024 21:34:48             9.041                  472
27-11-2024 21:35:18             9.049                  472

27-11-2024 21:35:33             9.053                  476
27-11-2024 21:35:48             9.057                  476

27-11-2024 21:36:03             9.061                  472
27-11-2024 21:37:33             9.086                  472
27-11-2024 21:37:48             9.091                  469

27-11-2024 21:39:18             9.116                  469
27-11-2024 21:39:34             9.120                  472
27-11-2024 21:39:49             9.124                  476

27-11-2024 21:40:19             9.132                  476
27-11-2024 21:40:34             9.137                  472

27-11-2024 21:40:49             9.141                  474
27-11-2024 21:41:04             9.145                  476
27-11-2024 21:42:04             9.162                  476

27-11-2024 21:42:19             9.166                  472
27-11-2024 21:44:19             9.199                  473

27-11-2024 21:44:34             9.203                  476
27-11-2024 21:48:34             9.270                  475
27-11-2024 21:48:49             9.274                  473

27-11-2024 21:49:19             9.283                  474
27-11-2024 21:49:34             9.287                  478

27-11-2024 21:53:34             9.353                  476
27-11-2024 21:53:49             9.357                  474
27-11-2024 21:55:50             9.391                  476

27-11-2024 21:56:05             9.395                  480
27-11-2024 21:58:20             9.433                  480
27-11-2024 21:58:35             9.437                  476

27-11-2024 22:00:35             9.470                  476
27-11-2024 22:00:50             9.474                  480

27-11-2024 22:02:23             9.500                  480
27-11-2024 22:04:35             9.537                  480
27-11-2024 22:04:50             9.541                  483

27-11-2024 22:05:05             9.545                  480
27-11-2024 22:05:20             9.549                  480

27-11-2024 22:05:35             9.554                  483
27-11-2024 22:05:50             9.558                  480
27-11-2024 22:07:50             9.591                  480

27-11-2024 22:08:05             9.595                  483
27-11-2024 22:10:35             9.637                  481

27-11-2024 22:10:50             9.641                  480
27-11-2024 22:11:05             9.645                  480
27-11-2024 22:11:20             9.649                  483

27-11-2024 22:13:05             9.679                  483

27-11-2024 22:13:20             9.683                  480
27-11-2024 22:15:05             9.712                  483

27-11-2024 22:15:20             9.716                  484
27-11-2024 22:22:35             9.837                  486
27-11-2024 22:22:50             9.841                  488

27-11-2024 22:24:35             9.870                  488
27-11-2024 22:24:50             9.874                  484

27-11-2024 22:26:35             9.904                  484
27-11-2024 22:26:50             9.908                  488
27-11-2024 22:27:05             9.912                  488

27-11-2024 22:27:20             9.916                  491
27-11-2024 22:27:35             9.920                  488

27-11-2024 22:28:20             9.933                  485
27-11-2024 22:28:35             9.937                  484
27-11-2024 22:29:20             9.949                  485

27-11-2024 22:29:35             9.954                  488
27-11-2024 22:31:20             9.983                  485
27-11-2024 22:31:35             9.987                  484

27-11-2024 22:32:23            10.000                  484
27-11-2024 22:33:05            10.012                  486

27-11-2024 22:33:20            10.016                  488
27-11-2024 22:34:35            10.037                  488
27-11-2024 22:34:50            10.041                  491

27-11-2024 22:35:50            10.058                  491
27-11-2024 22:36:05            10.062                  488

27-11-2024 22:37:20            10.083                  486
27-11-2024 22:37:35            10.087                  484
27-11-2024 22:38:05            10.095                  485

27-11-2024 22:38:20            10.099                  488
27-11-2024 22:38:35            10.104                  488

27-11-2024 22:38:50            10.108                  491
27-11-2024 22:39:05            10.112                  490
27-11-2024 22:39:20            10.116                  488

27-11-2024 22:39:35            10.120                  491
27-11-2024 22:41:35            10.154                  489
27-11-2024 22:41:50            10.158                  488

27-11-2024 22:43:35            10.187                  490
27-11-2024 22:43:50            10.191                  491

27-11-2024 22:44:20            10.199                  492
27-11-2024 22:44:35            10.204                  495
27-11-2024 22:46:20            10.233                  492

27-11-2024 22:46:35            10.237                  491
27-11-2024 22:46:50            10.241                  491

27-11-2024 22:47:05            10.245                  488
27-11-2024 22:48:20            10.266                  486
27-11-2024 22:48:35            10.270                  484

27-11-2024 22:48:50            10.274                  488
27-11-2024 22:49:20            10.283                  488

27-11-2024 22:49:35            10.287                  491
27-11-2024 22:51:20            10.316                  491
27-11-2024 22:51:35            10.320                  488

27-11-2024 22:51:50            10.324                  491

27-11-2024 22:52:20            10.333                  491
27-11-2024 22:52:35            10.337                  494

27-11-2024 22:52:50            10.341                  492
27-11-2024 22:53:05            10.345                  491
27-11-2024 22:55:20            10.383                  491

27-11-2024 22:55:35            10.387                  494
27-11-2024 22:57:50            10.424                  494

27-11-2024 22:58:05            10.429                  491
27-11-2024 22:58:20            10.433                  491
27-11-2024 22:58:35            10.437                  495

27-11-2024 22:58:50            10.441                  491
27-11-2024 23:01:20            10.483                  492

27-11-2024 23:01:35            10.487                  494
27-11-2024 23:02:23            10.500                  495
27-11-2024 23:09:35            10.620                  495

27-11-2024 23:09:50            10.624                  491
27-11-2024 23:10:35            10.637                  490
27-11-2024 23:10:50            10.641                  495

27-11-2024 23:11:20            10.649                  495
27-11-2024 23:11:35            10.654                  499

27-11-2024 23:13:21            10.683                  499
27-11-2024 23:13:36            10.687                  495
27-11-2024 23:18:51            10.775                  495

27-11-2024 23:19:06            10.779                  499
27-11-2024 23:19:51            10.791                  499

27-11-2024 23:20:06            10.796                  495
27-11-2024 23:20:21            10.800                  498
27-11-2024 23:20:36            10.804                  496

27-11-2024 23:20:51            10.808                  495
27-11-2024 23:23:06            10.846                  497

27-11-2024 23:23:21            10.850                  499
27-11-2024 23:26:06            10.896                  499
27-11-2024 23:26:21            10.900                  502

27-11-2024 23:26:36            10.904                  499
27-11-2024 23:27:21            10.916                  498
27-11-2024 23:27:36            10.921                  495

27-11-2024 23:29:51            10.958                  498
27-11-2024 23:30:06            10.962                  499

27-11-2024 23:32:23            11.000                  499
27-11-2024 23:32:36            11.004                  501
27-11-2024 23:32:51            11.008                  502

27-11-2024 23:33:36            11.021                  501
27-11-2024 23:33:51            11.025                  499

27-11-2024 23:35:51            11.058                  498
27-11-2024 23:36:06            11.062                  496
27-11-2024 23:37:36            11.087                  497

27-11-2024 23:37:51            11.091                  499
27-11-2024 23:38:36            11.104                  499

27-11-2024 23:38:51            11.108                  502
27-11-2024 23:40:21            11.133                  502
27-11-2024 23:40:36            11.137                  499

27-11-2024 23:41:06            11.146                  499

27-11-2024 23:41:21            11.150                  495
27-11-2024 23:42:21            11.166                  495

27-11-2024 23:42:36            11.171                  499
27-11-2024 23:43:06            11.179                  499
27-11-2024 23:43:21            11.183                  502

27-11-2024 23:46:06            11.229                  500
27-11-2024 23:46:21            11.233                  499

27-11-2024 23:47:06            11.246                  499
27-11-2024 23:47:21            11.250                  502
