
                                              MFCS/win                    Report printed:                2024-12-10 09:24:36
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT26_BDCU_2                    Batch created:            2024-11-27 12:32:22

 Experiment Start:          2024-11-27 12:32:22                 Experiment Stop:          2024-12-01 10:06:13

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 AIRSP_A
                                                       lpm
  Data
                                                     Setpoint


 Date    /  Time                Age

27-11-2024 12:32:23             0.000                 1.000

27-11-2024 12:38:23             0.100                 1.000
27-11-2024 12:38:38             0.104                  .375
27-11-2024 13:02:23             0.500                  .375

27-11-2024 13:32:23             1.000                  .375
27-11-2024 14:02:23             1.500                  .375
27-11-2024 14:32:23             2.000                  .375

27-11-2024 15:02:23             2.500                  .375
27-11-2024 15:32:23             3.000                  .375

27-11-2024 16:02:23             3.500                  .375
27-11-2024 16:32:23             4.000                  .375
27-11-2024 17:02:23             4.500                  .375

27-11-2024 17:32:23             5.000                  .375
27-11-2024 18:02:23             5.500                  .380

27-11-2024 18:32:23             6.000                  .391
27-11-2024 19:02:23             6.500                  .407
27-11-2024 19:32:23             7.000                  .415

27-11-2024 20:02:23             7.500                  .425
27-11-2024 20:32:23             8.000                  .436

27-11-2024 21:02:23             8.500                  .451
27-11-2024 21:32:23             9.000                  .461
27-11-2024 22:02:23             9.500                  .476

27-11-2024 22:32:23            10.000                  .481
27-11-2024 23:02:23            10.500                  .493
27-11-2024 23:32:23            11.000                  .502

28-11-2024 00:02:23            11.500                  .503
28-11-2024 00:32:23            12.000                  .519

28-11-2024 01:02:23            12.500                  .530
28-11-2024 01:32:23            13.000                  .523
28-11-2024 02:02:23            13.500                  .533

28-11-2024 02:32:23            14.000                  .518
28-11-2024 03:02:23            14.500                  .509

28-11-2024 03:32:23            15.000                  .514
28-11-2024 04:02:23            15.500                  .500
28-11-2024 04:32:23            16.000                  .497

28-11-2024 05:02:23            16.500                  .510


28-11-2024 05:32:23            17.000                  .497
28-11-2024 05:40:32            17.136                  .515

28-11-2024 05:40:47            17.140                  .529
28-11-2024 05:41:02            17.144                  .545
28-11-2024 05:41:17            17.149                  .559

28-11-2024 05:56:17            17.399                  .533
28-11-2024 05:56:32            17.403                  .528

28-11-2024 06:02:23            17.500                  .523
28-11-2024 06:19:02            17.778                  .496
28-11-2024 06:19:17            17.782                  .493

28-11-2024 06:28:18            17.932                  .508
28-11-2024 06:28:33            17.936                  .525

28-11-2024 06:29:03            17.945                  .554
28-11-2024 06:29:18            17.949                  .568
28-11-2024 06:29:48            17.957                  .595

28-11-2024 06:30:04            17.962                  .607
28-11-2024 06:32:23            18.000                  .631
28-11-2024 06:44:04            18.195                  .606

28-11-2024 06:44:19            18.199                  .597
28-11-2024 06:51:49            18.324                  .623

28-11-2024 06:52:04            18.328                  .628
28-11-2024 07:02:23            18.500                  .602
28-11-2024 07:13:36            18.687                  .575

28-11-2024 07:13:51            18.691                  .569
28-11-2024 07:21:06            18.812                  .596

28-11-2024 07:21:21            18.816                  .603
28-11-2024 07:27:36            18.921                  .624
28-11-2024 07:27:51            18.925                  .634

28-11-2024 07:32:23            19.000                  .632
28-11-2024 07:40:21            19.133                  .605

28-11-2024 07:40:36            19.137                  .599
28-11-2024 07:48:06            19.262                  .569
28-11-2024 07:48:21            19.266                  .567

28-11-2024 08:02:23            19.500                  .549
28-11-2024 08:31:51            19.991                  .519
28-11-2024 08:32:06            19.996                  .517

28-11-2024 08:32:23            20.000                  .515
28-11-2024 09:02:23            20.500                  .523

28-11-2024 09:20:53            20.809                  .495
28-11-2024 09:21:08            20.813                  .492
28-11-2024 09:32:23            21.000                  .488

28-11-2024 10:02:23            21.500                  .488
28-11-2024 10:28:27            21.935                  .509

28-11-2024 10:28:42            21.939                  .521
28-11-2024 10:32:23            22.000                  .514
28-11-2024 10:58:43            22.439                  .485

28-11-2024 10:58:58            22.443                  .483
28-11-2024 11:02:23            22.500                  .490

28-11-2024 11:32:23            23.000                  .487
28-11-2024 12:02:23            23.500                  .494
28-11-2024 12:32:23            24.000                  .489

28-11-2024 13:02:23            24.500                  .484

28-11-2024 13:32:23            25.000                  .465
28-11-2024 14:02:23            25.500                  .464

28-11-2024 14:32:23            26.000                  .465
28-11-2024 15:02:23            26.500                  .465
28-11-2024 15:32:23            27.000                  .469

28-11-2024 16:02:23            27.500                  .479
28-11-2024 16:32:23            28.000                  .481

28-11-2024 17:02:23            28.500                  .484
28-11-2024 17:32:23            29.000                  .482
28-11-2024 18:02:23            29.500                  .481

28-11-2024 18:32:23            30.000                  .482
28-11-2024 19:02:23            30.500                  .476

28-11-2024 19:32:23            31.000                  .484
28-11-2024 20:02:23            31.500                  .481
28-11-2024 20:32:23            32.000                  .485

28-11-2024 20:43:12            32.181                  .503
28-11-2024 20:43:27            32.185                  .518
28-11-2024 20:43:57            32.193                  .545

28-11-2024 20:44:12            32.197                  .557
28-11-2024 20:55:12            32.381                  .527

28-11-2024 20:55:27            32.385                  .525
28-11-2024 21:02:23            32.500                  .503
28-11-2024 21:32:23            33.000                  .481

28-11-2024 22:02:23            33.500                  .479
28-11-2024 22:32:23            34.000                  .478

28-11-2024 23:02:23            34.500                  .479
28-11-2024 23:32:23            35.000                  .485
29-11-2024 00:02:23            35.500                  .484

29-11-2024 00:32:23            36.000                  .483
29-11-2024 01:02:23            36.500                  .479

29-11-2024 01:32:23            37.000                  .478
29-11-2024 02:02:24            37.501                  .476
29-11-2024 02:32:24            38.001                  .481

29-11-2024 03:02:24            38.501                  .485
29-11-2024 03:32:24            39.001                  .481
29-11-2024 04:02:24            39.501                  .471

29-11-2024 04:32:24            40.001                  .480
29-11-2024 05:02:24            40.501                  .480

29-11-2024 05:32:24            41.001                  .479
29-11-2024 06:02:24            41.501                  .478
29-11-2024 06:32:24            42.001                  .474

29-11-2024 07:02:24            42.501                  .474
29-11-2024 07:32:24            43.001                  .472

29-11-2024 08:02:24            43.501                  .470
29-11-2024 08:32:24            44.001                  .473
29-11-2024 09:02:24            44.501                  .472

29-11-2024 09:32:24            45.001                  .471
29-11-2024 10:02:24            45.501                  .476

29-11-2024 10:32:24            46.001                  .479
29-11-2024 11:02:24            46.501                  .475
29-11-2024 11:32:24            47.001                  .487

29-11-2024 12:02:24            47.501                  .476

29-11-2024 12:32:24            48.001                  .475
29-11-2024 13:02:24            48.501                  .476

29-11-2024 13:32:24            49.001                  .478
