
                                              MFCS/win                    Report printed:                2024-12-10 09:24:37
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT26_BDCU_2                    Batch created:            2024-11-27 12:32:22

 Experiment Start:          2024-11-27 12:32:22                 Experiment Stop:          2024-12-01 10:06:13

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                   pH_A
                                                    pH
  Data
                                                      Value


 Date    /  Time                Age

27-11-2024 12:32:23             0.000                  5.60

27-11-2024 13:02:23             0.500                  5.54
27-11-2024 13:14:53             0.709                  5.51
27-11-2024 13:15:08             0.713                  7.31

27-11-2024 13:15:38             0.721                  7.29
27-11-2024 13:15:53             0.725                  5.64
27-11-2024 13:16:38             0.738                  5.54

27-11-2024 13:16:53             0.742                  5.54
27-11-2024 13:32:23             1.000                  5.55

27-11-2024 14:02:23             1.500                  5.59
27-11-2024 14:32:23             2.000                  5.60
27-11-2024 15:02:23             2.500                  5.56

27-11-2024 15:32:23             3.000                  5.55
27-11-2024 15:42:41             3.172                  5.61

27-11-2024 15:42:56             3.176                  5.67
27-11-2024 16:02:23             3.500                  5.60
27-11-2024 16:32:23             4.000                  5.63

27-11-2024 17:02:23             4.500                  5.62
27-11-2024 17:32:23             5.000                  5.64

27-11-2024 17:45:44             5.223                  5.54
27-11-2024 17:45:59             5.227                  5.54
27-11-2024 18:02:23             5.500                  5.59

27-11-2024 18:32:23             6.000                  5.58
27-11-2024 19:02:23             6.500                  5.57
27-11-2024 19:23:14             6.848                  5.47

27-11-2024 19:23:29             6.852                  5.47
27-11-2024 19:23:59             6.860                  5.47

27-11-2024 19:24:14             6.864                  5.62
27-11-2024 19:32:23             7.000                  5.53
27-11-2024 20:02:23             7.500                  5.55

27-11-2024 20:32:23             8.000                  5.56
27-11-2024 21:02:23             8.500                  5.54

27-11-2024 21:32:23             9.000                  5.58
27-11-2024 22:02:23             9.500                  5.54
27-11-2024 22:32:23            10.000                  5.53

27-11-2024 23:02:23            10.500                  5.55


27-11-2024 23:32:23            11.000                  5.57
28-11-2024 00:02:23            11.500                  5.55

28-11-2024 00:32:23            12.000                  5.55
28-11-2024 01:02:23            12.500                  5.56
28-11-2024 01:32:23            13.000                  5.54

28-11-2024 02:02:23            13.500                  5.58
28-11-2024 02:32:23            14.000                  5.56

28-11-2024 03:02:23            14.500                  5.56
28-11-2024 03:32:23            15.000                  5.52
28-11-2024 04:02:23            15.500                  5.52

28-11-2024 04:32:23            16.000                  5.53
28-11-2024 05:02:23            16.500                  5.53

28-11-2024 05:18:15            16.765                  5.63
28-11-2024 05:18:30            16.769                  5.63
28-11-2024 05:22:00            16.827                  5.53

28-11-2024 05:22:15            16.831                  5.53
28-11-2024 05:28:16            16.932                  5.62
28-11-2024 05:28:31            16.936                  5.63

28-11-2024 05:32:23            17.000                  5.54
28-11-2024 05:38:46            17.107                  5.55

28-11-2024 05:39:01            17.111                  5.66
28-11-2024 05:42:47            17.174                  5.56
28-11-2024 05:43:02            17.178                  5.56

28-11-2024 06:02:23            17.500                  5.55
28-11-2024 06:12:02            17.661                  5.65

28-11-2024 06:12:17            17.665                  5.67
28-11-2024 06:16:17            17.732                  5.57
28-11-2024 06:16:32            17.736                  5.56

28-11-2024 06:32:23            18.000                  5.52
28-11-2024 07:02:23            18.500                  5.52

28-11-2024 07:32:23            19.000                  5.55
28-11-2024 08:02:23            19.500                  5.57
28-11-2024 08:32:23            20.000                  5.55

28-11-2024 09:02:23            20.500                  5.55
28-11-2024 09:32:23            21.000                  5.56
28-11-2024 10:02:23            21.500                  5.51

28-11-2024 10:32:23            22.000                  5.55
28-11-2024 11:02:23            22.500                  5.54

28-11-2024 11:32:23            23.000                  5.54
28-11-2024 12:02:23            23.500                  5.54
28-11-2024 12:32:23            24.000                  5.55

28-11-2024 13:02:23            24.500                  5.53
28-11-2024 13:32:23            25.000                  5.52

28-11-2024 14:02:23            25.500                  5.53
28-11-2024 14:32:23            26.000                  5.55
28-11-2024 15:02:23            26.500                  5.52

28-11-2024 15:32:23            27.000                  5.55
28-11-2024 16:02:23            27.500                  5.54

28-11-2024 16:32:23            28.000                  5.55
28-11-2024 17:02:23            28.500                  5.55
28-11-2024 17:32:23            29.000                  5.54

28-11-2024 18:02:23            29.500                  5.54

28-11-2024 18:32:23            30.000                  5.55
28-11-2024 19:02:23            30.500                  5.54

28-11-2024 19:32:23            31.000                  5.54
28-11-2024 20:02:23            31.500                  5.54
28-11-2024 20:32:23            32.000                  5.54

28-11-2024 21:02:23            32.500                  5.55
28-11-2024 21:32:23            33.000                  5.54

28-11-2024 22:02:23            33.500                  5.55
28-11-2024 22:32:23            34.000                  5.54
28-11-2024 23:02:23            34.500                  5.55

28-11-2024 23:32:23            35.000                  5.54
29-11-2024 00:02:23            35.500                  5.54

29-11-2024 00:32:23            36.000                  5.54
29-11-2024 01:02:23            36.500                  5.54
29-11-2024 01:32:23            37.000                  5.54

29-11-2024 02:02:24            37.501                  5.54
29-11-2024 02:32:24            38.001                  5.54
29-11-2024 03:02:24            38.501                  5.54

29-11-2024 03:32:24            39.001                  5.54
29-11-2024 04:02:24            39.501                  5.55

29-11-2024 04:32:24            40.001                  5.54
29-11-2024 05:02:24            40.501                  5.54
29-11-2024 05:32:24            41.001                  5.55

29-11-2024 06:02:24            41.501                  5.54
29-11-2024 06:32:24            42.001                  5.55

29-11-2024 07:02:24            42.501                  5.54
29-11-2024 07:32:24            43.001                  5.55
29-11-2024 08:02:24            43.501                  5.54

29-11-2024 08:32:24            44.001                  5.54
29-11-2024 09:02:24            44.501                  5.54

29-11-2024 09:32:24            45.001                  5.55
29-11-2024 10:02:24            45.501                  5.54
29-11-2024 10:32:24            46.001                  5.54

29-11-2024 11:02:24            46.501                  5.54
29-11-2024 11:32:24            47.001                  5.55
29-11-2024 12:02:24            47.501                  5.55

29-11-2024 12:32:24            48.001                  5.54
29-11-2024 13:02:24            48.501                  5.54

29-11-2024 13:32:24            49.001                  5.54
29-11-2024 14:02:24            49.501                  5.54
29-11-2024 14:32:24            50.001                  5.54

29-11-2024 15:02:24            50.501                  5.54
29-11-2024 15:32:24            51.001                  5.54

29-11-2024 16:02:24            51.501                  5.55
29-11-2024 16:32:24            52.001                  5.55
29-11-2024 17:02:24            52.501                  5.54

29-11-2024 17:32:24            53.001                  5.54
29-11-2024 18:02:24            53.501                  5.55

29-11-2024 18:32:24            54.001                  5.55
29-11-2024 19:02:24            54.501                  5.55
29-11-2024 19:32:24            55.001                  5.55

29-11-2024 20:02:24            55.501                  5.54

29-11-2024 20:32:24            56.001                  5.54
29-11-2024 21:02:24            56.501                  5.55

29-11-2024 21:32:24            57.001                  5.54
29-11-2024 22:02:24            57.501                  5.54
29-11-2024 22:32:24            58.001                  5.55

29-11-2024 23:02:24            58.501                  5.55
29-11-2024 23:32:24            59.001                  5.54

30-11-2024 00:02:24            59.501                  5.54
30-11-2024 00:32:24            60.001                  5.55
30-11-2024 01:02:24            60.501                  5.55

30-11-2024 01:32:24            61.001                  5.55
30-11-2024 02:02:24            61.501                  5.55

30-11-2024 02:32:24            62.001                  5.55
30-11-2024 03:02:24            62.501                  5.55
30-11-2024 03:32:24            63.001                  5.54

30-11-2024 04:02:24            63.501                  5.55
30-11-2024 04:32:24            64.001                  5.54
30-11-2024 05:02:24            64.501                  5.55

30-11-2024 05:32:24            65.001                  5.55
30-11-2024 06:02:24            65.501                  5.54

