
                                              MFCS/win                    Report printed:                2024-12-10 09:24:37
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT26_BDCU_2                    Batch created:            2024-11-27 12:32:22

 Experiment Start:          2024-11-27 12:32:22                 Experiment Stop:          2024-12-01 10:06:13

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  PO2_A
                                                    %Sat
  Data
                                                      Value


 Date    /  Time                Age

27-11-2024 12:32:23             0.000                  95.8

27-11-2024 12:39:23             0.117                  94.9
27-11-2024 12:39:38             0.121                  94.7
27-11-2024 12:39:53             0.125                  94.2

27-11-2024 12:40:08             0.129                  93.5
27-11-2024 12:40:23             0.134                  92.8
27-11-2024 12:40:38             0.138                  91.8

27-11-2024 12:40:53             0.142                  91.0
27-11-2024 12:41:08             0.146                  90.4

27-11-2024 12:41:38             0.154                  89.7
27-11-2024 12:41:53             0.159                  89.4
27-11-2024 12:42:23             0.167                  88.4

27-11-2024 12:42:38             0.171                  88.0
27-11-2024 12:43:38             0.188                  87.0

27-11-2024 12:43:53             0.192                  86.9
27-11-2024 12:44:53             0.209                  86.0
27-11-2024 12:45:08             0.213                  85.8

27-11-2024 12:47:08             0.246                  84.8
27-11-2024 12:47:23             0.250                  84.7

27-11-2024 12:52:23             0.334                  84.2
27-11-2024 12:52:38             0.338                  83.7
27-11-2024 12:58:08             0.429                  82.8

27-11-2024 12:58:23             0.434                  82.7
27-11-2024 13:02:23             0.500                  82.6
27-11-2024 13:12:08             0.663                  81.6

27-11-2024 13:12:23             0.667                  81.5
27-11-2024 13:18:23             0.767                  80.6

27-11-2024 13:18:38             0.771                  80.5
27-11-2024 13:26:23             0.900                  79.6
27-11-2024 13:26:38             0.904                  79.5

27-11-2024 13:32:23             1.000                  79.0
27-11-2024 13:38:23             1.100                  78.0

27-11-2024 13:38:38             1.104                  78.0
27-11-2024 13:45:08             1.213                  77.0
27-11-2024 13:45:23             1.217                  76.9

27-11-2024 13:55:23             1.384                  76.0


27-11-2024 13:55:38             1.388                  75.9
27-11-2024 14:02:23             1.500                  75.2

27-11-2024 14:08:08             1.596                  74.2
27-11-2024 14:08:23             1.600                  74.0
27-11-2024 14:15:23             1.717                  73.1

27-11-2024 14:15:38             1.721                  73.0
27-11-2024 14:21:38             1.821                  72.1

27-11-2024 14:21:53             1.825                  72.0
27-11-2024 14:27:08             1.913                  71.0
27-11-2024 14:27:23             1.917                  71.0

27-11-2024 14:32:23             2.000                  70.1
27-11-2024 14:37:53             2.092                  69.1

27-11-2024 14:38:08             2.096                  69.1
27-11-2024 14:42:38             2.171                  68.1
