
                                              MFCS/win                    Report printed:                2024-12-10 09:24:41
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT26_BDCU_2                    Batch created:            2024-11-27 12:32:22

 Experiment Start:          2024-11-27 12:32:22                 Experiment Stop:          2024-12-01 10:06:13

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 VWEIGH_D
                                                        kg
  Data
                                                      Value


 Date    /  Time                Age

27-11-2024 12:32:23             0.000                 14.69

27-11-2024 12:33:23             0.017                 14.89
27-11-2024 12:33:38             0.021                 15.49
27-11-2024 12:33:53             0.025                 14.93

27-11-2024 12:34:08             0.029                 14.98
27-11-2024 12:34:23             0.034                 16.81
27-11-2024 12:34:38             0.038                 14.87

27-11-2024 12:37:23             0.084                 14.90
27-11-2024 12:37:38             0.088                 15.26

27-11-2024 12:37:53             0.092                 15.23
27-11-2024 12:38:08             0.096                 14.93
27-11-2024 13:02:23             0.500                 14.86

27-11-2024 13:14:38             0.704                 14.84
27-11-2024 13:14:53             0.709                 14.53

27-11-2024 13:32:23             1.000                 14.57
27-11-2024 14:02:23             1.500                 14.69
27-11-2024 14:32:23             2.000                 14.68

27-11-2024 15:02:23             2.500                 14.68
27-11-2024 15:32:23             3.000                 14.61

27-11-2024 15:42:26             3.168                 14.63
27-11-2024 15:42:41             3.172                 16.07
27-11-2024 15:42:56             3.176                 14.62

27-11-2024 15:43:56             3.193                 14.60
27-11-2024 15:44:11             3.197                 15.01
27-11-2024 16:02:23             3.500                 14.89

27-11-2024 16:21:26             3.818                 14.89
27-11-2024 16:21:41             3.822                 15.32

27-11-2024 16:21:56             3.826                 14.79
27-11-2024 16:32:23             4.000                 14.83
27-11-2024 17:02:23             4.500                 14.86

27-11-2024 17:32:23             5.000                 14.86
27-11-2024 18:02:23             5.500                 14.86

27-11-2024 18:32:23             6.000                 14.86
27-11-2024 19:02:23             6.500                 14.86
27-11-2024 19:32:23             7.000                 14.86

27-11-2024 20:02:23             7.500                 14.86


27-11-2024 20:32:23             8.000                 14.86
27-11-2024 21:02:23             8.500                 14.86

27-11-2024 21:32:23             9.000                 14.86
27-11-2024 22:02:23             9.500                 14.86
27-11-2024 22:32:23            10.000                 14.86

27-11-2024 23:02:23            10.500                 14.86
27-11-2024 23:32:23            11.000                 14.86

28-11-2024 00:02:23            11.500                 14.86
28-11-2024 00:32:23            12.000                 14.87
28-11-2024 01:02:23            12.500                 14.87

28-11-2024 01:32:23            13.000                 14.87
28-11-2024 02:02:23            13.500                 14.87

28-11-2024 02:32:23            14.000                 14.87
28-11-2024 03:02:23            14.500                 14.87
28-11-2024 03:32:23            15.000                 14.87

28-11-2024 04:02:23            15.500                 14.87
28-11-2024 04:32:23            16.000                 14.87
28-11-2024 05:02:23            16.500                 14.87

28-11-2024 05:32:23            17.000                 14.87
28-11-2024 06:02:23            17.500                 14.87

28-11-2024 06:32:23            18.000                 14.86
28-11-2024 07:02:23            18.500                 14.80
28-11-2024 07:32:23            19.000                 14.80

28-11-2024 08:02:23            19.500                 14.84
28-11-2024 08:32:23            20.000                 14.85

28-11-2024 09:02:23            20.500                 14.86
28-11-2024 09:32:23            21.000                 14.86
28-11-2024 10:02:23            21.500                 14.86

28-11-2024 10:32:23            22.000                 14.86
28-11-2024 11:02:23            22.500                 14.86

28-11-2024 11:32:23            23.000                 14.86
28-11-2024 12:02:23            23.500                 14.86
28-11-2024 12:32:23            24.000                 14.86

28-11-2024 13:02:23            24.500                 14.87
28-11-2024 13:32:23            25.000                 14.89
28-11-2024 14:02:23            25.500                 14.92

28-11-2024 14:32:23            26.000                 14.91
28-11-2024 15:02:23            26.500                 14.90

28-11-2024 15:32:23            27.000                 14.90
28-11-2024 16:02:23            27.500                 14.89
28-11-2024 16:32:23            28.000                 14.89

28-11-2024 17:02:23            28.500                 14.89
28-11-2024 17:32:23            29.000                 14.88

28-11-2024 18:02:23            29.500                 14.88
28-11-2024 18:32:23            30.000                 14.87
28-11-2024 19:02:23            30.500                 14.86

28-11-2024 19:32:23            31.000                 14.86
28-11-2024 20:02:23            31.500                 14.84

28-11-2024 20:28:25            31.934                 15.04
28-11-2024 20:28:40            31.938                 15.04
28-11-2024 20:32:23            32.000                 15.09

28-11-2024 20:41:41            32.155                 15.10

28-11-2024 20:41:56            32.159                 16.54
28-11-2024 20:42:11            32.164                 15.52

28-11-2024 20:42:26            32.168                 14.97
28-11-2024 20:47:27            32.251                 14.77
28-11-2024 20:47:42            32.256                 14.77

28-11-2024 21:02:23            32.500                 14.73
28-11-2024 21:32:23            33.000                 14.75

28-11-2024 22:02:23            33.500                 14.76
28-11-2024 22:32:23            34.000                 14.77
28-11-2024 23:02:23            34.500                 14.77

28-11-2024 23:32:23            35.000                 14.78
29-11-2024 00:02:23            35.500                 14.78

29-11-2024 00:32:23            36.000                 14.78
29-11-2024 01:02:23            36.500                 14.78
29-11-2024 01:32:23            37.000                 14.79

29-11-2024 02:02:24            37.501                 14.79
29-11-2024 02:32:24            38.001                 14.79
29-11-2024 03:02:24            38.501                 14.80

29-11-2024 03:32:24            39.001                 14.80
29-11-2024 04:02:24            39.501                 14.80

29-11-2024 04:32:24            40.001                 14.80
29-11-2024 05:02:24            40.501                 14.81
29-11-2024 05:32:24            41.001                 14.80

29-11-2024 06:02:24            41.501                 14.80
29-11-2024 06:32:24            42.001                 14.79

29-11-2024 07:02:24            42.501                 14.78
29-11-2024 07:32:24            43.001                 14.81
29-11-2024 08:02:24            43.501                 14.82

29-11-2024 08:32:24            44.001                 14.83
29-11-2024 09:02:24            44.501                 14.82

29-11-2024 09:32:24            45.001                 14.83
29-11-2024 10:02:24            45.501                 14.83
29-11-2024 10:32:24            46.001                 14.83

29-11-2024 11:02:24            46.501                 14.83
29-11-2024 11:32:24            47.001                 14.83
29-11-2024 12:02:24            47.501                 14.84

29-11-2024 12:32:24            48.001                 14.83
29-11-2024 13:02:24            48.501                 14.84

29-11-2024 13:32:24            49.001                 14.84
29-11-2024 14:02:24            49.501                 14.84
29-11-2024 14:32:24            50.001                 14.84

29-11-2024 15:02:24            50.501                 14.84
29-11-2024 15:32:24            51.001                 14.84

29-11-2024 16:02:24            51.501                 14.84
29-11-2024 16:32:24            52.001                 14.84
29-11-2024 17:02:24            52.501                 14.80

29-11-2024 17:32:24            53.001                 14.79
29-11-2024 18:02:24            53.501                 14.83

29-11-2024 18:32:24            54.001                 14.84
29-11-2024 19:02:24            54.501                 14.84
29-11-2024 19:32:24            55.001                 14.84

29-11-2024 20:02:24            55.501                 14.84

29-11-2024 20:32:24            56.001                 14.84
29-11-2024 21:02:24            56.501                 14.85

29-11-2024 21:32:24            57.001                 14.85
29-11-2024 22:02:24            57.501                 14.85
29-11-2024 22:32:24            58.001                 14.85

29-11-2024 23:02:24            58.501                 14.85
29-11-2024 23:32:24            59.001                 14.86

30-11-2024 00:02:24            59.501                 14.86
30-11-2024 00:32:24            60.001                 14.86
30-11-2024 01:02:24            60.501                 14.86

30-11-2024 01:32:24            61.001                 14.86
30-11-2024 02:02:24            61.501                 14.86

30-11-2024 02:32:24            62.001                 14.86
30-11-2024 03:02:24            62.501                 14.86
30-11-2024 03:32:24            63.001                 14.87

30-11-2024 04:02:24            63.501                 14.86
30-11-2024 04:32:24            64.001                 14.87
30-11-2024 05:02:24            64.501                 14.87

30-11-2024 05:32:24            65.001                 14.87
30-11-2024 06:02:24            65.501                 14.87

30-11-2024 06:32:24            66.001                 14.87
30-11-2024 07:02:24            66.501                 14.87
30-11-2024 07:32:24            67.001                 14.87

30-11-2024 08:02:24            67.501                 14.87
30-11-2024 08:32:24            68.001                 14.87

