
                                              MFCS/win                    Report printed:                2024-12-10 09:25:15
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT27_BDCU_1                    Batch created:            2024-12-03 14:40:18

 Experiment Start:          2024-12-03 14:40:18                 Experiment Stop:          2024-12-06 13:42:03

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 AIRSP_A
                                                       lpm
  Data
                                                      Value


 Date    /  Time                Age

03-12-2024 14:40:19             0.000                 1.000

03-12-2024 14:40:34             0.004                  .375
03-12-2024 15:10:19             0.500                  .375
03-12-2024 15:40:19             1.000                  .375

03-12-2024 16:10:19             1.500                  .375
03-12-2024 16:40:19             2.000                  .375
03-12-2024 17:10:19             2.500                  .375

03-12-2024 17:40:19             3.000                  .375
03-12-2024 18:10:19             3.500                  .375

03-12-2024 18:40:19             4.000                  .375
03-12-2024 18:40:24             4.002                  .375
03-12-2024 18:40:39             4.006                 1.125

03-12-2024 18:41:24             4.018                 1.125
03-12-2024 18:41:39             4.022                   0

03-12-2024 18:42:24             4.035                   0
03-12-2024 18:42:39             4.039                 1.125
03-12-2024 18:43:24             4.052                 1.125

03-12-2024 18:43:39             4.056                   0
03-12-2024 18:44:24             4.068                   0

03-12-2024 18:44:39             4.072                 1.124
03-12-2024 18:45:24             4.085                 1.125
03-12-2024 18:45:39             4.089                   0

03-12-2024 18:46:24             4.102                   0
03-12-2024 18:46:39             4.106                 1.125
03-12-2024 18:47:24             4.118                 1.125

03-12-2024 18:47:39             4.122                   0
03-12-2024 18:48:24             4.135                   0

03-12-2024 18:48:39             4.139                 1.125
03-12-2024 18:49:24             4.152                 1.125
03-12-2024 18:49:39             4.156                   0

03-12-2024 18:50:24             4.168                   0
03-12-2024 18:50:39             4.172                 1.124

03-12-2024 18:51:24             4.185                 1.125
03-12-2024 18:51:39             4.189                   0
03-12-2024 18:52:24             4.202                   0

03-12-2024 18:52:39             4.206                 1.124


03-12-2024 18:53:24             4.218                 1.125
03-12-2024 18:53:39             4.222                   0

03-12-2024 18:54:24             4.235                   0
03-12-2024 18:54:39             4.239                 1.121
03-12-2024 18:55:24             4.252                 1.124

03-12-2024 18:55:39             4.256                   0
03-12-2024 18:56:24             4.268                   0

03-12-2024 18:56:39             4.272                 1.121
03-12-2024 18:57:24             4.285                 1.124
03-12-2024 18:57:39             4.289                   0

03-12-2024 18:58:24             4.302                   0
03-12-2024 18:58:39             4.306                 1.115

03-12-2024 18:59:24             4.318                 1.125
03-12-2024 18:59:39             4.322                   0
03-12-2024 19:00:24             4.335                   0

03-12-2024 19:00:39             4.339                 1.121
03-12-2024 19:01:24             4.352                 1.125
03-12-2024 19:01:39             4.356                   0

03-12-2024 19:02:24             4.368                   0
03-12-2024 19:02:39             4.372                 1.121

03-12-2024 19:03:24             4.385                 1.125
03-12-2024 19:03:39             4.389                  .009
03-12-2024 19:04:24             4.402                   0

03-12-2024 19:04:39             4.406                 1.119
03-12-2024 19:05:39             4.422                 1.125

03-12-2024 19:05:54             4.427                   0
03-12-2024 19:06:39             4.439                   0
03-12-2024 19:06:54             4.443                 1.125

03-12-2024 19:07:39             4.456                 1.125
03-12-2024 19:07:54             4.460                   0

03-12-2024 19:08:39             4.472                   0
03-12-2024 19:08:54             4.477                 1.124
03-12-2024 19:09:39             4.489                 1.125

03-12-2024 19:09:54             4.493                   0
03-12-2024 19:10:19             4.500                   0
03-12-2024 19:10:39             4.506                   0

03-12-2024 19:10:54             4.510                 1.124
03-12-2024 19:11:39             4.522                 1.125

03-12-2024 19:11:54             4.527                   0
03-12-2024 19:12:39             4.539                   0
03-12-2024 19:12:54             4.543                 1.124

03-12-2024 19:13:39             4.556                 1.125
03-12-2024 19:13:54             4.560                   0

03-12-2024 19:14:39             4.572                   0
03-12-2024 19:14:54             4.577                 1.125
03-12-2024 19:15:39             4.589                 1.125

03-12-2024 19:15:54             4.593                   0
03-12-2024 19:16:39             4.606                   0

03-12-2024 19:16:54             4.610                 1.124
03-12-2024 19:17:39             4.622                 1.125
03-12-2024 19:17:54             4.627                   0

03-12-2024 19:18:39             4.639                   0

03-12-2024 19:18:54             4.643                 1.124
03-12-2024 19:19:39             4.656                 1.125

03-12-2024 19:19:54             4.660                   0
03-12-2024 19:20:39             4.672                   0
03-12-2024 19:20:54             4.677                 1.124

03-12-2024 19:21:39             4.689                 1.125
03-12-2024 19:21:54             4.693                   0

03-12-2024 19:22:39             4.706                   0
03-12-2024 19:22:54             4.710                 1.124
03-12-2024 19:23:39             4.722                 1.125

03-12-2024 19:23:54             4.727                   0
03-12-2024 19:24:39             4.739                   0

03-12-2024 19:24:54             4.743                 1.124
03-12-2024 19:25:39             4.756                 1.125
03-12-2024 19:25:54             4.760                   0

03-12-2024 19:26:40             4.773                   0
03-12-2024 19:26:55             4.777                 1.124
03-12-2024 19:27:40             4.789                 1.125

03-12-2024 19:27:55             4.794                   0
03-12-2024 19:28:40             4.806                   0

03-12-2024 19:28:55             4.810                 1.124
03-12-2024 19:29:40             4.823                 1.125
03-12-2024 19:29:55             4.827                   0

03-12-2024 19:30:40             4.839                   0
03-12-2024 19:30:55             4.844                 1.124

03-12-2024 19:31:40             4.856                 1.125
03-12-2024 19:31:55             4.860                   0
03-12-2024 19:32:40             4.873                   0

03-12-2024 19:32:55             4.877                 1.121
03-12-2024 19:33:40             4.889                 1.125

03-12-2024 19:33:55             4.894                   0
03-12-2024 19:34:40             4.906                   0
03-12-2024 19:34:55             4.910                 1.122

03-12-2024 19:35:40             4.923                 1.125
03-12-2024 19:35:55             4.927                   0
03-12-2024 19:36:40             4.939                   0

03-12-2024 19:36:55             4.944                 1.120
03-12-2024 19:37:40             4.956                 1.125

03-12-2024 19:37:55             4.960                   0
03-12-2024 19:38:40             4.973                   0
03-12-2024 19:38:55             4.977                 1.121

03-12-2024 19:39:40             4.989                 1.125
03-12-2024 19:39:55             4.994                   0

03-12-2024 19:40:19             5.000                   0
03-12-2024 19:40:40             5.006                   0
03-12-2024 19:40:55             5.010                 1.121

03-12-2024 19:41:55             5.027                 1.125
03-12-2024 19:42:10             5.031                   0

03-12-2024 19:42:40             5.039                   0
03-12-2024 19:42:55             5.044                 1.121
03-12-2024 19:43:55             5.060                 1.125

03-12-2024 19:44:10             5.064                   0

03-12-2024 19:44:55             5.077                   0
03-12-2024 19:45:10             5.081                 1.124

03-12-2024 19:45:55             5.094                 1.125
03-12-2024 19:46:10             5.098                   0
03-12-2024 19:46:55             5.110                   0

03-12-2024 19:47:10             5.114                 1.124
03-12-2024 19:47:55             5.127                 1.125

