
                                              MFCS/win                    Report printed:                2024-12-10 09:25:32
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT27_BDCU_1                    Batch created:            2024-12-03 14:40:18

 Experiment Start:          2024-12-03 14:40:18                 Experiment Stop:          2024-12-06 13:42:03

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 VWEIGH_D
                                                        kg
  Data
                                                      Value


 Date    /  Time                Age

03-12-2024 14:40:19             0.000                 14.92

03-12-2024 14:45:34             0.088                 14.91
03-12-2024 14:45:49             0.092                 14.63
03-12-2024 14:59:04             0.313                 14.83

03-12-2024 14:59:19             0.317                 14.83
03-12-2024 15:10:19             0.500                 14.84
03-12-2024 15:40:19             1.000                 14.80

03-12-2024 16:10:19             1.500                 14.82
03-12-2024 16:40:19             2.000                 14.81

03-12-2024 17:10:19             2.500                 14.81
03-12-2024 17:18:50             2.642                 14.77
03-12-2024 17:19:05             2.646                 15.66

03-12-2024 17:19:20             2.651                 15.19
03-12-2024 17:40:19             3.000                 15.15

03-12-2024 18:10:19             3.500                 15.10
03-12-2024 18:40:19             4.000                 15.11
03-12-2024 19:10:19             4.500                 15.11

03-12-2024 19:40:19             5.000                 15.11
03-12-2024 20:10:19             5.500                 15.10

03-12-2024 20:40:19             6.000                 15.08
03-12-2024 21:10:19             6.500                 15.11
03-12-2024 21:40:19             7.000                 15.09

03-12-2024 22:10:19             7.500                 15.11
03-12-2024 22:40:19             8.000                 15.12
03-12-2024 23:10:19             8.500                 15.10

03-12-2024 23:40:19             9.000                 15.11
04-12-2024 00:10:19             9.500                 15.11

04-12-2024 00:40:19            10.000                 15.11
04-12-2024 01:10:19            10.500                 15.11
04-12-2024 01:40:19            11.000                 15.11

04-12-2024 02:10:19            11.500                 15.11
04-12-2024 02:40:19            12.000                 15.12

04-12-2024 03:10:19            12.500                 15.11
04-12-2024 03:40:19            13.000                 15.11
04-12-2024 04:10:19            13.500                 15.11

04-12-2024 04:40:19            14.000                 15.10


