
                                              MFCS/win                    Report printed:                2024-12-10 09:25:59
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT27_BDCU_2                    Batch created:            2024-12-03 14:40:45

 Experiment Start:          2024-12-03 14:40:45                 Experiment Stop:          2024-12-06 13:42:12

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  BASET
                                                    ml
  Data
                                                      Value


 Date    /  Time                Age

03-12-2024 14:40:46             0.000                   0

03-12-2024 15:10:46             0.500                   0
03-12-2024 15:40:46             1.000                   0
03-12-2024 16:10:46             1.500                   1

03-12-2024 16:40:46             2.000                   1
03-12-2024 17:10:46             2.500                   1
03-12-2024 17:40:46             3.000                   1

03-12-2024 18:10:46             3.500                   1
03-12-2024 18:40:46             4.000                   1

03-12-2024 19:10:46             4.500                   2
03-12-2024 19:40:46             5.000                   2
03-12-2024 20:10:46             5.500                   3

03-12-2024 20:24:56             5.736                   5
03-12-2024 20:25:11             5.741                   5

03-12-2024 20:40:46             6.000                   5
03-12-2024 21:10:46             6.500                   5
03-12-2024 21:40:46             7.000                   6

03-12-2024 22:10:46             7.500                   6
03-12-2024 22:40:46             8.000                   7

03-12-2024 23:10:46             8.500                   7
03-12-2024 23:40:46             9.000                   8
04-12-2024 00:10:46             9.500                   8

04-12-2024 00:40:46            10.000                   8
04-12-2024 01:10:47            10.501                   9
04-12-2024 01:40:47            11.001                   9

04-12-2024 02:10:47            11.501                   10
04-12-2024 02:40:47            12.001                   10

04-12-2024 03:10:47            12.501                   11
04-12-2024 03:40:47            13.001                   11
04-12-2024 04:10:47            13.501                   11

04-12-2024 04:40:47            14.001                   12
04-12-2024 05:10:47            14.501                   12

04-12-2024 05:40:47            15.001                   13
04-12-2024 06:10:47            15.501                   13
04-12-2024 06:40:47            16.001                   13

04-12-2024 07:10:47            16.501                   14


04-12-2024 07:40:47            17.001                   14
04-12-2024 08:10:47            17.501                   14

04-12-2024 08:40:47            18.001                   14
04-12-2024 09:10:47            18.501                   15
04-12-2024 09:40:47            19.001                   15

04-12-2024 10:10:47            19.501                   15
04-12-2024 10:40:47            20.001                   16

04-12-2024 11:10:47            20.501                   16
04-12-2024 11:40:47            21.001                   16
04-12-2024 12:10:47            21.501                   17

04-12-2024 12:40:47            22.001                   17
04-12-2024 13:10:47            22.501                   17

04-12-2024 13:40:47            23.001                   18
04-12-2024 14:10:47            23.501                   18
04-12-2024 14:40:47            24.001                   18

04-12-2024 15:10:47            24.501                   18
04-12-2024 15:40:47            25.001                   19
04-12-2024 16:10:47            25.501                   19

04-12-2024 16:40:47            26.001                   20
04-12-2024 17:10:47            26.501                   20

04-12-2024 17:40:47            27.001                   20
04-12-2024 18:10:47            27.501                   21
04-12-2024 18:40:47            28.001                   21

04-12-2024 19:10:47            28.501                   21
04-12-2024 19:40:48            29.001                   22

04-12-2024 20:10:48            29.501                   22
04-12-2024 20:40:48            30.001                   22
04-12-2024 21:10:48            30.501                   22

04-12-2024 21:40:48            31.001                   23
04-12-2024 22:10:48            31.501                   23

04-12-2024 22:40:48            32.001                   23
04-12-2024 23:10:48            32.501                   24
