
                                              MFCS/win                    Report printed:                2024-12-10 09:26:01
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT27_BDCU_2                    Batch created:            2024-12-03 14:40:45

 Experiment Start:          2024-12-03 14:40:45                 Experiment Stop:          2024-12-06 13:42:12

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                _BatchAge
                                                      hours
  Data
                                                      Value


 Date    /  Time                Age

03-12-2024 14:40:46             0.000                   0

03-12-2024 15:10:46             0.500                  .50
03-12-2024 15:40:46             1.000                  1.00
03-12-2024 16:10:46             1.500                  1.50

03-12-2024 16:40:46             2.000                  2.00
03-12-2024 17:10:46             2.500                  2.50
03-12-2024 17:40:46             3.000                  3.00

03-12-2024 18:10:46             3.500                  3.50
03-12-2024 18:40:46             4.000                  4.00

03-12-2024 19:10:46             4.500                  4.50
03-12-2024 19:40:46             5.000                  5.00
03-12-2024 20:10:46             5.500                  5.50

03-12-2024 20:40:46             6.000                  6.00
03-12-2024 21:10:46             6.500                  6.50

03-12-2024 21:40:46             7.000                  7.00
03-12-2024 22:10:46             7.500                  7.50
03-12-2024 22:40:46             8.000                  8.00

03-12-2024 23:10:46             8.500                  8.50
03-12-2024 23:40:46             9.000                  9.00

04-12-2024 00:10:46             9.500                  9.50
04-12-2024 00:40:46            10.000                 10.00
04-12-2024 01:10:47            10.501                 10.50

04-12-2024 01:40:47            11.001                 11.00
04-12-2024 02:10:47            11.501                 11.50
04-12-2024 02:40:47            12.001                 12.00

04-12-2024 03:10:47            12.501                 12.50
04-12-2024 03:40:47            13.001                 13.00

04-12-2024 04:10:47            13.501                 13.50
04-12-2024 04:40:47            14.001                 14.00
04-12-2024 05:10:47            14.501                 14.50

04-12-2024 05:40:47            15.001                 15.00
04-12-2024 06:10:47            15.501                 15.50

04-12-2024 06:40:47            16.001                 16.00
04-12-2024 07:10:47            16.501                 16.50
04-12-2024 07:40:47            17.001                 17.00

04-12-2024 08:10:47            17.501                 17.50


04-12-2024 08:40:47            18.001                 18.00
04-12-2024 09:10:47            18.501                 18.50

04-12-2024 09:40:47            19.001                 19.00
04-12-2024 10:10:47            19.501                 19.50
04-12-2024 10:40:47            20.001                 20.00

04-12-2024 11:10:47            20.501                 20.50
04-12-2024 11:40:47            21.001                 21.00

04-12-2024 12:10:47            21.501                 21.50
04-12-2024 12:40:47            22.001                 22.00
04-12-2024 13:10:47            22.501                 22.50

04-12-2024 13:40:47            23.001                 23.00
04-12-2024 14:10:47            23.501                 23.50

04-12-2024 14:40:47            24.001                 24.00
04-12-2024 15:10:47            24.501                 24.50
04-12-2024 15:40:47            25.001                 25.00

04-12-2024 16:10:47            25.501                 25.50
04-12-2024 16:40:47            26.001                 26.00
04-12-2024 17:10:47            26.501                 26.50

04-12-2024 17:40:47            27.001                 27.00
04-12-2024 18:10:47            27.501                 27.50

04-12-2024 18:40:47            28.001                 28.00
04-12-2024 19:10:47            28.501                 28.50
04-12-2024 19:40:48            29.001                 29.00

04-12-2024 20:10:48            29.501                 29.50
04-12-2024 20:40:48            30.001                 30.00

04-12-2024 21:10:48            30.501                 30.50
