Fermenter:;;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;
Sensor:;;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;
Channel:;;CH0-CO2;CH1-O2;Abs_Hum;Rel_Hum;Temperature;Pressure;CH1-NO;Abs_Hum;Rel_Hum;Temperature;Pressure;CH0-CO2;CH1-O2;
Unit:;;Vol %;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;
Id:;;25;26;27;28;29;30;31;19;20;21;22;23;24;
Serial:;;890;890;890;890;890;890;890;883;883;883;883;883;883;
UTC;LocalTime;
2025-01-07 18:25:30;2025-01-07 10:25:30;0.20536;20.71525;1.18467;33.17922;27.18166;1.02586;;1.02697;0.0415;21.00444;1.02697;0.0415;21.00444;
2025-01-07 18:25:35;2025-01-07 10:25:35;0.20536;20.71525;1.18467;33.17922;27.18166;1.02586;;1.02697;0.0415;21.00444;1.02697;0.0415;21.00444;
2025-01-07 18:25:40;2025-01-07 10:25:40;0.20844;20.72006;1.19723;33.62478;27.19501;1.02586;;1.02693;0.04831;20.98689;1.02693;0.04831;20.98689;
2025-01-07 18:25:45;2025-01-07 10:25:45;0.20844;20.72006;1.19723;33.62478;27.19501;1.02586;;1.02693;0.04831;20.98689;1.02693;0.04831;20.98689;
2025-01-07 18:25:50;2025-01-07 10:25:50;0.2136;20.72211;1.21301;34.01694;27.18166;1.02585;;1.02695;0.05522;20.96751;1.02695;0.05522;20.96751;
2025-01-07 18:25:55;2025-01-07 10:25:55;0.2136;20.72211;1.21301;34.01694;27.18166;1.02585;;1.02695;0.05522;20.96751;1.02695;0.05522;20.96751;
2025-01-07 18:26:00;2025-01-07 10:26:00;0.2175;20.72692;1.22496;34.38926;27.18166;1.02585;;1.02699;0.05978;20.95133;1.02699;0.05978;20.95133;
2025-01-07 18:26:05;2025-01-07 10:26:05;0.2175;20.72692;1.22496;34.38926;27.18166;1.02585;;1.02699;0.05978;20.95133;1.02699;0.05978;20.95133;
2025-01-07 18:26:10;2025-01-07 10:26:10;0.2175;20.72692;1.22496;34.38926;27.18166;1.02585;;1.027;0.0655;20.93695;1.027;0.0655;20.93695;
2025-01-07 18:26:15;2025-01-07 10:26:15;0.2175;20.72692;1.22496;34.38926;27.18166;1.02585;;1.027;0.0655;20.93695;1.027;0.0655;20.93695;
2025-01-07 18:26:20;2025-01-07 10:26:20;0.2175;20.72692;1.22496;34.38926;27.18166;1.02585;;1.027;0.07413;20.92799;1.027;0.07413;20.92799;
2025-01-07 18:26:25;2025-01-07 10:26:25;0.2175;20.72692;1.22496;34.38926;27.18166;1.02585;;1.027;0.07413;20.92799;1.027;0.07413;20.92799;
2025-01-07 18:26:30;2025-01-07 10:26:30;0.22791;20.73966;1.26285;35.39178;27.18166;1.02581;;1.00668;29.64981;26.43397;1.02693;0.08124;20.91873;
2025-01-07 18:26:35;2025-01-07 10:26:35;0.22791;20.73966;1.26285;35.39178;27.18166;1.02581;;1.00668;29.64981;26.43397;1.02693;0.08124;20.91873;
2025-01-07 18:26:40;2025-01-07 10:26:40;0.22791;20.73966;1.26285;35.39178;27.18166;1.02581;;1.04894;30.59892;26.43397;1.02687;0.08641;20.90196;
2025-01-07 18:26:45;2025-01-07 10:26:45;0.22791;20.73966;1.26285;35.39178;27.18166;1.02581;;1.04894;30.59892;26.43397;1.02687;0.08641;20.90196;
2025-01-07 18:26:50;2025-01-07 10:26:50;0.23141;20.74642;1.28546;36.02655;27.16564;1.02574;;1.02691;0.0936;20.89464;1.02691;0.0936;20.89464;
2025-01-07 18:26:55;2025-01-07 10:26:55;0.23141;20.74642;1.28546;36.02655;27.16564;1.02574;;1.02691;0.0936;20.89464;1.02691;0.0936;20.89464;
2025-01-07 18:27:00;2025-01-07 10:27:00;0.23287;20.75037;1.30073;36.38819;27.16564;1.02574;;1.02691;0.0936;20.89464;1.02691;0.0936;20.89464;
2025-01-07 18:27:05;2025-01-07 10:27:05;0.23287;20.75037;1.30073;36.38819;27.16564;1.02574;;1.02691;0.0936;20.89464;1.02691;0.0936;20.89464;
2025-01-07 18:27:10;2025-01-07 10:27:10;0.23287;20.75037;1.30073;36.38819;27.16564;1.02574;;1.02696;0.10352;20.86929;1.02696;0.10352;20.86929;
2025-01-07 18:27:15;2025-01-07 10:27:15;0.23287;20.75037;1.30073;36.38819;27.16564;1.02574;;1.02696;0.10352;20.86929;1.02696;0.10352;20.86929;
