
                                              MFCS/win                    Report printed:                2025-02-06 12:49:39
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat29_oscillate                 Batch created:            2025-01-07 10:19:40

 Experiment Start:          2025-01-07 10:19:40                 Experiment Stop:          2025-01-10 16:01:08

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  BASET
                                                    ml
  Data
                                                      Value


 Date    /  Time                Age

07-01-2025 10:19:40             0.000                   0

07-01-2025 10:49:40             0.500                   0
07-01-2025 11:19:40             1.000                   0
07-01-2025 11:49:40             1.500                   0

07-01-2025 12:19:40             2.000                   0
07-01-2025 12:49:40             2.500                   0
07-01-2025 13:19:40             3.000                   0

07-01-2025 13:49:40             3.500                   0
07-01-2025 14:19:40             4.000                   1

07-01-2025 14:49:40             4.500                   1
07-01-2025 15:19:40             5.000                   1
07-01-2025 15:49:40             5.500                   1

07-01-2025 16:19:40             6.000                   1
07-01-2025 16:49:40             6.500                   2

07-01-2025 17:19:40             7.000                   2
07-01-2025 17:49:40             7.500                   2
07-01-2025 18:19:40             8.000                   3

07-01-2025 18:49:40             8.500                   3
07-01-2025 19:19:40             9.000                   4

07-01-2025 19:49:40             9.500                   4
07-01-2025 20:19:40            10.000                   5
07-01-2025 20:49:40            10.500                   5

07-01-2025 21:19:40            11.000                   6
07-01-2025 21:49:40            11.500                   6
07-01-2025 22:19:40            12.000                   7

07-01-2025 22:49:40            12.500                   8
07-01-2025 23:19:40            13.000                   8

07-01-2025 23:49:40            13.500                   9
08-01-2025 00:19:40            14.000                   9
08-01-2025 00:49:40            14.500                   10

08-01-2025 01:19:40            15.000                   10
08-01-2025 01:49:40            15.500                   11

08-01-2025 02:19:40            16.000                   11
08-01-2025 02:49:40            16.500                   11
08-01-2025 03:19:40            17.000                   12

08-01-2025 03:49:40            17.500                   12


08-01-2025 04:19:40            18.000                   12
08-01-2025 04:49:40            18.500                   13

08-01-2025 05:19:40            19.000                   13
08-01-2025 05:49:40            19.500                   14
08-01-2025 06:19:40            20.000                   14

