
                                              MFCS/win                    Report printed:                2025-02-06 12:49:16
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat29_oscillate                 Batch created:            2025-01-07 10:19:40

 Experiment Start:          2025-01-07 10:19:40                 Experiment Stop:          2025-01-10 16:01:08

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                   TEMP
                                                    Degr C
  Data
                                                      Value


 Date    /  Time                Age

07-01-2025 10:19:40             0.000                26.9400

07-01-2025 10:28:55             0.154                26.7450
07-01-2025 10:29:10             0.158                26.7300
07-01-2025 10:36:40             0.283                26.5350

07-01-2025 10:36:55             0.287                26.5200
07-01-2025 10:44:40             0.417                26.3250
07-01-2025 10:44:55             0.421                26.3100

07-01-2025 10:49:40             0.500                26.1900
07-01-2025 10:57:55             0.637                26.3250

07-01-2025 10:58:10             0.642                26.4900
07-01-2025 10:58:25             0.646                26.7000
07-01-2025 10:58:40             0.650                26.9400

07-01-2025 10:58:55             0.654                27.1650
07-01-2025 10:59:10             0.658                27.4200

07-01-2025 10:59:25             0.662                27.6450
07-01-2025 10:59:40             0.667                27.8550
07-01-2025 10:59:55             0.671                28.0350

07-01-2025 11:00:10             0.675                28.1850
07-01-2025 11:00:25             0.679                28.3200

07-01-2025 11:00:40             0.683                28.4250
07-01-2025 11:04:25             0.746                28.2450
07-01-2025 11:04:40             0.750                28.2150

07-01-2025 11:19:40             1.000                28.0950
07-01-2025 11:49:40             1.500                28.0200
07-01-2025 12:19:40             2.000                28.0050

07-01-2025 12:49:40             2.500                28.0050
07-01-2025 13:19:40             3.000                28.0050

07-01-2025 13:49:40             3.500                28.0050
07-01-2025 14:19:40             4.000                28.0050
07-01-2025 14:49:40             4.500                28.0050

07-01-2025 15:19:40             5.000                28.0050
07-01-2025 15:49:40             5.500                28.0050

07-01-2025 16:19:40             6.000                28.0050
07-01-2025 16:49:40             6.500                27.9900
07-01-2025 17:19:40             7.000                27.9900

07-01-2025 17:49:40             7.500                28.0050


07-01-2025 18:19:40             8.000                28.0050
07-01-2025 18:49:40             8.500                28.0050

07-01-2025 19:19:40             9.000                28.0050
07-01-2025 19:49:40             9.500                28.0050
07-01-2025 20:19:40            10.000                28.0050

07-01-2025 20:49:40            10.500                28.0050
07-01-2025 21:19:40            11.000                28.0050

07-01-2025 21:49:40            11.500                28.0050
07-01-2025 22:19:40            12.000                28.0050
07-01-2025 22:49:40            12.500                28.0050

07-01-2025 23:19:40            13.000                28.0050
07-01-2025 23:49:40            13.500                28.0050

08-01-2025 00:19:40            14.000                28.0050
08-01-2025 00:49:40            14.500                28.0050
08-01-2025 01:19:40            15.000                28.0050

08-01-2025 01:49:40            15.500                28.0050
08-01-2025 02:19:40            16.000                28.0050
08-01-2025 02:49:40            16.500                28.0050

08-01-2025 03:19:40            17.000                27.9900
08-01-2025 03:49:40            17.500                28.0050

08-01-2025 04:19:40            18.000                27.9900
08-01-2025 04:49:40            18.500                27.9900
08-01-2025 05:19:40            19.000                28.0050

08-01-2025 05:49:40            19.500                28.0050
08-01-2025 06:19:40            20.000                28.0050

08-01-2025 06:49:40            20.500                28.0050
08-01-2025 07:19:40            21.000                28.0050
08-01-2025 07:49:40            21.500                28.0050

08-01-2025 08:19:40            22.000                27.9900
08-01-2025 08:49:40            22.500                28.0050

08-01-2025 09:19:41            23.000                28.0050
08-01-2025 09:49:41            23.500                27.9900
08-01-2025 10:19:41            24.000                28.0050

08-01-2025 10:49:41            24.500                28.0050
08-01-2025 11:19:41            25.000                28.0050
08-01-2025 11:49:41            25.500                28.0050

08-01-2025 12:19:41            26.000                27.9900
08-01-2025 12:49:41            26.500                28.0050

08-01-2025 13:19:41            27.000                28.0050
08-01-2025 13:49:41            27.500                28.0050
08-01-2025 14:19:41            28.000                28.0050

08-01-2025 14:49:41            28.500                28.0050
08-01-2025 15:19:41            29.000                28.0050

08-01-2025 15:49:41            29.500                27.9900
08-01-2025 16:19:41            30.000                28.0050
08-01-2025 16:49:41            30.500                28.0050

08-01-2025 17:19:41            31.000                28.0050
08-01-2025 17:49:41            31.500                28.0050

08-01-2025 18:19:41            32.000                28.0050
08-01-2025 18:49:41            32.500                28.0050
08-01-2025 19:19:41            33.000                28.0050

08-01-2025 19:49:41            33.500                28.0050

08-01-2025 20:19:41            34.000                28.0050
08-01-2025 20:49:41            34.500                28.0050

08-01-2025 21:19:41            35.000                27.9900
08-01-2025 21:49:41            35.500                28.0050
08-01-2025 22:19:41            36.000                28.0050

08-01-2025 22:49:41            36.500                28.0050
08-01-2025 23:19:41            37.000                27.9900

08-01-2025 23:49:41            37.500                28.0050
09-01-2025 00:19:41            38.000                28.0050
09-01-2025 00:49:41            38.500                28.0050

09-01-2025 01:19:41            39.000                28.0050
09-01-2025 01:49:41            39.500                28.0050

09-01-2025 02:19:41            40.000                28.0050
09-01-2025 02:49:41            40.500                28.0050
09-01-2025 03:19:41            41.000                28.0050

09-01-2025 03:49:41            41.500                28.0050
09-01-2025 04:19:41            42.000                28.0050
09-01-2025 04:49:41            42.500                28.0050

09-01-2025 05:19:41            43.000                28.0050
09-01-2025 05:49:41            43.500                27.9900

09-01-2025 06:19:41            44.000                28.0050
09-01-2025 06:49:41            44.500                28.0050
09-01-2025 07:19:41            45.000                27.9900

09-01-2025 07:49:41            45.500                28.0050
09-01-2025 08:19:41            46.000                28.0050

09-01-2025 08:49:41            46.500                28.0050
09-01-2025 09:19:41            47.000                28.0050
09-01-2025 09:49:41            47.500                28.0050

09-01-2025 09:58:31            47.647                28.0050
09-01-2025 09:58:39            47.650   179769313486232000000000000000000   INVAL/OFF

09-01-2025 09:59:49            47.669                28.0050
09-01-2025 10:22:08            48.041                28.0050
09-01-2025 10:22:15            48.043   179769313486232000000000000000000   INVAL/OFF

09-01-2025 10:23:25            48.062                28.0050
09-01-2025 10:53:10            48.558                28.0050
09-01-2025 11:23:10            49.058                28.0050

09-01-2025 11:53:10            49.558                27.9900
09-01-2025 12:23:10            50.058                28.0050

09-01-2025 12:53:10            50.558                28.0050
09-01-2025 13:23:10            51.058                28.0050
09-01-2025 13:53:10            51.558                28.0050

09-01-2025 14:23:10            52.058                28.0050
09-01-2025 14:53:10            52.558                28.0050

09-01-2025 15:23:10            53.058                28.0050
09-01-2025 15:53:10            53.558                28.0050
09-01-2025 16:23:10            54.058                28.0050

09-01-2025 16:53:10            54.558                28.0050
09-01-2025 17:23:10            55.058                27.9900

09-01-2025 17:53:10            55.558                28.0050
09-01-2025 18:23:10            56.058                28.0050
09-01-2025 18:53:10            56.558                28.0050

09-01-2025 19:23:10            57.058                27.9900

09-01-2025 19:53:10            57.558                27.9900
09-01-2025 20:23:10            58.058                28.0050

09-01-2025 20:53:10            58.558                28.0050
09-01-2025 21:23:10            59.058                28.0050
09-01-2025 21:53:10            59.558                28.0050

09-01-2025 22:23:10            60.058                28.0050
09-01-2025 22:53:10            60.558                28.0050

09-01-2025 23:23:10            61.058                28.0050
09-01-2025 23:53:10            61.558                28.0050
10-01-2025 00:23:11            62.059                28.0050

10-01-2025 00:53:11            62.559                27.9900
10-01-2025 01:23:11            63.059                28.0050

10-01-2025 01:53:11            63.559                28.0050
10-01-2025 02:23:11            64.059                28.0050
10-01-2025 02:53:11            64.559                28.0050

10-01-2025 03:23:11            65.059                28.0050
10-01-2025 03:53:11            65.559                28.0050
10-01-2025 04:23:11            66.059                28.0050

10-01-2025 04:53:11            66.559                27.9900
10-01-2025 05:23:11            67.059                28.0050

10-01-2025 05:53:11            67.559                28.0050
10-01-2025 06:23:11            68.059                28.0050
10-01-2025 06:53:11            68.559                28.0050

10-01-2025 07:23:11            69.059                28.0050
10-01-2025 07:53:11            69.559                28.0050

10-01-2025 08:23:11            70.059                28.0050
10-01-2025 08:53:11            70.559                28.0050
10-01-2025 09:23:11            71.059                28.0050

10-01-2025 09:53:11            71.559                28.0050
10-01-2025 10:23:11            72.059                28.0050

10-01-2025 10:53:11            72.559                28.0050
10-01-2025 11:23:11            73.059                28.0050
10-01-2025 11:53:11            73.559                28.0050

10-01-2025 12:23:11            74.059                27.9900
10-01-2025 12:53:11            74.559                27.9900
10-01-2025 13:23:11            75.059                27.9900

10-01-2025 13:53:11            75.559                28.0050
10-01-2025 14:23:11            76.059                28.0050

10-01-2025 14:53:11            76.559                28.0050
10-01-2025 15:23:11            77.059                28.0050
10-01-2025 15:53:11            77.559                28.0050

10-01-2025 16:01:07            77.691                28.0050
