
                                              MFCS/win                    Report printed:                2025-02-06 12:49:22
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat29_oscillate                 Batch created:            2025-01-07 10:19:40

 Experiment Start:          2025-01-07 10:19:40                 Experiment Stop:          2025-01-10 16:01:08

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 AIRSP_A
                                                       lpm
  Data
                                                     Setpoint


 Date    /  Time                Age

07-01-2025 10:19:40             0.000                 1.000

07-01-2025 10:19:55             0.004                  .375
07-01-2025 10:49:40             0.500                  .375
07-01-2025 11:19:40             1.000                  .375

07-01-2025 11:49:40             1.500                  .375
07-01-2025 12:19:40             2.000                  .375
07-01-2025 12:49:40             2.500                  .375

07-01-2025 13:19:40             3.000                  .375
07-01-2025 13:49:40             3.500                  .375

07-01-2025 14:19:40             4.000                  .375
07-01-2025 14:19:47             4.002                  .375
07-01-2025 14:20:02             4.006                 1.125

07-01-2025 14:20:47             4.019                 1.125
07-01-2025 14:21:02             4.023                   0

07-01-2025 14:21:47             4.035                   0
07-01-2025 14:22:02             4.039                 1.125
07-01-2025 14:22:47             4.052                 1.125

07-01-2025 14:23:02             4.056                   0
07-01-2025 14:23:47             4.069                   0

07-01-2025 14:24:02             4.073                 1.125
07-01-2025 14:24:47             4.085                 1.125
07-01-2025 14:25:02             4.089                   0

07-01-2025 14:25:47             4.102                   0
07-01-2025 14:26:02             4.106                 1.125
07-01-2025 14:26:47             4.119                 1.125

07-01-2025 14:27:02             4.123                   0
07-01-2025 14:27:47             4.135                   0

07-01-2025 14:28:02             4.139                 1.125
07-01-2025 14:28:47             4.152                 1.125
07-01-2025 14:29:02             4.156                   0

07-01-2025 14:29:47             4.169                   0
07-01-2025 14:30:02             4.173                 1.125

07-01-2025 14:30:47             4.185                 1.125
07-01-2025 14:31:02             4.189                   0
07-01-2025 14:31:47             4.202                   0

07-01-2025 14:32:02             4.206                 1.125


07-01-2025 14:32:47             4.219                 1.125
07-01-2025 14:33:02             4.223                   0

07-01-2025 14:33:47             4.235                   0
07-01-2025 14:34:02             4.239                 1.125
07-01-2025 14:34:47             4.252                 1.125

07-01-2025 14:35:02             4.256                   0
07-01-2025 14:35:47             4.269                   0

07-01-2025 14:36:02             4.273                 1.125
07-01-2025 14:36:47             4.285                 1.125
07-01-2025 14:37:02             4.289                   0

07-01-2025 14:37:47             4.302                   0
07-01-2025 14:38:02             4.306                 1.125

07-01-2025 14:38:47             4.319                 1.125
07-01-2025 14:39:02             4.323                   0
07-01-2025 14:39:47             4.335                   0

07-01-2025 14:40:02             4.339                 1.125
07-01-2025 14:40:47             4.352                 1.125
07-01-2025 14:41:02             4.356                   0

07-01-2025 14:41:47             4.369                   0
07-01-2025 14:42:02             4.373                 1.125

07-01-2025 14:43:02             4.389                 1.125
07-01-2025 14:43:17             4.394                   0
07-01-2025 14:43:47             4.402                   0

07-01-2025 14:44:02             4.406                 1.125
07-01-2025 14:45:02             4.423                 1.125

07-01-2025 14:45:18             4.427                   0
07-01-2025 14:46:03             4.440                   0
07-01-2025 14:46:18             4.444                 1.125

07-01-2025 14:46:48             4.452                 1.125
07-01-2025 14:47:03             4.456                   0

07-01-2025 14:48:03             4.473                   0
07-01-2025 14:48:18             4.477                 1.125
07-01-2025 14:49:03             4.490                 1.125

07-01-2025 14:49:18             4.494                   0
07-01-2025 14:49:40             4.500                   0
07-01-2025 14:49:48             4.502                   0

07-01-2025 14:50:03             4.506                 1.125
07-01-2025 14:51:03             4.523                 1.125

07-01-2025 14:51:18             4.527                   0
07-01-2025 14:52:03             4.540                   0
07-01-2025 14:52:18             4.544                 1.125

07-01-2025 14:53:03             4.556                 1.125
07-01-2025 14:53:18             4.561                   0

07-01-2025 14:54:03             4.573                   0
07-01-2025 14:54:18             4.577                 1.125
07-01-2025 14:55:03             4.590                 1.125

07-01-2025 14:55:18             4.594                   0
07-01-2025 14:56:03             4.606                   0

07-01-2025 14:56:18             4.611                 1.125
07-01-2025 14:57:03             4.623                 1.125
07-01-2025 14:57:18             4.627                   0

07-01-2025 14:58:03             4.640                   0

07-01-2025 14:58:18             4.644                 1.125
07-01-2025 14:59:03             4.656                 1.125

07-01-2025 14:59:18             4.661                   0
07-01-2025 15:00:03             4.673                   0
07-01-2025 15:00:18             4.677                 1.125

07-01-2025 15:01:03             4.690                 1.125
07-01-2025 15:01:18             4.694                   0

07-01-2025 15:02:03             4.706                   0
07-01-2025 15:02:18             4.711                 1.125
07-01-2025 15:03:03             4.723                 1.125

07-01-2025 15:03:18             4.727                   0
07-01-2025 15:04:03             4.740                   0

07-01-2025 15:04:18             4.744                 1.125
07-01-2025 15:05:03             4.756                 1.125
07-01-2025 15:05:18             4.761                   0

