
                                              MFCS/win                    Report printed:                2025-02-06 12:49:37
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat29_oscillate                 Batch created:            2025-01-07 10:19:40

 Experiment Start:          2025-01-07 10:19:40                 Experiment Stop:          2025-01-10 16:01:08

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 BASESUB
                                                        %
  Data
                                                      Value


 Date    /  Time                Age

07-01-2025 10:19:40             0.000                   0

07-01-2025 10:49:40             0.500                   0
07-01-2025 11:19:40             1.000                   0
07-01-2025 11:49:40             1.500                   0

07-01-2025 12:19:40             2.000                   0
07-01-2025 12:49:40             2.500                   0
07-01-2025 13:19:40             3.000                   0

07-01-2025 13:49:40             3.500                   0
07-01-2025 14:19:40             4.000                   0

07-01-2025 14:49:40             4.500                   0
07-01-2025 15:19:40             5.000                   0
07-01-2025 15:49:40             5.500                   0

07-01-2025 16:19:40             6.000                   0
07-01-2025 16:49:40             6.500                   0

07-01-2025 17:19:40             7.000                   0
07-01-2025 17:49:40             7.500                   0
07-01-2025 18:19:40             8.000                   0

07-01-2025 18:49:40             8.500                   0
07-01-2025 19:19:40             9.000                   0

07-01-2025 19:49:40             9.500                   .3
07-01-2025 20:19:40            10.000                   0
07-01-2025 20:48:12            10.476                   .7

07-01-2025 20:48:27            10.480                  1.0
07-01-2025 20:48:42            10.484                   0
07-01-2025 20:49:40            10.500                   0

07-01-2025 21:19:40            11.000                   0
07-01-2025 21:49:40            11.500                   0

07-01-2025 22:19:40            12.000                   0
07-01-2025 22:20:44            12.018                   .9
07-01-2025 22:20:59            12.022                  1.3

07-01-2025 22:21:14            12.026                   0
07-01-2025 22:49:40            12.500                   0

07-01-2025 23:19:40            13.000                   0
07-01-2025 23:45:01            13.422                   .5
07-01-2025 23:45:16            13.427                  1.0

07-01-2025 23:45:31            13.431                   0


07-01-2025 23:49:40            13.500                   0
07-01-2025 23:57:31            13.631                   .8

07-01-2025 23:57:46            13.635                  1.0
07-01-2025 23:58:01            13.639                   0
08-01-2025 00:19:40            14.000                   .4

08-01-2025 00:49:40            14.500                   0
08-01-2025 01:19:40            15.000                   0

08-01-2025 01:26:02            15.106                   .7
08-01-2025 01:26:17            15.110                  1.1
08-01-2025 01:26:32            15.114                   0

08-01-2025 01:49:40            15.500                   0
08-01-2025 02:18:32            15.981                   .7

08-01-2025 02:18:47            15.985                  1.1
08-01-2025 02:19:02            15.989                   0
08-01-2025 02:19:40            16.000                   0

08-01-2025 02:30:32            16.181                   .8
08-01-2025 02:30:47            16.185                  1.2
08-01-2025 02:31:02            16.189                   0

08-01-2025 02:49:40            16.500                   0
