
                                              MFCS/win                    Report printed:                2025-02-06 12:52:04
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_30_control                Batch created:            2025-01-14 10:12:06

 Experiment Start:          2025-01-14 10:12:06                 Experiment Stop:          2025-01-17 10:11:02

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                     Setpoint


 Date    /  Time                Age

14-01-2025 10:12:06             0.000                  400

14-01-2025 10:42:06             0.500                  400
14-01-2025 11:12:06             1.000                  400
14-01-2025 11:42:06             1.500                  400

14-01-2025 12:12:06             2.000                  400
14-01-2025 12:42:06             2.500                  400
14-01-2025 13:12:06             3.000                  400

14-01-2025 13:19:25             3.122                  402
14-01-2025 13:19:40             3.126                  403

14-01-2025 13:19:55             3.130                  405
14-01-2025 13:20:10             3.134                  407
14-01-2025 13:20:25             3.139                  409

14-01-2025 13:20:40             3.143                  412
14-01-2025 13:20:55             3.147                  414

14-01-2025 13:21:10             3.151                  415
14-01-2025 13:21:40             3.159                  418
14-01-2025 13:21:55             3.164                  419

14-01-2025 13:25:25             3.222                  417
14-01-2025 13:25:40             3.226                  416

14-01-2025 13:27:25             3.255                  418
14-01-2025 13:27:40             3.259                  419
14-01-2025 13:34:10             3.368                  422

14-01-2025 13:34:25             3.372                  422
14-01-2025 13:40:10             3.468                  420
14-01-2025 13:40:25             3.472                  419

14-01-2025 13:42:06             3.500                  419
14-01-2025 13:47:25             3.589                  416

14-01-2025 13:47:40             3.593                  416
14-01-2025 13:54:10             3.701                  418
14-01-2025 13:54:25             3.705                  419

14-01-2025 13:56:40             3.743                  417
14-01-2025 13:56:55             3.747                  416

14-01-2025 14:00:10             3.801                  414
14-01-2025 14:00:25             3.805                  413
14-01-2025 14:01:25             3.822                  416

14-01-2025 14:01:40             3.826                  417


14-01-2025 14:12:06             4.000                  418
14-01-2025 14:15:56             4.064                  416

14-01-2025 14:16:11             4.068                  414
14-01-2025 14:16:41             4.076                  411
14-01-2025 14:16:56             4.081                  410

14-01-2025 14:17:11             4.085                  408
14-01-2025 14:17:26             4.089                  407

14-01-2025 14:17:56             4.097                  405
14-01-2025 14:18:11             4.101                  404
14-01-2025 14:19:41             4.126                  406

14-01-2025 14:19:56             4.131                  407
14-01-2025 14:23:56             4.197                  410

14-01-2025 14:24:11             4.201                  410
14-01-2025 14:26:56             4.247                  408
14-01-2025 14:27:11             4.251                  407

14-01-2025 14:37:12             4.418                  405
14-01-2025 14:37:27             4.423                  404
14-01-2025 14:42:06             4.500                  404

14-01-2025 14:47:43             4.594                  407
14-01-2025 14:47:58             4.598                  407

14-01-2025 14:51:43             4.660                  405
14-01-2025 14:51:58             4.664                  404
14-01-2025 14:55:43             4.727                  407

14-01-2025 14:55:58             4.731                  408
14-01-2025 15:03:43             4.860                  410

14-01-2025 15:03:58             4.864                  411
14-01-2025 15:12:06             5.000                  411
14-01-2025 15:12:43             5.010                  413

14-01-2025 15:12:58             5.014                  414
14-01-2025 15:20:43             5.144                  417

14-01-2025 15:20:58             5.148                  417
14-01-2025 15:30:13             5.302                  418
14-01-2025 15:30:28             5.306                  420

14-01-2025 15:37:13             5.419                  418
14-01-2025 15:37:28             5.423                  417
14-01-2025 15:41:14             5.486                  419

14-01-2025 15:41:29             5.490                  421
14-01-2025 15:42:06             5.500                  422

14-01-2025 15:52:59             5.681                  424
14-01-2025 15:53:14             5.686                  425
14-01-2025 15:58:15             5.769                  427

14-01-2025 15:58:30             5.773                  428
14-01-2025 16:06:30             5.907                  431

14-01-2025 16:06:45             5.911                  431
14-01-2025 16:12:00             5.998                  433
14-01-2025 16:12:06             6.000                  434

14-01-2025 16:22:45             6.178                  437
14-01-2025 16:23:00             6.182                  438

14-01-2025 16:27:30             6.257                  440
14-01-2025 16:27:45             6.261                  442
14-01-2025 16:29:30             6.290                  439

