
                                              MFCS/win                    Report printed:                2025-02-06 12:52:06
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_30_control                Batch created:            2025-01-14 10:12:06

 Experiment Start:          2025-01-14 10:12:06                 Experiment Stop:          2025-01-17 10:11:02

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                _BatchAge
                                                      hours
  Data
                                                      Value


 Date    /  Time                Age

14-01-2025 10:12:06             0.000                   0

14-01-2025 10:42:06             0.500                  .50
14-01-2025 11:12:06             1.000                  1.00
14-01-2025 11:42:06             1.500                  1.50

14-01-2025 12:12:06             2.000                  2.00
14-01-2025 12:42:06             2.500                  2.50
14-01-2025 13:12:06             3.000                  3.00

14-01-2025 13:42:06             3.500                  3.50
14-01-2025 14:12:06             4.000                  4.00

14-01-2025 14:42:06             4.500                  4.50
14-01-2025 15:12:06             5.000                  5.00
14-01-2025 15:42:06             5.500                  5.50

14-01-2025 16:12:06             6.000                  6.00
14-01-2025 16:42:06             6.500                  6.50

14-01-2025 17:12:06             7.000                  7.00
14-01-2025 17:42:06             7.500                  7.50
14-01-2025 18:12:06             8.000                  8.00

14-01-2025 18:42:06             8.500                  8.50
14-01-2025 19:12:06             9.000                  9.00

14-01-2025 19:42:06             9.500                  9.50
14-01-2025 20:12:06            10.000                 10.00
14-01-2025 20:42:06            10.500                 10.50

14-01-2025 21:12:06            11.000                 11.00
14-01-2025 21:42:06            11.500                 11.50
14-01-2025 22:12:06            12.000                 12.00

14-01-2025 22:42:06            12.500                 12.50
14-01-2025 23:12:06            13.000                 13.00

14-01-2025 23:42:06            13.500                 13.50
15-01-2025 00:12:06            14.000                 14.00
15-01-2025 00:42:06            14.500                 14.50

15-01-2025 01:12:06            15.000                 15.00
15-01-2025 01:42:06            15.500                 15.50

15-01-2025 02:12:06            16.000                 16.00
15-01-2025 02:42:06            16.500                 16.50
15-01-2025 03:12:06            17.000                 17.00

15-01-2025 03:42:06            17.500                 17.50


15-01-2025 04:12:06            18.000                 18.00
15-01-2025 04:42:06            18.500                 18.50

15-01-2025 05:12:06            19.000                 19.00
15-01-2025 05:42:06            19.500                 19.50
15-01-2025 06:12:06            20.000                 20.00

15-01-2025 06:42:06            20.500                 20.50
15-01-2025 07:12:06            21.000                 21.00

15-01-2025 07:42:06            21.500                 21.50
15-01-2025 08:12:06            22.000                 22.00
15-01-2025 08:42:06            22.500                 22.50

15-01-2025 09:12:06            23.000                 23.00
15-01-2025 09:42:06            23.500                 23.50

15-01-2025 10:12:06            24.000                 24.00
15-01-2025 10:42:06            24.500                 24.50
15-01-2025 11:12:06            25.000                 25.00

15-01-2025 11:42:06            25.500                 25.50
15-01-2025 12:12:06            26.000                 26.00
15-01-2025 12:21:23            26.155                 26.15

15-01-2025 12:24:17            26.203                 26.20
15-01-2025 12:35:53            26.396                 26.40

15-01-2025 13:05:38            26.892                 26.89
15-01-2025 13:35:38            27.392                 27.39
15-01-2025 14:05:38            27.892                 27.89

15-01-2025 14:35:38            28.392                 28.39
15-01-2025 15:05:38            28.892                 28.89

15-01-2025 15:35:38            29.392                 29.39
15-01-2025 16:05:38            29.892                 29.89
15-01-2025 16:35:38            30.392                 30.39

15-01-2025 17:05:38            30.892                 30.89
15-01-2025 17:35:38            31.392                 31.39

15-01-2025 18:05:38            31.892                 31.89
15-01-2025 18:35:38            32.392                 32.39
15-01-2025 19:05:38            32.892                 32.89

15-01-2025 19:35:38            33.392                 33.39
15-01-2025 20:05:38            33.892                 33.89
15-01-2025 20:35:38            34.392                 34.39

15-01-2025 21:05:38            34.892                 34.89
15-01-2025 21:35:38            35.392                 35.39

15-01-2025 22:05:38            35.892                 35.89
15-01-2025 22:35:38            36.392                 36.39
15-01-2025 23:05:38            36.892                 36.89

15-01-2025 23:35:38            37.392                 37.39
16-01-2025 00:05:38            37.892                 37.89

16-01-2025 00:35:38            38.392                 38.39
16-01-2025 01:05:38            38.892                 38.89
16-01-2025 01:35:38            39.392                 39.39

16-01-2025 02:05:39            39.893                 39.89
16-01-2025 02:35:39            40.393                 40.39

16-01-2025 03:05:39            40.893                 40.89
16-01-2025 03:35:39            41.393                 41.39
16-01-2025 04:05:39            41.893                 41.89

16-01-2025 04:35:39            42.393                 42.39

16-01-2025 05:05:39            42.893                 42.89
16-01-2025 05:35:39            43.393                 43.39

16-01-2025 06:05:39            43.893                 43.89
16-01-2025 06:35:39            44.393                 44.39
16-01-2025 07:05:39            44.893                 44.89

16-01-2025 07:35:39            45.393                 45.39
16-01-2025 07:47:22            45.588                 45.59

16-01-2025 07:56:17            45.736                 45.74
16-01-2025 08:26:02            46.232                 46.23
16-01-2025 08:56:02            46.732                 46.73

16-01-2025 09:26:02            47.232                 47.23
16-01-2025 09:53:10            47.684                 47.68

16-01-2025 10:22:55            48.180                 48.18
16-01-2025 10:29:37            48.292                 48.29
16-01-2025 10:59:22            48.788                 48.79

16-01-2025 11:29:22            49.288                 49.29
16-01-2025 11:59:20            49.787                 49.79
16-01-2025 12:29:05            50.283                 50.28

16-01-2025 12:59:05            50.783                 50.78
16-01-2025 13:29:06            51.283                 51.28

16-01-2025 13:59:06            51.783                 51.78
16-01-2025 14:29:06            52.283                 52.28
16-01-2025 14:59:06            52.783                 52.78

16-01-2025 15:29:06            53.283                 53.28
16-01-2025 15:59:06            53.783                 53.78

16-01-2025 16:29:06            54.283                 54.28
16-01-2025 16:59:06            54.783                 54.78
16-01-2025 17:29:06            55.283                 55.28

16-01-2025 17:59:06            55.783                 55.78
16-01-2025 18:29:06            56.283                 56.28

16-01-2025 18:59:06            56.783                 56.78
16-01-2025 19:29:06            57.283                 57.28
16-01-2025 19:59:06            57.783                 57.78

16-01-2025 20:29:06            58.283                 58.28
16-01-2025 20:59:06            58.783                 58.78
16-01-2025 21:29:06            59.283                 59.28

16-01-2025 21:59:06            59.783                 59.78
16-01-2025 22:29:06            60.283                 60.28

16-01-2025 22:59:06            60.783                 60.78
16-01-2025 23:29:06            61.283                 61.28
16-01-2025 23:59:06            61.783                 61.78

17-01-2025 00:29:06            62.283                 62.28
17-01-2025 00:59:06            62.783                 62.78

17-01-2025 01:29:06            63.283                 63.28
17-01-2025 01:59:06            63.783                 63.78
17-01-2025 02:29:06            64.283                 64.28

17-01-2025 02:59:06            64.783                 64.78
17-01-2025 03:29:06            65.283                 65.28

17-01-2025 03:59:06            65.783                 65.78
17-01-2025 04:29:06            66.283                 66.28
17-01-2025 04:59:06            66.783                 66.78

