
                                              MFCS/win                    Report printed:                2025-02-06 12:51:58
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_30_control                Batch created:            2025-01-14 10:12:06

 Experiment Start:          2025-01-14 10:12:06                 Experiment Stop:          2025-01-17 10:11:02

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                   pH_A
                                                    pH
  Data
                                                      Value


 Date    /  Time                Age

14-01-2025 10:12:06             0.000                  5.65

14-01-2025 10:42:06             0.500                  5.56
14-01-2025 11:12:06             1.000                  5.56
14-01-2025 11:42:06             1.500                  5.56

14-01-2025 12:12:06             2.000                  5.64
14-01-2025 12:42:06             2.500                  5.57
14-01-2025 13:12:06             3.000                  5.59

14-01-2025 13:42:06             3.500                  5.59
14-01-2025 14:12:06             4.000                  5.56

14-01-2025 14:42:06             4.500                  5.58
14-01-2025 15:12:06             5.000                  5.61
14-01-2025 15:42:06             5.500                  5.58

14-01-2025 16:12:06             6.000                  5.63
14-01-2025 16:18:45             6.111                  5.54

14-01-2025 16:19:00             6.115                  5.53
14-01-2025 16:19:15             6.119                  5.53
14-01-2025 16:19:30             6.123                  5.64

14-01-2025 16:26:00             6.232                  5.54
14-01-2025 16:26:15             6.236                  5.54

14-01-2025 16:42:06             6.500                  5.57
14-01-2025 17:12:06             7.000                  5.53
14-01-2025 17:28:46             7.278                  5.52

14-01-2025 17:29:01             7.282                  5.65
14-01-2025 17:33:46             7.361                  5.55
14-01-2025 17:34:01             7.365                  5.55

14-01-2025 17:42:06             7.500                  5.60
14-01-2025 18:12:06             8.000                  5.54

14-01-2025 18:42:06             8.500                  5.54
14-01-2025 19:12:06             9.000                  5.55
14-01-2025 19:15:17             9.053                  5.52

14-01-2025 19:15:32             9.057                  5.65
14-01-2025 19:18:49             9.112                  5.56

14-01-2025 19:19:04             9.116                  5.55
14-01-2025 19:42:06             9.500                  5.59
14-01-2025 20:12:06            10.000                  5.53

14-01-2025 20:42:06            10.500                  5.55


14-01-2025 21:12:06            11.000                  5.61
14-01-2025 21:31:22            11.321                  5.51

14-01-2025 21:31:37            11.325                  5.50
14-01-2025 21:31:52            11.329                  5.62
14-01-2025 21:34:23            11.371                  5.53

14-01-2025 21:34:38            11.376                  5.51
14-01-2025 21:34:53            11.380                  5.63

14-01-2025 21:37:23            11.421                  5.54
14-01-2025 21:37:38            11.426                  5.53
14-01-2025 21:41:23            11.488                  5.51

14-01-2025 21:41:38            11.492                  5.64
14-01-2025 21:42:06            11.500                  5.62

14-01-2025 21:44:38            11.542                  5.52
