
                                              MFCS/win                    Report printed:                2025-02-06 12:52:00
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_30_control                Batch created:            2025-01-14 10:12:06

 Experiment Start:          2025-01-14 10:12:06                 Experiment Stop:          2025-01-17 10:11:02

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 BASESUB
                                                        %
  Data
                                                      Value


 Date    /  Time                Age

14-01-2025 10:12:06             0.000                   0

14-01-2025 10:42:06             0.500                   0
14-01-2025 11:12:06             1.000                   0
14-01-2025 11:42:06             1.500                   0

14-01-2025 12:12:06             2.000                   0
14-01-2025 12:42:06             2.500                   0
14-01-2025 13:12:06             3.000                   0

14-01-2025 13:42:06             3.500                   0
14-01-2025 14:12:06             4.000                   0

14-01-2025 14:42:06             4.500                   0
14-01-2025 15:12:06             5.000                   0
14-01-2025 15:42:06             5.500                   0

14-01-2025 16:12:06             6.000                   0
14-01-2025 16:42:06             6.500                   0

14-01-2025 17:12:06             7.000                   .4
14-01-2025 17:42:06             7.500                   0
14-01-2025 18:12:06             8.000                   .2

14-01-2025 18:42:06             8.500                   .2
14-01-2025 19:12:06             9.000                   .1

14-01-2025 19:26:04             9.233                   .8
14-01-2025 19:26:19             9.237                  1.1
14-01-2025 19:26:34             9.241                   0

14-01-2025 19:42:06             9.500                   0
14-01-2025 19:50:50             9.646                  1.0
14-01-2025 19:51:05             9.650                  1.3

14-01-2025 19:51:20             9.654                   0
14-01-2025 20:12:06            10.000                   .3

14-01-2025 20:42:06            10.500                   0
14-01-2025 20:43:05            10.516                   .9
14-01-2025 20:43:20            10.521                  1.2

14-01-2025 20:43:35            10.525                   0
14-01-2025 20:48:51            10.613                  1.0

14-01-2025 20:49:06            10.617                  1.3
14-01-2025 20:49:21            10.621                   0
14-01-2025 20:57:36            10.758                   .7

14-01-2025 20:57:51            10.763                  1.0


14-01-2025 20:58:06            10.767                  1.4
14-01-2025 20:58:21            10.771                   0

14-01-2025 21:07:36            10.925                   .8
14-01-2025 21:07:51            10.929                  1.1
14-01-2025 21:08:06            10.933                   0

14-01-2025 21:10:51            10.979                   .9
14-01-2025 21:11:06            10.983                  1.2

14-01-2025 21:11:21            10.988                   0
14-01-2025 21:12:06            11.000                   0
14-01-2025 21:17:36            11.092                   .7

14-01-2025 21:17:51            11.096                  1.0
14-01-2025 21:18:06            11.100                   0

14-01-2025 21:31:22            11.321                  1.0
14-01-2025 21:31:37            11.325                  1.4
14-01-2025 21:31:52            11.329                   0

14-01-2025 21:37:53            11.430                   .8
14-01-2025 21:38:08            11.434                  1.2
14-01-2025 21:38:23            11.438                   0

