
                                              MFCS/win                    Report printed:                2025-02-06 12:52:01
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_30_control                Batch created:            2025-01-14 10:12:06

 Experiment Start:          2025-01-14 10:12:06                 Experiment Stop:          2025-01-17 10:11:02

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 VWEIGH_D
                                                        kg
  Data
                                                      Value


 Date    /  Time                Age

14-01-2025 10:12:06             0.000                 14.57

14-01-2025 10:12:21             0.004                 14.48
14-01-2025 10:12:36             0.008                 15.98
14-01-2025 10:12:51             0.013                 14.80

14-01-2025 10:14:21             0.038                 14.63
14-01-2025 10:14:36             0.042                 17.51
14-01-2025 10:14:51             0.046                 14.87

14-01-2025 10:17:21             0.088                 14.78
14-01-2025 10:17:36             0.092                 14.62

14-01-2025 10:18:06             0.100                 14.56
14-01-2025 10:18:21             0.104                 15.24
14-01-2025 10:19:06             0.117                 15.05

14-01-2025 10:19:21             0.121                 14.80
14-01-2025 10:19:37             0.125                 14.81

14-01-2025 10:19:52             0.129                 16.91
14-01-2025 10:20:07             0.134                 13.22
14-01-2025 10:20:22             0.138                 15.50

14-01-2025 10:20:37             0.142                 17.30
14-01-2025 10:20:52             0.146                 15.12

14-01-2025 10:21:07             0.150                 15.41
14-01-2025 10:21:22             0.154                 16.90
14-01-2025 10:21:37             0.159                 15.08

14-01-2025 10:31:23             0.321                 15.00
14-01-2025 10:31:38             0.326                 14.72
14-01-2025 10:42:06             0.500                 14.69

14-01-2025 11:12:06             1.000                 14.69
14-01-2025 11:42:06             1.500                 14.66

14-01-2025 12:12:06             2.000                 14.66
14-01-2025 12:42:06             2.500                 14.65
14-01-2025 13:12:06             3.000                 14.65

14-01-2025 13:42:06             3.500                 14.54
14-01-2025 14:12:06             4.000                 14.59

14-01-2025 14:42:06             4.500                 14.60
14-01-2025 15:12:06             5.000                 14.65
14-01-2025 15:42:06             5.500                 14.57

14-01-2025 16:12:06             6.000                 14.63


14-01-2025 16:42:06             6.500                 14.56
14-01-2025 17:12:06             7.000                 14.59

14-01-2025 17:42:06             7.500                 14.60
14-01-2025 18:12:06             8.000                 14.60
14-01-2025 18:42:06             8.500                 14.62

14-01-2025 19:12:06             9.000                 14.62
14-01-2025 19:42:06             9.500                 14.63

14-01-2025 20:12:06            10.000                 14.63
14-01-2025 20:42:06            10.500                 14.63
14-01-2025 21:12:06            11.000                 14.64

14-01-2025 21:42:06            11.500                 14.65
14-01-2025 22:12:06            12.000                 14.65

14-01-2025 22:42:06            12.500                 14.65
14-01-2025 23:12:06            13.000                 14.65
14-01-2025 23:42:06            13.500                 14.65

15-01-2025 00:12:06            14.000                 14.65
15-01-2025 00:42:06            14.500                 14.65
15-01-2025 01:12:06            15.000                 14.65

15-01-2025 01:42:06            15.500                 14.66
15-01-2025 02:12:06            16.000                 14.66

15-01-2025 02:42:06            16.500                 14.65
15-01-2025 03:12:06            17.000                 14.66
15-01-2025 03:42:06            17.500                 14.65

15-01-2025 04:12:06            18.000                 14.65
15-01-2025 04:42:06            18.500                 14.66

15-01-2025 05:12:06            19.000                 14.65
15-01-2025 05:42:06            19.500                 14.65
15-01-2025 06:12:06            20.000                 14.65

15-01-2025 06:42:06            20.500                 14.63
15-01-2025 07:12:06            21.000                 14.64

15-01-2025 07:42:06            21.500                 14.66
15-01-2025 08:12:06            22.000                 14.63
15-01-2025 08:42:06            22.500                 14.63

15-01-2025 08:46:10            22.568                 14.62
15-01-2025 08:46:25            22.572                 15.50
15-01-2025 08:46:40            22.576                 14.72

15-01-2025 09:12:06            23.000                 14.66
15-01-2025 09:42:06            23.500                 14.66

15-01-2025 10:06:27            23.906                 14.72
15-01-2025 10:06:42            23.910                 15.10
15-01-2025 10:06:57            23.914                 14.86

15-01-2025 10:09:58            23.964                 14.78
15-01-2025 10:10:13            23.969                 14.64

15-01-2025 10:12:06            24.000                 14.64
15-01-2025 10:42:06            24.500                 14.66
15-01-2025 11:12:06            25.000                 14.66

15-01-2025 11:42:06            25.500                 14.66
15-01-2025 12:12:06            26.000                 14.65

15-01-2025 12:20:02            26.132                 14.65
15-01-2025 12:20:12            26.135   179769313486232000000000000000000   INVAL/OFF
15-01-2025 12:21:23            26.155                 14.65

15-01-2025 12:22:53            26.180                 14.65

15-01-2025 12:23:06            26.183   179769313486232000000000000000000   INVAL/OFF
15-01-2025 12:24:17            26.203                 14.65

15-01-2025 12:34:32            26.374                 14.68
15-01-2025 12:34:42            26.377   179769313486232000000000000000000   INVAL/OFF
15-01-2025 12:35:53            26.396                 14.68

15-01-2025 13:05:38            26.892                 14.67
15-01-2025 13:35:38            27.392                 14.67

15-01-2025 14:05:38            27.892                 14.66
15-01-2025 14:35:38            28.392                 14.66
15-01-2025 15:05:38            28.892                 14.66

15-01-2025 15:35:38            29.392                 14.66
15-01-2025 16:05:38            29.892                 14.67

15-01-2025 16:35:38            30.392                 14.66
15-01-2025 17:05:38            30.892                 14.66
15-01-2025 17:35:38            31.392                 14.66

15-01-2025 18:05:38            31.892                 14.67
15-01-2025 18:35:38            32.392                 14.72
15-01-2025 19:05:38            32.892                 14.74

15-01-2025 19:35:38            33.392                 14.74
15-01-2025 20:05:38            33.892                 14.75

15-01-2025 20:35:38            34.392                 14.74
