
                                              MFCS/win                    Report printed:                2025-02-06 12:52:33
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_30_oscilate               Batch created:            2025-01-14 10:11:53

 Experiment Start:          2025-01-14 10:11:53                 Experiment Stop:          2025-01-17 10:13:30

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 AIRSP_A
                                                       lpm
  Data
                                                     Setpoint


 Date    /  Time                Age

14-01-2025 10:11:53             0.000                 1.000

14-01-2025 10:12:08             0.004                  .375
14-01-2025 10:41:53             0.500                  .375
14-01-2025 11:11:53             1.000                  .375

14-01-2025 11:41:53             1.500                  .375
14-01-2025 12:11:53             2.000                  .375
14-01-2025 12:41:53             2.500                  .375

14-01-2025 13:11:53             3.000                  .375
14-01-2025 13:41:53             3.500                  .375

14-01-2025 14:11:53             4.000                  .375
14-01-2025 14:12:02             4.003                 1.125
14-01-2025 14:12:47             4.015                 1.125

14-01-2025 14:13:02             4.019                   0
14-01-2025 14:13:47             4.032                   0

14-01-2025 14:14:02             4.036                 1.125
14-01-2025 14:14:47             4.048                 1.125
14-01-2025 14:15:02             4.052                   0

14-01-2025 14:15:47             4.065                   0
14-01-2025 14:16:02             4.069                 1.125

14-01-2025 14:16:47             4.082                 1.125
14-01-2025 14:17:02             4.086                   0
14-01-2025 14:17:47             4.098                   0

14-01-2025 14:18:02             4.102                 1.125
14-01-2025 14:19:02             4.119                 1.125
14-01-2025 14:19:17             4.123                   0

14-01-2025 14:20:02             4.136                   0
14-01-2025 14:20:17             4.140                 1.125

14-01-2025 14:21:02             4.152                 1.125
14-01-2025 14:21:17             4.157                   0
14-01-2025 14:22:02             4.169                   0

14-01-2025 14:22:17             4.173                 1.125
14-01-2025 14:23:02             4.186                 1.125

14-01-2025 14:23:17             4.190                   0
14-01-2025 14:24:02             4.202                   0
14-01-2025 14:24:17             4.207                 1.125

14-01-2025 14:25:02             4.219                 1.125


14-01-2025 14:25:17             4.223                   0
14-01-2025 14:26:02             4.236                   0

14-01-2025 14:26:17             4.240                 1.125
14-01-2025 14:27:02             4.253                 1.125
14-01-2025 14:27:17             4.257                   0

14-01-2025 14:28:02             4.269                   0
14-01-2025 14:28:17             4.273                 1.125

14-01-2025 14:29:02             4.286                 1.125
14-01-2025 14:29:17             4.290                   0
14-01-2025 14:30:02             4.303                   0

14-01-2025 14:30:17             4.307                 1.125
14-01-2025 14:31:02             4.319                 1.125

14-01-2025 14:31:17             4.323                   0
14-01-2025 14:32:02             4.336                   0
14-01-2025 14:32:17             4.340                 1.125

14-01-2025 14:33:02             4.353                 1.125
14-01-2025 14:33:17             4.357                   0
14-01-2025 14:34:02             4.369                   0

14-01-2025 14:34:17             4.373                 1.125
14-01-2025 14:35:02             4.386                 1.125

14-01-2025 14:35:17             4.390                   0
14-01-2025 14:36:02             4.403                   0
14-01-2025 14:36:17             4.407                 1.125

14-01-2025 14:37:03             4.419                 1.125
14-01-2025 14:37:18             4.424                   0

14-01-2025 14:38:03             4.436                   0
14-01-2025 14:38:18             4.440                 1.125
14-01-2025 14:39:03             4.453                 1.125

14-01-2025 14:39:18             4.457                   0
14-01-2025 14:40:03             4.469                   0

14-01-2025 14:40:18             4.474                 1.125
14-01-2025 14:41:03             4.486                 1.125
14-01-2025 14:41:18             4.490                   0

14-01-2025 14:41:53             4.500                   0
14-01-2025 14:42:03             4.503                   0
14-01-2025 14:42:18             4.507                 1.125

14-01-2025 14:43:18             4.524                 1.125
14-01-2025 14:43:33             4.528                   0

14-01-2025 14:44:18             4.540                   0
14-01-2025 14:44:33             4.544                 1.125
14-01-2025 14:45:18             4.557                 1.125

14-01-2025 14:45:33             4.561                   0
14-01-2025 14:46:18             4.574                   0

14-01-2025 14:46:33             4.578                 1.125
14-01-2025 14:47:18             4.590                 1.125
14-01-2025 14:47:33             4.594                   0

14-01-2025 14:48:19             4.607                   0
14-01-2025 14:48:34             4.611                 1.125

14-01-2025 14:49:19             4.624                 1.125
14-01-2025 14:49:34             4.628                   0
14-01-2025 14:50:19             4.641                   0

14-01-2025 14:50:34             4.645                 1.125

14-01-2025 14:51:19             4.657                 1.125
14-01-2025 14:51:34             4.661                   0

14-01-2025 14:52:19             4.674                   0
14-01-2025 14:52:34             4.678                 1.125
14-01-2025 14:53:19             4.691                 1.125

14-01-2025 14:53:34             4.695                   0
14-01-2025 14:54:19             4.707                   0

14-01-2025 14:54:34             4.711                 1.125
14-01-2025 14:55:19             4.724                 1.125
14-01-2025 14:55:34             4.728                   0

14-01-2025 14:56:19             4.741                   0
14-01-2025 14:56:34             4.745                 1.125

14-01-2025 14:57:19             4.757                 1.125
14-01-2025 14:57:34             4.761                   0
14-01-2025 14:58:19             4.774                   0

14-01-2025 14:58:34             4.778                 1.125
14-01-2025 14:59:19             4.791                 1.125
14-01-2025 14:59:34             4.795                   0

14-01-2025 15:00:19             4.807                   0
14-01-2025 15:00:34             4.811                 1.125

14-01-2025 15:01:19             4.824                 1.125
14-01-2025 15:01:34             4.828                   0
14-01-2025 15:02:19             4.841                   0

14-01-2025 15:02:34             4.845                 1.125
14-01-2025 15:03:19             4.857                 1.125

14-01-2025 15:03:34             4.861                   0
14-01-2025 15:04:19             4.874                   0
14-01-2025 15:04:34             4.878                 1.125

14-01-2025 15:05:19             4.891                 1.125
14-01-2025 15:05:34             4.895                   0

14-01-2025 15:06:19             4.907                   0
14-01-2025 15:06:34             4.911                 1.125
14-01-2025 15:07:19             4.924                 1.125

14-01-2025 15:07:34             4.928                   0
14-01-2025 15:08:19             4.941                   0
14-01-2025 15:08:34             4.945                 1.125

14-01-2025 15:09:19             4.957                 1.125
14-01-2025 15:09:34             4.961                   0

14-01-2025 15:10:19             4.974                   0
14-01-2025 15:10:34             4.978                 1.125
14-01-2025 15:11:19             4.991                 1.125

14-01-2025 15:11:34             4.995                   0
14-01-2025 15:11:53             5.000                   0

14-01-2025 15:12:19             5.007                   0
14-01-2025 15:12:34             5.011                 1.125
14-01-2025 15:13:19             5.024                 1.125

14-01-2025 15:13:34             5.028                   0
14-01-2025 15:14:19             5.041                   0

14-01-2025 15:14:34             5.045                 1.125
14-01-2025 15:15:19             5.057                 1.125
14-01-2025 15:15:34             5.061                   0

14-01-2025 15:16:19             5.074                   0

14-01-2025 15:16:34             5.078                 1.125
14-01-2025 15:17:19             5.091                 1.125

14-01-2025 15:17:34             5.095                   0
14-01-2025 15:18:19             5.107                   0
14-01-2025 15:18:34             5.111                 1.125

14-01-2025 15:19:19             5.124                 1.125
14-01-2025 15:19:34             5.128                   0

14-01-2025 15:20:19             5.141                   0
14-01-2025 15:20:34             5.145                 1.125
14-01-2025 15:21:34             5.161                 1.125

14-01-2025 15:21:49             5.166                   0
14-01-2025 15:22:34             5.178                   0

14-01-2025 15:22:49             5.182                 1.125
14-01-2025 15:23:34             5.195                 1.125
14-01-2025 15:23:49             5.199                   0

14-01-2025 15:24:34             5.211                   0
14-01-2025 15:24:49             5.216                 1.125
14-01-2025 15:25:34             5.228                 1.125

14-01-2025 15:25:49             5.232                   0
14-01-2025 15:26:34             5.245                   0

14-01-2025 15:26:49             5.249                 1.125
14-01-2025 15:27:34             5.261                 1.125
14-01-2025 15:27:49             5.266                   0

14-01-2025 15:28:34             5.278                   0
14-01-2025 15:28:49             5.282                 1.125

14-01-2025 15:29:34             5.295                 1.125
14-01-2025 15:29:49             5.299                   0
14-01-2025 15:30:34             5.311                   0

14-01-2025 15:30:49             5.316                 1.125
14-01-2025 15:31:34             5.328                 1.125

14-01-2025 15:31:49             5.332                   0
14-01-2025 15:32:34             5.345                   0
14-01-2025 15:32:49             5.349                 1.125

14-01-2025 15:33:34             5.361                 1.125
14-01-2025 15:33:49             5.366                   0
14-01-2025 15:34:34             5.378                   0

14-01-2025 15:34:49             5.382                 1.125
14-01-2025 15:35:34             5.395                 1.125

14-01-2025 15:35:49             5.399                   0
14-01-2025 15:36:34             5.411                   0
14-01-2025 15:36:49             5.416                 1.125

14-01-2025 15:37:34             5.428                 1.125
14-01-2025 15:37:49             5.432                   0

14-01-2025 15:38:34             5.445                   0
14-01-2025 15:38:49             5.449                 1.125
14-01-2025 15:39:34             5.461                 1.125

14-01-2025 15:39:49             5.466                   0
14-01-2025 15:40:34             5.478                   0

14-01-2025 15:40:49             5.482                 1.125
14-01-2025 15:41:34             5.495                 1.125
14-01-2025 15:41:49             5.499                   0

14-01-2025 15:41:53             5.500                   0

14-01-2025 15:42:34             5.511                   0
14-01-2025 15:42:49             5.516                 1.125

14-01-2025 15:43:34             5.528                 1.125
14-01-2025 15:43:49             5.532                   0
14-01-2025 15:44:34             5.545                   0

14-01-2025 15:44:49             5.549                 1.125
14-01-2025 15:45:49             5.566                 1.125

