
                                              MFCS/win                    Report printed:                2025-02-06 12:52:37
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_30_oscilate               Batch created:            2025-01-14 10:11:53

 Experiment Start:          2025-01-14 10:11:53                 Experiment Stop:          2025-01-17 10:13:30

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                   pH_A
                                                    pH
  Data
                                                      Value


 Date    /  Time                Age

14-01-2025 10:11:53             0.000                  5.68

14-01-2025 10:16:09             0.071                  5.69
14-01-2025 10:16:24             0.075                  5.80
14-01-2025 10:41:53             0.500                  5.76

14-01-2025 11:11:53             1.000                  5.71
14-01-2025 11:41:53             1.500                  5.64
14-01-2025 12:11:53             2.000                  5.57

14-01-2025 12:41:53             2.500                  5.60
14-01-2025 13:11:53             3.000                  5.56

14-01-2025 13:41:53             3.500                  5.61
14-01-2025 14:11:53             4.000                  5.54
14-01-2025 14:37:33             4.428                  5.53

14-01-2025 14:37:48             4.432                  5.66
14-01-2025 14:41:53             4.500                  5.62

14-01-2025 15:11:53             5.000                  5.57
14-01-2025 15:41:53             5.500                  5.63
14-01-2025 15:48:19             5.607                  5.53

14-01-2025 15:48:34             5.611                  5.53
14-01-2025 15:48:49             5.616                  5.64

14-01-2025 15:55:20             5.724                  5.54
14-01-2025 15:55:35             5.728                  5.54
14-01-2025 16:11:53             6.000                  5.59

14-01-2025 16:41:53             6.500                  5.61
14-01-2025 17:11:53             7.000                  5.63
14-01-2025 17:16:38             7.079                  5.53

14-01-2025 17:16:53             7.083                  5.52
14-01-2025 17:17:08             7.087                  5.63

14-01-2025 17:26:08             7.238                  5.53
14-01-2025 17:26:23             7.242                  5.52
14-01-2025 17:26:53             7.250                  5.60

14-01-2025 17:27:08             7.254                  5.67
14-01-2025 17:31:53             7.333                  5.58

14-01-2025 17:32:08             7.338                  5.57
14-01-2025 17:41:53             7.500                  5.55
14-01-2025 18:11:53             8.000                  5.53

14-01-2025 18:17:40             8.096                  5.63


14-01-2025 18:17:55             8.101                  5.64
14-01-2025 18:22:10             8.171                  5.55

14-01-2025 18:22:25             8.176                  5.54
14-01-2025 18:26:10             8.238                  5.53
14-01-2025 18:26:25             8.242                  5.64

14-01-2025 18:33:10             8.355                  5.55
14-01-2025 18:33:25             8.359                  5.54

14-01-2025 18:41:53             8.500                  5.52
14-01-2025 18:51:40             8.663                  5.52
14-01-2025 18:51:55             8.667                  5.64

14-01-2025 18:55:40             8.730                  5.55
14-01-2025 18:55:55             8.734                  5.54

14-01-2025 19:11:53             9.000                  5.56
14-01-2025 19:13:57             9.034                  5.63
14-01-2025 19:14:12             9.039                  5.69

14-01-2025 19:17:57             9.101                  5.59
14-01-2025 19:18:12             9.105                  5.58
14-01-2025 19:41:53             9.500                  5.54

14-01-2025 19:44:59             9.552                  5.54
14-01-2025 19:45:14             9.556                  5.65

14-01-2025 19:48:14             9.606                  5.56
14-01-2025 19:48:29             9.610                  5.55
