
                                              MFCS/win                    Report printed:                2025-02-06 12:52:47
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_30_oscilate               Batch created:            2025-01-14 10:11:53

 Experiment Start:          2025-01-14 10:11:53                 Experiment Stop:          2025-01-17 10:13:30

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 BASESUB
                                                        %
  Data
                                                      Value


 Date    /  Time                Age

14-01-2025 10:11:53             0.000                   0

14-01-2025 10:41:53             0.500                   0
14-01-2025 11:11:53             1.000                   0
14-01-2025 11:41:53             1.500                   0

14-01-2025 12:11:53             2.000                   0
14-01-2025 12:41:53             2.500                   0
14-01-2025 13:11:53             3.000                   0

14-01-2025 13:41:53             3.500                   0
14-01-2025 14:11:53             4.000                   .1

14-01-2025 14:41:53             4.500                   0
14-01-2025 15:11:53             5.000                   0
14-01-2025 15:41:53             5.500                   0

14-01-2025 16:11:53             6.000                   0
14-01-2025 16:41:53             6.500                   0

14-01-2025 17:11:53             7.000                   0
14-01-2025 17:41:53             7.500                   0
14-01-2025 18:11:53             8.000                   .4

14-01-2025 18:41:53             8.500                   .7
14-01-2025 19:11:53             9.000                   0

14-01-2025 19:41:53             9.500                   .3
14-01-2025 20:11:53            10.000                   0
14-01-2025 20:41:53            10.500                   0

14-01-2025 21:11:53            11.000                   0
14-01-2025 21:18:18            11.107                   .7
14-01-2025 21:18:33            11.111                  1.0

14-01-2025 21:18:48            11.115                   0
14-01-2025 21:41:53            11.500                   0

14-01-2025 21:58:19            11.774                   .6
14-01-2025 21:58:35            11.778                  1.1
14-01-2025 21:58:50            11.782                   0

14-01-2025 22:04:50            11.882                   .7
14-01-2025 22:05:05            11.887                  1.1

14-01-2025 22:05:20            11.891                   0
14-01-2025 22:11:53            12.000                   0
14-01-2025 22:18:50            12.116                   .8

14-01-2025 22:19:05            12.120                  1.1


14-01-2025 22:19:20            12.124                   0
14-01-2025 22:41:53            12.500                   0

14-01-2025 22:44:51            12.549                   .6
14-01-2025 22:45:06            12.554                  1.0
14-01-2025 22:45:21            12.558                   0

14-01-2025 23:01:36            12.829                   .7
14-01-2025 23:01:51            12.833                  1.0

14-01-2025 23:02:06            12.837                   0
14-01-2025 23:11:21            12.991                   .7
14-01-2025 23:11:36            12.995                  1.0

14-01-2025 23:11:51            12.999                   0
14-01-2025 23:11:53            13.000                   0

14-01-2025 23:25:22            13.225                   .7
14-01-2025 23:25:37            13.229                  1.1
14-01-2025 23:25:52            13.233                   0

14-01-2025 23:41:53            13.500                   0
15-01-2025 00:11:53            14.000                   0
15-01-2025 00:41:53            14.500                   0

