
                                              MFCS/win                    Report printed:                2025-02-06 12:53:23
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_31_control                Batch created:            2025-01-21 09:50:50

 Experiment Start:          2025-01-21 09:50:50                 Experiment Stop:          2025-01-24 08:54:29

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  BASET
                                                    ml
  Data
                                                      Value


 Date    /  Time                Age

21-01-2025 09:50:51             0.000                   0

21-01-2025 10:20:51             0.500                   0
21-01-2025 10:50:51             1.000                   0
21-01-2025 11:20:51             1.500                   0

21-01-2025 11:50:51             2.000                   1
21-01-2025 12:20:51             2.500                   1
21-01-2025 12:50:51             3.000                   1

21-01-2025 13:20:51             3.500                   1
21-01-2025 13:50:51             4.000                   1

21-01-2025 14:20:51             4.500                   1
21-01-2025 14:50:51             5.000                   1
21-01-2025 15:20:51             5.500                   2

21-01-2025 15:50:51             6.000                   2
21-01-2025 16:20:51             6.500                   2

21-01-2025 16:50:51             7.000                   3
21-01-2025 17:20:51             7.500                   3
21-01-2025 17:50:51             8.000                   4

21-01-2025 18:20:51             8.500                   4
21-01-2025 18:50:51             9.000                   5

21-01-2025 19:20:51             9.500                   6
21-01-2025 19:50:51            10.000                   7
21-01-2025 20:20:51            10.500                   8

21-01-2025 20:50:51            11.000                   9
21-01-2025 21:20:51            11.500                   10
21-01-2025 21:50:51            12.000                   10

21-01-2025 22:20:51            12.500                   11
21-01-2025 22:50:51            13.000                   13

21-01-2025 23:20:51            13.500                   13
21-01-2025 23:50:51            14.000                   14
22-01-2025 00:20:51            14.500                   15

22-01-2025 00:50:51            15.000                   16
22-01-2025 01:20:51            15.500                   17

22-01-2025 01:50:51            16.000                   18
22-01-2025 02:20:51            16.500                   19
22-01-2025 02:50:51            17.000                   20

22-01-2025 03:20:51            17.500                   21


22-01-2025 03:50:51            18.000                   22
22-01-2025 04:20:51            18.500                   22

22-01-2025 04:50:51            19.000                   23
22-01-2025 05:20:51            19.500                   24
22-01-2025 05:50:51            20.000                   25

22-01-2025 06:20:51            20.500                   27
22-01-2025 06:50:51            21.000                   28

22-01-2025 07:20:51            21.500                   29
22-01-2025 07:50:51            22.000                   31
22-01-2025 08:20:51            22.500                   33

22-01-2025 08:50:51            23.000                   34
22-01-2025 09:20:51            23.500                   36

22-01-2025 09:50:51            24.000                   37
22-01-2025 10:20:51            24.500                   39
22-01-2025 10:50:51            25.000                   41

22-01-2025 11:20:18            25.491                   43
22-01-2025 11:20:33            25.495                   43
22-01-2025 11:20:51            25.500                   43

22-01-2025 11:50:51            26.000                   45
22-01-2025 12:19:06            26.471                   47

22-01-2025 12:19:21            26.475                   47
22-01-2025 12:20:51            26.500                   47
22-01-2025 12:48:54            26.968                   49

22-01-2025 12:49:09            26.972                   49
22-01-2025 12:50:51            27.000                   49

22-01-2025 13:17:40            27.447                   51
22-01-2025 13:17:55            27.451                   51
22-01-2025 13:20:51            27.500                   51

22-01-2025 13:47:12            27.939                   53
22-01-2025 13:47:27            27.944                   53

22-01-2025 13:50:51            28.000                   53
22-01-2025 14:14:58            28.402                   55
22-01-2025 14:15:13            28.406                   55

22-01-2025 14:20:51            28.500                   56
22-01-2025 14:47:43            28.948                   58
22-01-2025 14:47:58            28.952                   58

22-01-2025 14:50:51            29.000                   58
22-01-2025 15:16:59            29.436                   60

22-01-2025 15:17:14            29.440                   60
22-01-2025 15:20:51            29.500                   60
22-01-2025 15:43:14            29.873                   62

22-01-2025 15:43:29            29.878                   62
22-01-2025 15:50:51            30.000                   63

22-01-2025 16:20:51            30.500                   65
22-01-2025 16:46:48            30.933                   67
22-01-2025 16:47:03            30.937                   67

22-01-2025 16:50:51            31.000                   67
22-01-2025 17:14:34            31.396                   69

22-01-2025 17:14:49            31.400                   69
22-01-2025 17:20:51            31.500                   70
22-01-2025 17:45:36            31.913                   71

22-01-2025 17:45:51            31.917                   72

22-01-2025 17:50:51            32.000                   72
22-01-2025 18:14:52            32.401                   74

22-01-2025 18:15:07            32.405                   74
22-01-2025 18:20:51            32.500                   74
22-01-2025 18:43:39            32.880                   76

22-01-2025 18:43:54            32.884                   76
22-01-2025 18:50:51            33.000                   77

22-01-2025 19:14:10            33.389                   79
22-01-2025 19:14:25            33.393                   79
22-01-2025 19:20:51            33.500                   80

22-01-2025 19:41:26            33.843                   81
22-01-2025 19:41:41            33.847                   82

22-01-2025 19:50:51            34.000                   82
22-01-2025 20:11:13            34.340                   84
22-01-2025 20:11:28            34.344                   84

22-01-2025 20:20:51            34.500                   85
22-01-2025 20:41:43            34.848                   87
22-01-2025 20:41:58            34.852                   87

22-01-2025 20:50:51            35.000                   88
22-01-2025 21:12:58            35.369                   90

22-01-2025 21:13:13            35.373                   90
22-01-2025 21:20:51            35.500                   90
22-01-2025 21:43:31            35.878                   92

22-01-2025 21:43:46            35.882                   92
22-01-2025 21:50:51            36.000                   93

22-01-2025 22:12:46            36.366                   95
22-01-2025 22:13:01            36.370                   95
22-01-2025 22:20:51            36.500                   96

22-01-2025 22:42:32            36.862                   98
22-01-2025 22:42:47            36.866                   98

22-01-2025 22:50:51            37.000                   99
22-01-2025 23:10:47            37.332                  101
22-01-2025 23:11:02            37.337                  101

22-01-2025 23:20:51            37.500                  101
22-01-2025 23:40:03            37.820                  103
22-01-2025 23:40:18            37.824                  103

22-01-2025 23:50:51            38.000                  104
23-01-2025 00:09:34            38.312                  106

23-01-2025 00:09:49            38.316                  106
23-01-2025 00:20:51            38.500                  107
23-01-2025 00:42:36            38.863                  109

23-01-2025 00:42:51            38.867                  109
23-01-2025 00:50:51            39.000                  110

23-01-2025 01:13:36            39.379                  112
23-01-2025 01:13:51            39.384                  112
23-01-2025 01:20:51            39.500                  112

23-01-2025 01:41:52            39.851                  114
23-01-2025 01:42:07            39.855                  114

23-01-2025 01:50:51            40.000                  115
23-01-2025 02:08:37            40.296                  117
23-01-2025 02:08:52            40.301                  117

23-01-2025 02:20:52            40.501                  118

23-01-2025 02:41:07            40.838                  120
23-01-2025 02:41:22            40.842                  120

23-01-2025 02:50:52            41.001                  121
23-01-2025 03:10:52            41.334                  123
23-01-2025 03:11:07            41.338                  123

23-01-2025 03:20:52            41.501                  124
23-01-2025 03:44:09            41.889                  126

23-01-2025 03:44:24            41.893                  126
23-01-2025 03:50:52            42.001                  126
23-01-2025 04:10:10            42.322                  128

23-01-2025 04:10:25            42.326                  128
23-01-2025 04:20:52            42.501                  129

23-01-2025 04:43:25            42.876                  131
23-01-2025 04:43:40            42.881                  131
23-01-2025 04:50:52            43.001                  132

23-01-2025 05:09:25            43.310                  134
23-01-2025 05:09:40            43.314                  134
23-01-2025 05:20:52            43.501                  135

23-01-2025 05:43:13            43.873                  137
23-01-2025 05:43:28            43.877                  137

23-01-2025 05:50:52            44.001                  137
23-01-2025 06:12:58            44.369                  139
23-01-2025 06:13:13            44.373                  139

23-01-2025 06:20:53            44.501                  140
23-01-2025 06:40:14            44.823                  142

23-01-2025 06:40:29            44.828                  142
23-01-2025 06:50:53            45.001                  143
23-01-2025 07:10:59            45.336                  145

23-01-2025 07:11:14            45.340                  145
23-01-2025 07:20:53            45.501                  146

23-01-2025 07:42:59            45.869                  148
23-01-2025 07:43:14            45.873                  148
23-01-2025 07:50:53            46.001                  149

23-01-2025 08:10:44            46.332                  151
23-01-2025 08:10:59            46.336                  151
23-01-2025 08:20:53            46.501                  152

23-01-2025 08:43:45            46.882                  154
23-01-2025 08:44:00            46.886                  154

23-01-2025 08:50:53            47.001                  154
23-01-2025 09:10:31            47.328                  156
23-01-2025 09:10:46            47.332                  156

23-01-2025 09:20:53            47.501                  157
23-01-2025 09:44:31            47.895                  159

23-01-2025 09:44:46            47.899                  159
23-01-2025 09:50:53            48.001                  160
23-01-2025 10:12:31            48.361                  162

23-01-2025 10:12:46            48.366                  162
23-01-2025 10:20:53            48.501                  163

23-01-2025 10:42:03            48.854                  165
23-01-2025 10:42:18            48.858                  165
23-01-2025 10:50:53            49.001                  165

23-01-2025 11:11:49            49.350                  167

23-01-2025 11:12:04            49.354                  167
23-01-2025 11:20:53            49.501                  168

23-01-2025 11:42:04            49.854                  170
23-01-2025 11:42:19            49.858                  170
23-01-2025 11:50:53            50.001                  171

23-01-2025 12:15:19            50.408                  173
23-01-2025 12:15:34            50.412                  173

23-01-2025 12:20:53            50.501                  174
23-01-2025 12:45:05            50.904                  176
23-01-2025 12:45:20            50.908                  176

23-01-2025 12:50:53            51.001                  176
23-01-2025 13:16:23            51.426                  178

23-01-2025 13:16:38            51.430                  178
23-01-2025 13:20:53            51.501                  179
23-01-2025 13:42:24            51.859                  181

23-01-2025 13:42:39            51.864                  181
23-01-2025 13:50:53            52.001                  182
23-01-2025 14:12:10            52.356                  184

23-01-2025 14:12:25            52.360                  184
23-01-2025 14:20:53            52.501                  184

23-01-2025 14:43:57            52.885                  186
23-01-2025 14:44:12            52.889                  186
23-01-2025 14:50:53            53.001                  187

23-01-2025 15:13:27            53.377                  189
23-01-2025 15:13:42            53.381                  189

23-01-2025 15:20:53            53.501                  189
23-01-2025 15:42:58            53.869                  191
23-01-2025 15:43:13            53.873                  191

23-01-2025 15:50:53            54.001                  192
23-01-2025 16:11:14            54.340                  194

23-01-2025 16:11:29            54.344                  194
23-01-2025 16:20:53            54.501                  195
23-01-2025 16:42:00            54.853                  196

23-01-2025 16:42:15            54.857                  197
23-01-2025 16:50:53            55.001                  197
23-01-2025 17:12:31            55.361                  199

23-01-2025 17:12:46            55.366                  199
23-01-2025 17:20:53            55.501                  200

23-01-2025 17:38:31            55.795                  202
23-01-2025 17:38:46            55.799                  202
23-01-2025 17:50:53            56.001                  203

23-01-2025 18:15:02            56.403                  205
23-01-2025 18:15:17            56.407                  205

23-01-2025 18:20:53            56.501                  206
23-01-2025 18:43:02            56.870                  208
23-01-2025 18:43:17            56.874                  208

23-01-2025 18:50:53            57.001                  208
23-01-2025 19:12:04            57.354                  210

23-01-2025 19:12:19            57.358                  210
23-01-2025 19:20:53            57.501                  211
23-01-2025 19:41:50            57.850                  213

23-01-2025 19:42:05            57.854                  213

23-01-2025 19:50:53            58.001                  214
23-01-2025 20:12:51            58.367                  216

23-01-2025 20:13:06            58.371                  216
23-01-2025 20:20:53            58.501                  217
23-01-2025 20:44:21            58.892                  219

23-01-2025 20:44:36            58.896                  219
23-01-2025 20:50:53            59.001                  220

23-01-2025 21:11:37            59.346                  221
23-01-2025 21:11:52            59.351                  222
23-01-2025 21:20:53            59.501                  222

23-01-2025 21:42:23            59.859                  224
23-01-2025 21:42:38            59.863                  224

23-01-2025 21:50:53            60.001                  225
23-01-2025 22:12:53            60.367                  227
23-01-2025 22:13:08            60.372                  227

23-01-2025 22:20:53            60.501                  228
23-01-2025 22:41:38            60.847                  230
23-01-2025 22:41:53            60.851                  230

23-01-2025 22:50:53            61.001                  230
23-01-2025 23:12:08            61.355                  232

23-01-2025 23:12:23            61.359                  232
23-01-2025 23:20:53            61.501                  233
23-01-2025 23:43:23            61.876                  235

23-01-2025 23:43:38            61.880                  235
23-01-2025 23:50:53            62.001                  236

24-01-2025 00:11:23            62.342                  238
24-01-2025 00:11:38            62.347                  238
24-01-2025 00:20:53            62.501                  239

24-01-2025 00:43:24            62.876                  241
24-01-2025 00:43:39            62.880                  241

24-01-2025 00:50:53            63.001                  241
24-01-2025 01:10:11            63.322                  243
24-01-2025 01:10:26            63.327                  243

24-01-2025 01:20:53            63.501                  244
24-01-2025 01:41:56            63.852                  246
24-01-2025 01:42:11            63.856                  246

24-01-2025 01:50:53            64.001                  247
24-01-2025 02:08:56            64.302                  248

24-01-2025 02:09:11            64.306                  249
24-01-2025 02:20:53            64.501                  250
24-01-2025 02:43:26            64.877                  251

24-01-2025 02:43:41            64.881                  252
24-01-2025 02:50:53            65.001                  252

24-01-2025 03:13:41            65.381                  254
24-01-2025 03:13:56            65.385                  254
24-01-2025 03:20:53            65.501                  255

24-01-2025 03:46:43            65.931                  257
24-01-2025 03:46:58            65.936                  257

24-01-2025 03:50:53            66.001                  257
24-01-2025 04:13:29            66.378                  259
24-01-2025 04:13:44            66.382                  259

24-01-2025 04:20:53            66.501                  260

24-01-2025 04:42:29            66.861                  262
24-01-2025 04:42:44            66.865                  262

24-01-2025 04:50:53            67.001                  263
24-01-2025 05:14:15            67.390                  264
24-01-2025 05:14:30            67.394                  265

24-01-2025 05:20:53            67.501                  265
24-01-2025 05:41:32            67.845                  267

24-01-2025 05:41:47            67.849                  267
24-01-2025 05:50:53            68.001                  268
24-01-2025 06:13:17            68.374                  270

24-01-2025 06:13:32            68.378                  270
24-01-2025 06:20:53            68.501                  270

24-01-2025 06:40:03            68.820                  272
24-01-2025 06:40:18            68.824                  272
24-01-2025 06:50:53            69.001                  273

24-01-2025 07:15:37            69.413                  275
24-01-2025 07:15:52            69.417                  275
24-01-2025 07:20:53            69.501                  275

24-01-2025 07:41:22            69.842                  277
24-01-2025 07:41:37            69.846                  277

24-01-2025 07:50:53            70.001                  278
24-01-2025 08:13:39            70.380                  280
24-01-2025 08:13:54            70.384                  280

24-01-2025 08:20:53            70.501                  281
24-01-2025 08:45:25            70.910                  283

24-01-2025 08:45:40            70.914                  283
24-01-2025 08:50:53            71.001                  283
24-01-2025 08:54:28            71.061                  283
