
                                              MFCS/win                    Report printed:                2025-02-06 12:53:25
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_31_control                Batch created:            2025-01-21 09:50:50

 Experiment Start:          2025-01-21 09:50:50                 Experiment Stop:          2025-01-24 08:54:29

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                     Setpoint


 Date    /  Time                Age

21-01-2025 09:50:51             0.000                  600

21-01-2025 09:51:51             0.017                  600
21-01-2025 09:52:06             0.021                  400
21-01-2025 10:20:51             0.500                  400

21-01-2025 10:50:51             1.000                  400
21-01-2025 11:20:51             1.500                  400
21-01-2025 11:50:51             2.000                  400

21-01-2025 12:20:51             2.500                  400
21-01-2025 12:50:51             3.000                  400

21-01-2025 13:20:51             3.500                  400
21-01-2025 13:27:09             3.605                  402
21-01-2025 13:27:24             3.609                  404

21-01-2025 13:27:39             3.614                  406
21-01-2025 13:27:54             3.618                  409

21-01-2025 13:28:09             3.622                  411
21-01-2025 13:28:24             3.626                  414
21-01-2025 13:28:39             3.630                  416

21-01-2025 13:28:54             3.634                  419
21-01-2025 13:29:09             3.639                  421

21-01-2025 13:29:24             3.643                  422
21-01-2025 13:31:24             3.676                  419
21-01-2025 13:31:39             3.680                  418

21-01-2025 13:32:39             3.697                  416
21-01-2025 13:32:54             3.701                  415
21-01-2025 13:42:09             3.855                  413

21-01-2025 13:42:24             3.859                  412
21-01-2025 13:46:54             3.934                  410

21-01-2025 13:47:09             3.939                  409
21-01-2025 13:50:51             4.000                  410
21-01-2025 14:20:51             4.500                  412

21-01-2025 14:22:09             4.522                  410
21-01-2025 14:22:24             4.526                  409

21-01-2025 14:28:10             4.622                  406
21-01-2025 14:28:25             4.626                  405
21-01-2025 14:28:40             4.631                  403

21-01-2025 14:28:55             4.635                  401


21-01-2025 14:50:51             5.000                  403
21-01-2025 15:04:56             5.235                  406

21-01-2025 15:05:11             5.239                  406
21-01-2025 15:12:57             5.369                  409
21-01-2025 15:13:12             5.373                  410

21-01-2025 15:20:51             5.500                  410
21-01-2025 15:39:43             5.815                  413

21-01-2025 15:39:58             5.819                  413
21-01-2025 15:49:28             5.977                  416
21-01-2025 15:49:43             5.981                  417

21-01-2025 15:50:51             6.000                  417
21-01-2025 16:00:28             6.161                  420

21-01-2025 16:00:43             6.165                  420
21-01-2025 16:06:43             6.265                  423
21-01-2025 16:06:58             6.269                  423

21-01-2025 16:13:28             6.377                  426
21-01-2025 16:13:43             6.381                  426
21-01-2025 16:20:51             6.500                  428

21-01-2025 16:29:43             6.648                  431
21-01-2025 16:29:58             6.652                  432

21-01-2025 16:30:28             6.661                  434
21-01-2025 16:30:43             6.665                  435
21-01-2025 16:41:45             6.849                  432

21-01-2025 16:42:00             6.853                  431
21-01-2025 16:43:00             6.869                  429

21-01-2025 16:43:15             6.874                  428
21-01-2025 16:49:00             6.969                  425
21-01-2025 16:49:15             6.974                  425

21-01-2025 16:50:51             7.000                  425
21-01-2025 17:00:15             7.157                  428

21-01-2025 17:00:30             7.161                  428
21-01-2025 17:17:30             7.444                  431
21-01-2025 17:17:45             7.449                  431

21-01-2025 17:20:51             7.500                  433
21-01-2025 17:28:17             7.624                  435
21-01-2025 17:28:32             7.628                  436

21-01-2025 17:36:33             7.762                  438
21-01-2025 17:36:48             7.766                  439

21-01-2025 17:44:33             7.895                  442
